DATASET,ID,VOICE_SOURCE_ID,MUSIC_SOURCE_ID,MUSIC_GENERATOR
mixfake_music_train_v1,RS-FM_LA_T_1338417_fake_30410_suno_1,LA_T_1338417,fake_30410_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1341447_fake_53613_udio_0,LA_T_1341447,fake_53613_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1363611_fake_51011_suno_0,LA_T_1363611,fake_51011_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1364415_fake_51945_suno_0,LA_T_1364415,fake_51945_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1379329_fake_08765_suno_1,LA_T_1379329,fake_08765_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1411980_fake_29793_udio_0,LA_T_1411980,fake_29793_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1424545_fake_04132_udio_1,LA_T_1424545,fake_04132_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1447757_fake_05427_suno_0,LA_T_1447757,fake_05427_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1457379_fake_01262_udio_0,LA_T_1457379,fake_01262_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1457379_fake_25681_udio_0,LA_T_1457379,fake_25681_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1459453_fake_46739_udio_1,LA_T_1459453,fake_46739_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1470659_fake_04392_suno_1,LA_T_1470659,fake_04392_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1482076_fake_00093_suno_1,LA_T_1482076,fake_00093_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1482076_fake_20212_udio_0,LA_T_1482076,fake_20212_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1501005_fake_33579_udio_1,LA_T_1501005,fake_33579_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1511191_fake_31924_suno_1,LA_T_1511191,fake_31924_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1536675_fake_01591_udio_0,LA_T_1536675,fake_01591_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1559861_fake_06030_udio_0,LA_T_1559861,fake_06030_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1563365_fake_22779_udio_0,LA_T_1563365,fake_22779_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1596451_fake_39939_udio_0,LA_T_1596451,fake_39939_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1599278_fake_26989_suno_0,LA_T_1599278,fake_26989_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1599278_fake_32504_udio_1,LA_T_1599278,fake_32504_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1607779_fake_04874_suno_1,LA_T_1607779,fake_04874_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1617431_fake_12144_udio_0,LA_T_1617431,fake_12144_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1618831_fake_10667_udio_0,LA_T_1618831,fake_10667_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1639691_fake_04285_udio_1,LA_T_1639691,fake_04285_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1646363_fake_19608_suno_1,LA_T_1646363,fake_19608_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1651877_fake_35595_udio_1,LA_T_1651877,fake_35595_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1667973_fake_07093_suno_0,LA_T_1667973,fake_07093_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1667973_fake_19888_suno_1,LA_T_1667973,fake_19888_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1671516_fake_01888_suno_0,LA_T_1671516,fake_01888_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1684951_fake_20498_udio_1,LA_T_1684951,fake_20498_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1684951_fake_21840_suno_1,LA_T_1684951,fake_21840_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1684951_fake_40480_udio_1,LA_T_1684951,fake_40480_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1698724_fake_42909_udio_1,LA_T_1698724,fake_42909_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1716742_fake_27586_udio_1,LA_T_1716742,fake_27586_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1736342_fake_38783_udio_1,LA_T_1736342,fake_38783_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1738816_fake_24971_suno_1,LA_T_1738816,fake_24971_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1743583_fake_53608_suno_1,LA_T_1743583,fake_53608_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1771704_fake_53430_suno_1,LA_T_1771704,fake_53430_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1773196_fake_28942_suno_0,LA_T_1773196,fake_28942_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1787169_fake_35401_udio_1,LA_T_1787169,fake_35401_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1787246_fake_09765_suno_1,LA_T_1787246,fake_09765_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1787294_fake_54144_suno_1,LA_T_1787294,fake_54144_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1807180_fake_30712_udio_1,LA_T_1807180,fake_30712_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1807180_fake_48241_udio_0,LA_T_1807180,fake_48241_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1810647_fake_53683_suno_1,LA_T_1810647,fake_53683_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1840394_fake_14120_udio_1,LA_T_1840394,fake_14120_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1843642_fake_33658_suno_0,LA_T_1843642,fake_33658_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1845257_fake_19802_suno_1,LA_T_1845257,fake_19802_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1846342_fake_20868_udio_1,LA_T_1846342,fake_20868_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1846342_fake_22977_suno_1,LA_T_1846342,fake_22977_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1856855_fake_39130_udio_0,LA_T_1856855,fake_39130_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1861398_fake_10582_udio_1,LA_T_1861398,fake_10582_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1869525_fake_10970_udio_0,LA_T_1869525,fake_10970_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1869525_fake_46556_suno_0,LA_T_1869525,fake_46556_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1870524_fake_33881_suno_0,LA_T_1870524,fake_33881_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1870524_fake_38320_suno_1,LA_T_1870524,fake_38320_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1870772_fake_00824_udio_0,LA_T_1870772,fake_00824_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1873366_fake_39670_suno_0,LA_T_1873366,fake_39670_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1882969_fake_44504_suno_1,LA_T_1882969,fake_44504_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1892730_fake_46889_suno_1,LA_T_1892730,fake_46889_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1909202_fake_30982_udio_1,LA_T_1909202,fake_30982_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_1926066_fake_19954_suno_1,LA_T_1926066,fake_19954_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1937797_fake_06361_suno_1,LA_T_1937797,fake_06361_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_1939177_fake_24234_suno_0,LA_T_1939177,fake_24234_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_1946144_fake_29419_udio_0,LA_T_1946144,fake_29419_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_1986901_fake_45896_udio_0,LA_T_1986901,fake_45896_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2003699_fake_17777_udio_1,LA_T_2003699,fake_17777_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_2019805_fake_20181_suno_0,LA_T_2019805,fake_20181_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2069626_fake_01169_udio_1,LA_T_2069626,fake_01169_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_2070410_fake_11530_suno_0,LA_T_2070410,fake_11530_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2109491_fake_40413_udio_0,LA_T_2109491,fake_40413_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2112754_fake_51142_udio_0,LA_T_2112754,fake_51142_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2145141_fake_15779_suno_0,LA_T_2145141,fake_15779_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2147641_fake_34663_udio_1,LA_T_2147641,fake_34663_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_2175978_fake_22452_udio_1,LA_T_2175978,fake_22452_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_2192287_fake_46931_suno_0,LA_T_2192287,fake_46931_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2201500_fake_49821_suno_0,LA_T_2201500,fake_49821_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2217523_fake_35630_suno_0,LA_T_2217523,fake_35630_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2217523_fake_50436_udio_0,LA_T_2217523,fake_50436_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2226656_fake_43438_udio_0,LA_T_2226656,fake_43438_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2239255_fake_01316_suno_0,LA_T_2239255,fake_01316_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2239255_fake_29309_suno_0,LA_T_2239255,fake_29309_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2272655_fake_53747_udio_1,LA_T_2272655,fake_53747_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_2284275_fake_37478_udio_0,LA_T_2284275,fake_37478_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2304357_fake_16782_suno_0,LA_T_2304357,fake_16782_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2305882_fake_20949_udio_1,LA_T_2305882,fake_20949_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_2319006_fake_13756_suno_0,LA_T_2319006,fake_13756_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2345808_fake_06269_udio_1,LA_T_2345808,fake_06269_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_2347217_fake_05358_udio_1,LA_T_2347217,fake_05358_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_2351250_fake_30576_udio_0,LA_T_2351250,fake_30576_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2356349_fake_51447_udio_0,LA_T_2356349,fake_51447_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2386039_fake_02521_udio_1,LA_T_2386039,fake_02521_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_2407071_fake_45312_suno_1,LA_T_2407071,fake_45312_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_2424483_fake_01660_udio_1,LA_T_2424483,fake_01660_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_2435826_fake_16965_suno_1,LA_T_2435826,fake_16965_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_2437964_fake_06986_suno_0,LA_T_2437964,fake_06986_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2439075_fake_51905_udio_0,LA_T_2439075,fake_51905_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2450169_fake_42990_suno_0,LA_T_2450169,fake_42990_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2465871_fake_17698_suno_0,LA_T_2465871,fake_17698_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2465871_fake_29385_udio_0,LA_T_2465871,fake_29385_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2474244_fake_20020_suno_0,LA_T_2474244,fake_20020_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2476165_fake_51128_suno_1,LA_T_2476165,fake_51128_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_2486958_fake_24579_udio_0,LA_T_2486958,fake_24579_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2502033_fake_51593_suno_0,LA_T_2502033,fake_51593_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2507189_fake_19531_udio_1,LA_T_2507189,fake_19531_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_2507189_fake_46217_udio_0,LA_T_2507189,fake_46217_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2513767_fake_06810_suno_1,LA_T_2513767,fake_06810_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_2522205_fake_02281_suno_1,LA_T_2522205,fake_02281_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_2522205_fake_10430_suno_0,LA_T_2522205,fake_10430_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2534170_fake_22312_suno_1,LA_T_2534170,fake_22312_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_2535749_fake_28588_suno_0,LA_T_2535749,fake_28588_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2547751_fake_34653_udio_0,LA_T_2547751,fake_34653_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2550088_fake_51801_udio_0,LA_T_2550088,fake_51801_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2560396_fake_12318_udio_1,LA_T_2560396,fake_12318_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_2579152_fake_04424_suno_1,LA_T_2579152,fake_04424_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_2615390_fake_44851_suno_1,LA_T_2615390,fake_44851_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_2634789_fake_13581_udio_0,LA_T_2634789,fake_13581_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2707835_fake_43989_suno_0,LA_T_2707835,fake_43989_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2709262_fake_13550_udio_1,LA_T_2709262,fake_13550_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_2747022_fake_30462_suno_0,LA_T_2747022,fake_30462_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2774875_fake_11991_udio_0,LA_T_2774875,fake_11991_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2774875_fake_12393_udio_0,LA_T_2774875,fake_12393_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2775248_fake_02244_suno_1,LA_T_2775248,fake_02244_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_2802034_fake_22292_udio_0,LA_T_2802034,fake_22292_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2835258_fake_10978_udio_1,LA_T_2835258,fake_10978_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_2866573_fake_21418_udio_0,LA_T_2866573,fake_21418_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_2866777_fake_39961_suno_0,LA_T_2866777,fake_39961_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2964864_fake_44179_udio_1,LA_T_2964864,fake_44179_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_2982213_fake_13942_suno_1,LA_T_2982213,fake_13942_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_2992916_fake_49986_suno_0,LA_T_2992916,fake_49986_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_2996311_fake_01031_udio_1,LA_T_2996311,fake_01031_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3009665_fake_21698_udio_1,LA_T_3009665,fake_21698_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3026744_fake_04394_udio_1,LA_T_3026744,fake_04394_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3036128_fake_19567_udio_1,LA_T_3036128,fake_19567_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3041626_fake_26639_suno_0,LA_T_3041626,fake_26639_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3068473_fake_02036_udio_0,LA_T_3068473,fake_02036_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3070659_fake_22760_suno_1,LA_T_3070659,fake_22760_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_3083581_fake_48981_udio_1,LA_T_3083581,fake_48981_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3094730_fake_01595_suno_0,LA_T_3094730,fake_01595_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3100997_fake_09677_suno_1,LA_T_3100997,fake_09677_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_3104100_fake_06341_suno_0,LA_T_3104100,fake_06341_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3110916_fake_03720_suno_1,LA_T_3110916,fake_03720_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_3116625_fake_29452_udio_0,LA_T_3116625,fake_29452_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3127213_fake_10515_udio_0,LA_T_3127213,fake_10515_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3131990_fake_39600_udio_1,LA_T_3131990,fake_39600_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3154434_fake_40180_udio_1,LA_T_3154434,fake_40180_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3154434_fake_47189_suno_0,LA_T_3154434,fake_47189_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3157509_fake_31996_udio_0,LA_T_3157509,fake_31996_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3163159_fake_13889_udio_1,LA_T_3163159,fake_13889_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3165954_fake_02957_suno_0,LA_T_3165954,fake_02957_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3167734_fake_43757_suno_0,LA_T_3167734,fake_43757_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3168689_fake_08113_suno_1,LA_T_3168689,fake_08113_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_3168858_fake_27791_suno_1,LA_T_3168858,fake_27791_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_3197627_fake_50404_udio_0,LA_T_3197627,fake_50404_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3208992_fake_49575_udio_0,LA_T_3208992,fake_49575_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3215578_fake_52265_suno_0,LA_T_3215578,fake_52265_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3222760_fake_38715_udio_0,LA_T_3222760,fake_38715_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3226167_fake_03582_udio_0,LA_T_3226167,fake_03582_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3228713_fake_01718_udio_0,LA_T_3228713,fake_01718_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3228713_fake_38779_udio_1,LA_T_3228713,fake_38779_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3244166_fake_28345_udio_0,LA_T_3244166,fake_28345_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3264613_fake_11300_suno_0,LA_T_3264613,fake_11300_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3266022_fake_51209_udio_0,LA_T_3266022,fake_51209_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3301728_fake_05901_suno_0,LA_T_3301728,fake_05901_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3304535_fake_02940_suno_1,LA_T_3304535,fake_02940_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_3315434_fake_06568_suno_1,LA_T_3315434,fake_06568_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_3325988_fake_02684_udio_1,LA_T_3325988,fake_02684_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3331468_fake_28277_udio_0,LA_T_3331468,fake_28277_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3333905_fake_53452_udio_1,LA_T_3333905,fake_53452_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3336416_fake_16904_suno_0,LA_T_3336416,fake_16904_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3346004_fake_24576_udio_1,LA_T_3346004,fake_24576_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3362906_fake_08258_udio_1,LA_T_3362906,fake_08258_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3385161_fake_01575_suno_0,LA_T_3385161,fake_01575_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3394389_fake_27057_suno_0,LA_T_3394389,fake_27057_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3396974_fake_10000_suno_1,LA_T_3396974,fake_10000_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_3399413_fake_54138_udio_1,LA_T_3399413,fake_54138_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3402710_fake_54060_suno_1,LA_T_3402710,fake_54060_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_3424442_fake_15503_suno_0,LA_T_3424442,fake_15503_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3465801_fake_09445_suno_1,LA_T_3465801,fake_09445_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_3487529_fake_53737_udio_1,LA_T_3487529,fake_53737_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3506909_fake_07239_suno_1,LA_T_3506909,fake_07239_suno_1,suno
mixfake_music_train_v1,RS-FM_LA_T_3513521_fake_50784_udio_0,LA_T_3513521,fake_50784_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3527643_fake_31741_udio_0,LA_T_3527643,fake_31741_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3538502_fake_15296_udio_0,LA_T_3538502,fake_15296_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3560086_fake_43886_suno_0,LA_T_3560086,fake_43886_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3561136_fake_00521_udio_0,LA_T_3561136,fake_00521_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3570279_fake_50302_udio_0,LA_T_3570279,fake_50302_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3576775_fake_35516_suno_0,LA_T_3576775,fake_35516_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3579841_fake_44646_udio_0,LA_T_3579841,fake_44646_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3579841_fake_46312_udio_0,LA_T_3579841,fake_46312_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3580523_fake_05538_udio_1,LA_T_3580523,fake_05538_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3602602_fake_10812_udio_1,LA_T_3602602,fake_10812_udio_1,udio
mixfake_music_train_v1,RS-FM_LA_T_3610653_fake_02391_udio_0,LA_T_3610653,fake_02391_udio_0,udio
mixfake_music_train_v1,RS-FM_LA_T_3612681_fake_52666_suno_0,LA_T_3612681,fake_52666_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3625664_fake_53175_suno_0,LA_T_3625664,fake_53175_suno_0,suno
mixfake_music_train_v1,RS-FM_LA_T_3635733_fake_33854_suno_1,LA_T_3635733,fake_33854_suno_1,suno
