ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,CONDITION,SOURCE,CODEC,VOICE_SOURCE_ID,MUSIC_SOURCE_ID,VOICE_GENERATOR,MUSIC_GENERATOR,SNR_DB,ORIGINAL_SPLIT,SOURCE_FILE,DATASET,PATH,MIX_MODE,COMPONENT_CASE,EVAL_CELL,CHANNEL,SPLIT,VOICE_SPEAKER,MUSIC_GROUP_ID,OVERLAP_FRACTION,ORDER,DURATION,FILE_EXTENSION,GENERATOR,GROUP_ID,VOCODER,SPEAKER,PARENT_ID,STRESS_VARIANT,CATEGORY,GENDER,AGE,VOICE_SCREEN,MUSIC_SCREEN,FMA_TRACK_ID,ORIGINAL_AUDIO,GENERATION_TYPE,GENRE,BASE_ID,VOICE_ARCHIVE_ID,VOICE_ARCHIVE_MEMBER,MUSIC_VOCAL_SCREEN,MUSIC_ARCHIVE_ID,MUSIC_ARCHIVE_MEMBER,GAP_SECONDS,SOURCE_DATASET,PROVENANCE_MODE,CELL_V57,LAYOUT_V57,CHANNEL_V57,VOICE_GENERATOR_V57,MUSIC_GENERATOR_V57,MUSIC_FAKE_PROB
FS-FM_LA_D_1154251_YDBxdZchOuM,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1154251,YDBxdZchOuM,ASVspoof2019-LA,MusicGen_medium,10.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1154251_YDBxdZchOuM.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1154251_YDBxdZchOuM.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,MusicGen_medium,0.01932457834482193
FS-FM_LA_D_1154251_xiN6XwZNEJo,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1154251,xiN6XwZNEJo,ASVspoof2019-LA,mustango,15.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1154251_xiN6XwZNEJo.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1154251_xiN6XwZNEJo.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,mustango,0.8184619545936584
FS-FM_LA_D_1227503_6TSluKI0X54,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1227503,6TSluKI0X54,ASVspoof2019-LA,MusicGen_medium,10.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1227503_6TSluKI0X54.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1227503_6TSluKI0X54.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,MusicGen_medium,0.9999912977218628
FS-FM_LA_D_1234846_fake_22728_suno_1,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1234846,fake_22728_suno_1,ASVspoof2019-LA,suno,20.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1234846_fake_22728_suno_1.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1234846_fake_22728_suno_1.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,suno,0.9979104399681091
FS-FM_LA_D_1234846_fake_45879_udio_1,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1234846,fake_45879_udio_1,ASVspoof2019-LA,udio,-5.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1234846_fake_45879_udio_1.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1234846_fake_45879_udio_1.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,udio,0.9666184782981873
FS-FM_LA_D_1252794_fake_23468_suno_1,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1252794,fake_23468_suno_1,ASVspoof2019-LA,suno,10.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1252794_fake_23468_suno_1.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1252794_fake_23468_suno_1.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,suno,1.0
FS-FM_LA_D_1325941_L1fxVVl_1bM,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1325941,L1fxVVl_1bM,ASVspoof2019-LA,mustango,5.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1325941_L1fxVVl_1bM.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1325941_L1fxVVl_1bM.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,mustango,0.9973166584968567
FS-FM_LA_D_1350597_rFE_bKOr1W0,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1350597,rFE_bKOr1W0,ASVspoof2019-LA,audioldm2,20.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1350597_rFE_bKOr1W0.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1350597_rFE_bKOr1W0.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,audioldm2,0.9967548251152039
FS-FM_LA_D_1352656_ECP7EJka6N8,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1352656,ECP7EJka6N8,ASVspoof2019-LA,MusicGen_medium,5.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1352656_ECP7EJka6N8.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1352656_ECP7EJka6N8.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,MusicGen_medium,0.9999985694885254
FS-FM_LA_D_1354501_4ufDENm_ECk,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1354501,4ufDENm_ECk,ASVspoof2019-LA,musicldm,15.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1354501_4ufDENm_ECk.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1354501_4ufDENm_ECk.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,musicldm,0.999935507774353
FS-FM_LA_D_1367292_hlHb9HwNxk8,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1367292,hlHb9HwNxk8,ASVspoof2019-LA,mustango,10.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1367292_hlHb9HwNxk8.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1367292_hlHb9HwNxk8.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,mustango,0.9064417481422424
FS-FM_LA_D_1367292_k4ttuqKjiw0,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1367292,k4ttuqKjiw0,ASVspoof2019-LA,audioldm2,15.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1367292_k4ttuqKjiw0.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1367292_k4ttuqKjiw0.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,audioldm2,0.9999998807907104
FS-FM_LA_D_1367292_ohikUtjUN7c,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1367292,ohikUtjUN7c,ASVspoof2019-LA,MusicGen_medium,20.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1367292_ohikUtjUN7c.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1367292_ohikUtjUN7c.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,MusicGen_medium,0.9983952641487122
FS-FM_LA_D_1579120_2CzfBZ1mYBs,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1579120,2CzfBZ1mYBs,ASVspoof2019-LA,audioldm2,-5.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1579120_2CzfBZ1mYBs.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1579120_2CzfBZ1mYBs.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,audioldm2,0.9999997615814209
FS-FM_LA_D_1630961_-oP-XX28B0s,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1630961,-oP-XX28B0s,ASVspoof2019-LA,audioldm2,-5.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1630961_-oP-XX28B0s.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1630961_-oP-XX28B0s.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,audioldm2,0.9999997615814209
FS-FM_LA_D_1630961_ad6gQQ_0evk,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1630961,ad6gQQ_0evk,ASVspoof2019-LA,mustango,5.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1630961_ad6gQQ_0evk.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1630961_ad6gQQ_0evk.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,mustango,0.999980092048645
FS-FM_LA_D_1681095_fake_18248_udio_1,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1681095,fake_18248_udio_1,ASVspoof2019-LA,udio,10.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1681095_fake_18248_udio_1.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1681095_fake_18248_udio_1.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,udio,0.5593562722206116
FS-FM_LA_D_1681095_oXBGZoBYaLY,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1681095,oXBGZoBYaLY,ASVspoof2019-LA,musicldm,-5.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1681095_oXBGZoBYaLY.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1681095_oXBGZoBYaLY.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,musicldm,0.9999963045120239
FS-FM_LA_D_1685935_NwUJe24OxC8,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1685935,NwUJe24OxC8,ASVspoof2019-LA,musicldm,0.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1685935_NwUJe24OxC8.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1685935_NwUJe24OxC8.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,musicldm,0.42602241039276123
FS-FM_LA_D_1685935_OkcBJawiIHA,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1685935,OkcBJawiIHA,ASVspoof2019-LA,musicldm,0.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1685935_OkcBJawiIHA.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1685935_OkcBJawiIHA.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,musicldm,0.994400680065155
FS-FM_LA_D_1685935_fake_09441_udio_0,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1685935,fake_09441_udio_0,ASVspoof2019-LA,udio,-5.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1685935_fake_09441_udio_0.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1685935_fake_09441_udio_0.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,udio,1.0
FS-FM_LA_D_1695224_u0lm58cet1g,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1695224,u0lm58cet1g,ASVspoof2019-LA,mustango,20.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1695224_u0lm58cet1g.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1695224_u0lm58cet1g.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,mustango,0.44693705439567566
FS-FM_LA_D_1714107_GFJNgqcX7u0,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1714107,GFJNgqcX7u0,ASVspoof2019-LA,mustango,20.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1714107_GFJNgqcX7u0.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1714107_GFJNgqcX7u0.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,mustango,0.994067907333374
FS-FM_LA_D_1714907_fake_20874_udio_0,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1714907,fake_20874_udio_0,ASVspoof2019-LA,udio,15.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1714907_fake_20874_udio_0.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1714907_fake_20874_udio_0.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,udio,0.17593568563461304
FS-FM_LA_D_1714907_yOVaak2hemM,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1714907,yOVaak2hemM,ASVspoof2019-LA,audioldm2,15.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1714907_yOVaak2hemM.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1714907_yOVaak2hemM.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,audioldm2,0.9898539185523987
FS-FM_LA_D_1734325_fake_35833_udio_0,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1734325,fake_35833_udio_0,ASVspoof2019-LA,udio,5.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1734325_fake_35833_udio_0.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1734325_fake_35833_udio_0.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,udio,0.997384250164032
FS-FM_LA_D_1764899_KfLxBjl-aBU,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1764899,KfLxBjl-aBU,ASVspoof2019-LA,MusicGen_medium,0.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1764899_KfLxBjl-aBU.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1764899_KfLxBjl-aBU.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,MusicGen_medium,0.9999731779098511
FS-FM_LA_D_1828116_YuiQRYaF9SA,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1828116,YuiQRYaF9SA,ASVspoof2019-LA,musicldm,-5.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1828116_YuiQRYaF9SA.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1828116_YuiQRYaF9SA.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,musicldm,0.9990284442901611
FS-FM_LA_D_1845654_XzTBNfQ7_GA,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1845654,XzTBNfQ7_GA,ASVspoof2019-LA,musicldm,0.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1845654_XzTBNfQ7_GA.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1845654_XzTBNfQ7_GA.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,musicldm,0.05451997369527817
FS-FM_LA_D_1848103_xgXd06kKFIQ,1,1.0,1.0,1,1,mixed,concurrent,MixFake,wav16k,LA_D_1848103,xgXd06kKFIQ,ASVspoof2019-LA,mustango,20.0,dev,/yourownpath/mixed_dataset/dev/audio/FS-FM_LA_D_1848103_xgXd06kKFIQ.wav,mixfake_music_dev_v1,/home/nas_main/kyudanjung/DAVIANspeech/data/eval/mixfake_music_dev_v1/audio/FS-FM_LA_D_1848103_xgXd06kKFIQ.wav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FF,concurrent,wav16k,ASVspoof2019-LA,mustango,0.9999403953552246
