VOICE_FAKE,VOICE_SOURCE_ID,VOICE_SPEAKER,VOICE_GENERATOR,VOICE_SOURCE_DATASET,VOICE_ARCHIVE_MEMBER,DURATION,AUDIO_SHA256
0,librispeech-test-clean:4077-13751-0016,librispeech-test-clean:4077,bonafide,LibriSpeech_test-clean,voice_pool/6038b7bd8bb6170da2c1.flac,14.515,4d4a697aadecd5dbffd9663d68670ea9565700dbd052fee0d7d41ff7e7c0365f
0,librispeech-test-clean:5639-40744-0001,librispeech-test-clean:5639,bonafide,LibriSpeech_test-clean,voice_pool/22f89a1d6dd2bfcbc46d.flac,12.44,1ebdee7e694543ec03aaee954ce90a7b27911c24423b1a67f872cd82a426f59d
0,librispeech-test-clean:3570-5696-0003,librispeech-test-clean:3570,bonafide,LibriSpeech_test-clean,voice_pool/3a7608eaa79c364224a5.flac,25.115,b827f05846208e7271887acd7a19adb3373829609d5f1af7ba26780504ed3b02
0,librispeech-test-clean:4446-2273-0004,librispeech-test-clean:4446,bonafide,LibriSpeech_test-clean,voice_pool/347bf557edf0e274bfd6.flac,5.435,13588bb74ca3ea1b30880db69bd7452455a01cb2c8975a3e9f1151915d839638
0,librispeech-test-clean:1221-135767-0010,librispeech-test-clean:1221,bonafide,LibriSpeech_test-clean,voice_pool/9ed8c7122d5b98b9675d.flac,8.2,177eb9269cade4aba5bb00bdfaa5b5f65d43a417ffe001417f59c54325aee539
0,librispeech-test-clean:8463-294828-0017,librispeech-test-clean:8463,bonafide,LibriSpeech_test-clean,voice_pool/ac4c9757bb7a5415842b.flac,9.3,11a3b46b58ea04ede2bd7862d2ea4b328a7edd78e6e91869e7eb48f17fffac10
1,asvspoof2021-df:DF_E_2034509,asvspoof2021-df:TFF1,Task2-team09,ASVspoof2021_DF_eval_nocodec,voice_pool/8b3e4a55ed7e71a330a3.flac,4.368,f022034d7cba9dab855f97424c476a043685dd767d1e1509aca2717bd1e13799
1,asvspoof2021-df:DF_E_2050277,asvspoof2021-df:TFF1,Task2-team31,ASVspoof2021_DF_eval_nocodec,voice_pool/e560795782fad865a80f.flac,4.144,f43efaaddab83479168064c5a72ac006a7d8caa7505dd3e264d0b39268326f00
1,asvspoof2021-df:DF_E_2054748,asvspoof2021-df:TFF1,Task2-team30,ASVspoof2021_DF_eval_nocodec,voice_pool/6da3a09a8db550b49235.flac,4.5125,1ca643660b6cee232b27fb94638fae8d82bdde49c5d9d7747369270ba9d20ec2
1,asvspoof2021-df:DF_E_2079156,asvspoof2021-df:TFF1,Task2-team03,ASVspoof2021_DF_eval_nocodec,voice_pool/f9933c4bd09ff269a49f.flac,5.104,84b2f44c116238dcbee8cee9706740795e2a2d39cd36a105e0f918581ab0833c
1,asvspoof2021-df:DF_E_2145417,asvspoof2021-df:TFF1,Task2-team11,ASVspoof2021_DF_eval_nocodec,voice_pool/c361aac63a9b78c3f3f6.flac,4.2700625,25c9f2e9aeb6768d7e5130d5df15fa64457e0a3a9d91a5a96bdb0a12555854fb
1,asvspoof2021-df:DF_E_2083593,asvspoof2021-df:TFF1,Task2-team08,ASVspoof2021_DF_eval_nocodec,voice_pool/4f1a06909f00bf00e8c4.flac,4.23,053a07157b2cd7501d3b886b4097b3a6932616469f787d36572956ae8ebdb82f
1,asvspoof2021-df:DF_E_2118954,asvspoof2021-df:TFF1,Task2-team25,ASVspoof2021_DF_eval_nocodec,voice_pool/e211856d942d2f856d43.flac,4.052625,1a4e161870859f5cbb9552f242eff2361d6d7cc3952311442e5fc551edb5aad8
1,asvspoof2021-df:DF_E_2028715,asvspoof2021-df:TFF1,Task2-team18,ASVspoof2021_DF_eval_nocodec,voice_pool/96938eca515557385c2e.flac,4.295375,2b9706bd10cf3b21aa84c576f3ab57017cf1bfacf2014d980de1c2496dc08c26
0,librispeech-test-clean:1320-122612-0002,librispeech-test-clean:1320,bonafide,LibriSpeech_test-clean,voice_pool/e54ebedfafa1a801dabe.flac,7.46,bcf8ec844960246ee63b0c22e95beef40dfc0b6e5efae89ac7a0d78e5afe0c9b
0,librispeech-test-clean:260-123440-0016,librispeech-test-clean:260,bonafide,LibriSpeech_test-clean,voice_pool/2ff57f4e22440b6feb98.flac,4.895,2ac189e270787f92715179f7c10b6b89844244be21ab7860ab5f9530265a1a0f
0,librispeech-test-clean:8455-210777-0041,librispeech-test-clean:8455,bonafide,LibriSpeech_test-clean,voice_pool/6d80be0444000a2d2ab4.flac,6.37,cc1cef2c911264d5eb8faab0f4a76e082d55175b9556b7047404099db81e47c1
0,librispeech-test-clean:1284-1180-0015,librispeech-test-clean:1284,bonafide,LibriSpeech_test-clean,voice_pool/d9ce360a456469f56b4d.flac,5.835,00f0041279295dd1b96b5cc8e6237f38c8d7bca02385b7be423b284039ad9886
0,librispeech-test-clean:2094-142345-0029,librispeech-test-clean:2094,bonafide,LibriSpeech_test-clean,voice_pool/9197140f7cec7ede90fb.flac,8.525,7a1eb568e49ccc9c4c172d384768614e745519174719f5ca984094a07faf60ef
0,librispeech-test-clean:1580-141083-0010,librispeech-test-clean:1580,bonafide,LibriSpeech_test-clean,voice_pool/d253cf0da1bb4f2907fb.flac,5.32,15b52d8b6b3ab1e0d95b51380278481420b17cdd350b6fe62c29aca97d46a6a7
0,librispeech-test-clean:2961-960-0016,librispeech-test-clean:2961,bonafide,LibriSpeech_test-clean,voice_pool/1540e8f2e6f9bae39e85.flac,7.76,3cbc9d5a919c05be30d65cca738fc22fb5c1bb1958de78e447cc1353003cba58
0,librispeech-test-clean:5142-33396-0007,librispeech-test-clean:5142,bonafide,LibriSpeech_test-clean,voice_pool/07e5965f30dcfa0d7a4b.flac,4.975,eddeb87a8988b490557af3d3f4284e07e83fc09d4de90ec08e2983564bfdae5c
1,asvspoof2021-df:DF_E_2033951,asvspoof2021-df:TFF1,Task2-team13,ASVspoof2021_DF_eval_nocodec,voice_pool/c77e2a3b54ffdd05eebb.flac,5.0346875,2dbb1813a0a2fabb28279eee082dfc0d98e24e9699fd6d7cda6d5f7c4ac40456
1,asvspoof2021-df:DF_E_2061272,asvspoof2021-df:TFF1,Task2-team27,ASVspoof2021_DF_eval_nocodec,voice_pool/f0d91203b8df6c80b116.flac,4.853375,0a8d55b1e4a2971a3ce2fc138d310a51f96104c33f4102331bb82ff1b401362a
1,asvspoof2021-df:DF_E_2147722,asvspoof2021-df:TFF1,Task2-team07,ASVspoof2021_DF_eval_nocodec,voice_pool/31578032cde8bb7fec66.flac,5.025,0517f2d10eadfb7fa68a56d39f412cdae43c0f50b1d9f8546b631123572c1878
1,asvspoof2021-df:DF_E_2047593,asvspoof2021-df:TFF1,Task2-team28,ASVspoof2021_DF_eval_nocodec,voice_pool/210cdcecd2610e951972.flac,4.15,a8a28087dd3c8e18489077d3424cc2c02a2e4030ad600a5c64c3ebee4020d6d0
1,asvspoof2021-df:DF_E_2052314,asvspoof2021-df:TFF1,Task2-team31,ASVspoof2021_DF_eval_nocodec,voice_pool/b71685255cd1dacd4140.flac,4.592,9c18818d9be74ad9de10f5ae7af495c807961c0b80adee84172bf11b1c9281c8
1,asvspoof2021-df:DF_E_2040211,asvspoof2021-df:TFF1,Task2-team27,ASVspoof2021_DF_eval_nocodec,voice_pool/c823fff972dac37b8adb.flac,4.544,b97cc2ad6b20d0073a02711eab1fd38c84295c40f214f65bb19519a53334704c
1,asvspoof2021-df:DF_E_2018004,asvspoof2021-df:TFF1,Task2-team13,ASVspoof2021_DF_eval_nocodec,voice_pool/055f49bcd5508493f25a.flac,4.117375,c30eb99af294811d23b49d2d94fefe9932c003e9558a626dd2ace9c3e53aaa19
1,asvspoof2021-df:DF_E_2026162,asvspoof2021-df:TFF1,Task2-team19,ASVspoof2021_DF_eval_nocodec,voice_pool/bc3d2a0b38a4d5b5564b.flac,4.096,e2dc921046c726b8705e99c618a385aac8993705f553054cbcfdc444cc25ac06
