ID,voice_score,music_score,music_v3_score
factorial_0714,0.09856686,0.2497755,0.18538253
factorial_0721,0.18813673,0.62647015,0.00033965425
factorial_0728,0.14064085,0.4475542,0.26208758
factorial_0735,0.08301698,0.34175888,0.00019607494
factorial_0742,0.08919716,0.9991617,0.005273637
factorial_0749,0.104492396,0.9541423,0.69394577
factorial_0756,0.54258585,0.99309134,0.0073083695
factorial_0763,0.8245967,0.040148575,0.8796052
factorial_0770,0.8994662,0.93587655,0.15188783
factorial_0777,0.8131228,0.8895269,0.55709755
factorial_0784,0.17411497,0.9816157,0.14929713
factorial_0791,0.63897896,0.8364809,0.9868347
factorial_0798,0.9549014,0.99296135,0.8565333
factorial_0805,0.27693543,0.07093576,0.01294905
factorial_0812,0.16494359,0.053455755,0.0015899114
factorial_0819,0.11829164,0.76931643,0.00027271878
factorial_0826,0.38454738,0.005262115,3.287551e-09
factorial_0833,0.60768133,0.9545027,0.49368274
factorial_0840,0.26831904,0.002367787,0.061047696
factorial_0847,0.02234131,0.99552554,0.00043352236
factorial_0854,0.86893547,0.9663644,0.2303178
factorial_0861,0.9861627,0.43396604,0.0007023956
factorial_0868,0.93727934,0.33318782,0.0038505027
factorial_0875,0.62063956,0.03672464,0.9995247
factorial_0882,0.12579684,0.002141875,0.0066441773
factorial_0889,0.05750333,0.99561286,0.00027101583
factorial_0896,0.7769981,0.9978561,4.9928618e-05
factorial_0903,0.8981237,0.39632803,8.846912e-06
factorial_0910,0.28550708,0.0001297154,0.0017624206
factorial_0917,0.2231266,0.79518586,0.07666621
factorial_0924,0.09094208,0.00030244526,0.00014724195
factorial_0931,0.20392467,0.21615778,0.9119759
factorial_0938,0.22603804,0.0065028,0.0015902178
factorial_0945,0.88078696,0.9955069,0.00047812468
factorial_0952,0.30048442,1.2122786e-05,0.00061436073
factorial_0959,0.06021994,0.7167911,0.00023197796
factorial_0966,0.5406351,0.00019503078,0.00016232944
factorial_0973,0.8268402,0.0011648074,0.015004667
factorial_0980,0.3001802,0.9365368,0.99980885
factorial_0987,0.27928588,0.24917023,0.47488904
factorial_0994,0.6757257,0.9998927,0.26912028
factorial_1001,0.26171184,5.303956e-05,2.5638924e-06
factorial_1008,0.43642795,0.00025463713,0.014211714
factorial_1015,0.34450576,0.00053898647,0.028582556
factorial_1022,0.9126815,0.08175957,0.051081177
factorial_1029,0.8807807,0.97001565,0.9312007
factorial_1036,0.3322179,0.0089910915,0.0007344455
factorial_1043,0.025526447,0.8993714,0.008666124
factorial_1050,0.21041554,2.7059777e-05,0.91508234
factorial_1057,0.67886794,0.008298824,0.00015725398
factorial_1064,0.79180455,0.6300428,0.97701615
factorial_1071,0.76183176,0.025692314,0.7883475
factorial_1078,0.22444782,0.99823713,0.9997892
factorial_1085,0.17198089,0.9989856,0.079464145
factorial_1092,0.13897985,0.5310428,5.985304e-06
factorial_1099,0.651342,0.13878775,0.16156201
factorial_1106,0.6312328,0.26725316,0.001108961
factorial_1113,0.09211958,0.6373888,0.007288274
factorial_1120,0.23698558,0.0274758,3.5170703e-07
factorial_1127,0.086717226,0.7245023,0.0021991138
factorial_1134,0.3982557,0.673036,0.21086738
factorial_1141,0.054419436,0.13018568,0.013597683
factorial_1148,0.4509032,0.86046,0.975716
factorial_1155,0.25514588,0.19192539,0.0026122464
factorial_1162,0.6271721,0.31399277,4.8132188e-06
factorial_1169,0.8147939,0.286433,0.0021850897
factorial_1176,0.28005725,0.967545,0.27634677
factorial_1183,0.7393645,0.8700804,0.01415564
factorial_1190,0.31676108,0.5933888,0.046833992
factorial_1197,0.57059985,0.97954607,0.98635143
factorial_0001,0.7524557,0.09668967,0.010562682
factorial_0008,0.7572012,0.67312354,3.5004457e-05
factorial_0015,0.5214265,0.05634155,0.00012085023
factorial_0022,0.83799505,0.29877058,0.00044715108
factorial_0029,0.88759446,0.0021139102,0.07578494
factorial_0036,0.31263626,0.83743006,1.5550317e-05
factorial_0043,0.46864533,0.004635435,0.0014701805
factorial_0050,0.9070736,0.9520572,0.038322862
factorial_0057,0.75457996,0.7956874,0.02939652
factorial_0064,0.5834145,0.89031136,1.2405898e-05
factorial_0071,0.9937219,0.935527,0.16037309
factorial_0078,0.4404612,0.4292702,0.9974878
factorial_0085,0.49186164,0.51965207,0.9889059
factorial_0092,0.40947995,0.77386135,0.98580265
factorial_0099,0.64237106,0.9999852,0.16302556
factorial_0106,0.0058540828,0.027787877,3.9826715e-05
factorial_0113,0.30048436,0.027245915,1.1038227e-06
factorial_0120,0.054410677,0.0035766978,0.0029261764
factorial_0127,0.51619744,0.9993728,0.67209524
factorial_0134,0.77989244,0.8042738,2.4156661e-05
factorial_0141,0.8783717,0.8681031,0.00018995455
factorial_0148,0.5373351,0.96184486,0.00042630636
factorial_0155,0.28922123,0.035505056,0.05632421
factorial_0162,0.70978594,0.004678224,0.0001774723
factorial_0169,0.43814856,0.8720756,0.74034554
factorial_0176,0.9392313,0.96576804,0.010888377
factorial_0183,0.41117403,0.84339327,0.070698194
factorial_0190,0.5309868,0.8345203,6.7377565e-05
factorial_0197,0.8821603,0.2393354,0.0009117776
factorial_0204,0.39959282,0.02831258,0.00056727807
factorial_0211,0.25298488,0.11502341,0.00019175978
factorial_0218,0.62289447,0.035095442,0.000437071
factorial_0225,0.8347764,0.92178506,0.39081776
factorial_0232,0.090312816,0.3728607,0.0005738359
factorial_0239,0.7682802,0.97883534,5.002822e-06
factorial_0246,0.32841367,0.20673601,0.95239633
factorial_0253,0.6391113,0.031752586,0.0033901278
factorial_0260,0.4549561,0.12604143,1.2203808e-05
factorial_0267,0.95872283,0.8500625,0.28739223
factorial_0274,0.19622394,0.11764918,0.9939757
factorial_0281,0.5225072,0.992163,0.00472886
factorial_0288,0.5591112,0.318177,0.999388
factorial_0295,0.7967101,0.8824927,0.04420573
factorial_0302,0.29071945,0.45136473,8.308613e-05
factorial_0309,0.5803086,0.97027844,0.0063130483
factorial_0316,0.3275245,0.05734325,0.0007946376
factorial_0323,0.015717525,0.85755795,0.004679539
factorial_0330,0.1500203,0.21172023,0.03061917
factorial_0337,0.55440843,0.14958148,0.0015791686
factorial_0344,0.48795578,0.9889749,0.06544077
factorial_0351,0.89285904,0.99329376,0.012467065
factorial_0358,0.33697134,6.1070605e-05,2.6114474e-05
factorial_0365,0.18123858,0.018296408,0.05029794
factorial_0372,0.34080687,0.24994035,0.022890097
factorial_0379,0.6881188,0.95997226,0.9877494
factorial_0386,0.2762852,0.8121966,0.051790126
factorial_0393,0.6283871,0.99637294,0.8052338
factorial_0400,0.67530864,0.06995173,0.0627192
factorial_0407,0.14854862,0.90089685,0.00032090137
factorial_0414,0.01989873,0.9989942,0.00024112566
factorial_0421,0.5820887,0.26255926,0.020315368
factorial_0428,0.02275905,4.831785e-05,0.0007093093
factorial_0435,0.6467985,0.00046826445,0.00064392126
factorial_0442,0.8208008,0.09689724,0.014347721
factorial_0449,0.14369564,0.23849496,0.5820699
factorial_0456,0.96784925,0.96343195,0.015248063
factorial_0463,0.14065577,0.98616856,0.0012032515
factorial_0470,0.9295634,0.7717028,6.090138e-07
factorial_0477,0.318794,0.9884769,0.051759414
factorial_0484,0.10730719,0.1601274,0.79243416
factorial_0491,0.89766973,0.7377595,0.00014010622
factorial_0498,0.22709982,0.9956138,0.004058699
factorial_0505,0.30034843,0.29190102,0.00032566054
factorial_0512,0.098924875,0.61095923,0.0028224008
factorial_0519,0.29607385,0.15241088,0.0016685413
factorial_0526,0.5528407,0.5405242,0.002130047
factorial_0533,0.49977782,0.998923,0.012192163
factorial_0540,0.42884868,0.9985079,0.98271585
factorial_0547,0.3885828,0.033735838,0.021107115
factorial_0554,0.28835422,0.0023604669,6.847137e-05
factorial_0561,0.28124884,9.81098e-06,3.2115153e-05
factorial_0568,0.31381968,0.67870235,0.0035585635
factorial_0575,0.29778725,0.44506264,0.0003586072
factorial_0582,0.6497292,0.97652435,0.2533823
factorial_0589,0.05768396,0.8213174,0.0022218102
factorial_0596,0.21958607,0.9540838,0.0015417014
factorial_0603,0.024424125,0.36786965,0.006521075
factorial_0610,0.6797446,0.19037722,0.00013381561
factorial_0617,0.20017913,0.00020518406,0.0010453395
factorial_0624,0.02925713,0.025540868,0.00562463
factorial_0631,0.63647604,0.39763996,0.51868206
factorial_0638,0.075605355,0.25622204,0.029887138
factorial_0645,0.02832896,0.97248274,0.018567115
factorial_0652,0.355239,0.712067,0.99983144
factorial_0659,0.32604218,0.578526,0.5485643
factorial_0666,0.9631489,0.00095919025,0.13200103
factorial_0673,0.6293519,0.378387,0.0009198722
factorial_0680,0.7679416,0.9994174,0.0631801
factorial_0687,0.82393944,0.1838537,0.9996836
factorial_0694,0.7452889,0.9682234,0.80737233
factorial_0701,0.18720877,0.10175011,0.0009614748
factorial_0708,0.15146072,0.9398037,0.003624505
factorial_0715,0.018681187,0.9496395,0.27403477
factorial_0722,0.6152689,0.46213907,0.3509488
factorial_0729,0.07200662,0.8066299,0.0050253393
factorial_0736,0.45909533,0.6322474,0.0011727198
factorial_0743,0.6419373,0.99774325,0.9949838
factorial_0750,0.32872835,0.8548277,0.000113757
factorial_0757,0.74150306,0.004102981,0.97886306
factorial_0764,0.23210461,0.11632669,0.13424185
factorial_0771,0.037913974,0.58875394,0.19070192
factorial_0778,0.80998945,0.92624354,0.22303982
factorial_0785,0.63671535,0.97463685,0.029117826
factorial_0792,0.88940525,0.9401989,0.9910216
factorial_0799,0.53787494,0.6698277,0.0047059106
factorial_0806,0.21355766,0.50551283,0.013086245
factorial_0813,0.5464909,0.17634803,0.005198031
factorial_0820,0.063291624,0.05914528,6.864468e-05
factorial_0827,0.34951058,0.9807576,0.00043099193
factorial_0834,0.038388014,1.6758561e-06,0.013933987
factorial_0841,0.05908015,0.00016082208,0.041731056
factorial_0848,0.18057661,0.021449605,0.0001856972
factorial_0855,0.99606776,0.6179085,0.11248037
factorial_0862,0.97592306,0.921368,0.0025344505
factorial_0869,0.92889345,0.9563811,0.5083289
factorial_0876,0.5314398,0.99631727,0.99155575
factorial_0883,0.6944359,0.999846,0.3140685
factorial_0890,0.30365822,0.6173114,0.017224703
factorial_0897,0.5565715,0.99990094,0.99991214
factorial_0904,0.18447098,0.00022477121,0.45313063
factorial_0911,0.66699433,0.98979247,0.00014556537
factorial_0918,0.38370067,0.01778472,0.029666048
factorial_0925,0.017145118,0.43372932,0.121631496
factorial_0932,0.4450698,0.072414525,2.5683641e-05
factorial_0939,0.17923652,0.024186281,0.60904443
factorial_0946,0.06892477,0.48457155,0.00379019
factorial_0953,0.35977373,4.6483394e-05,8.116631e-05
factorial_0960,0.164307,2.4730332e-05,2.3826651e-05
factorial_0967,0.090222366,0.0059148776,2.0524422e-07
factorial_0974,0.3543093,0.22618276,0.031775616
factorial_0981,0.98557436,0.9999012,0.9422063
factorial_0988,0.61347294,0.3466787,0.00134971
factorial_0995,0.4400702,0.9959122,0.6563584
factorial_1002,0.3054228,0.0007013314,0.031668562
factorial_1009,0.2776003,8.958156e-05,0.61531603
factorial_1016,0.34815767,0.033334695,0.00054885005
factorial_1023,0.020162882,0.9469652,0.96936876
factorial_1030,0.28630635,0.9981458,0.06214949
factorial_1037,0.20576353,0.9883073,0.4319344
factorial_1044,0.10541781,0.95810753,0.121034995
factorial_1051,0.68811196,0.99266255,0.0039864103
factorial_1058,0.52195895,0.003639563,0.009463972
factorial_1065,0.4263889,0.9569049,4.93296e-06
factorial_1072,0.9462751,0.7826714,0.007047583
factorial_1079,0.16345868,0.98995775,0.0033397595
factorial_1086,0.33699173,0.047783732,0.07804106
factorial_1093,0.9354725,0.32518956,0.27389258
factorial_1100,0.29962078,0.24985439,0.006391309
factorial_1107,0.248619,0.32869953,0.01143135
factorial_1114,0.71029365,0.05140924,0.00047653407
factorial_1121,0.06536841,4.953373e-07,0.46848422
factorial_1128,0.2864582,0.06261504,0.019609079
factorial_1135,0.7670156,0.9273545,0.12475068
factorial_1142,0.11326386,0.970584,0.061146747
factorial_1149,0.2997946,0.774919,0.39735782
factorial_1156,0.55075514,0.989373,0.016935566
factorial_1163,0.26988316,0.06118458,0.00068944664
factorial_1170,0.6423206,0.006105998,0.49302474
factorial_1177,0.61322653,0.45362654,0.7469243
factorial_1184,0.70132285,0.23573096,0.3338351
factorial_1191,0.599103,0.9855422,0.053122893
factorial_1198,0.76405025,0.99362683,0.2570236
factorial_0002,0.614117,0.319394,0.0015703794
factorial_0009,0.64066356,0.9964735,0.0051646973
factorial_0016,0.2647573,0.07280163,9.542079e-06
factorial_0023,0.16584954,0.7885465,0.007990368
factorial_0030,0.24608926,0.21694556,0.8526959
factorial_0037,0.30087903,0.20369874,0.15442808
factorial_0044,0.3066403,0.0047615776,0.04424822
factorial_0051,0.9882544,0.7190612,0.0013200552
factorial_0058,0.98120743,0.8610477,0.0017498351
factorial_0065,0.97483283,0.99033785,0.0056759925
factorial_0072,0.92723286,0.95366836,0.002535415
factorial_0079,0.66380715,0.9072505,0.04974569
factorial_0086,0.31708273,0.3749634,0.00018569878
factorial_0093,0.6125629,0.91372585,0.02727649
factorial_0100,0.21549012,0.048860192,6.895172e-05
factorial_0107,0.04528549,0.00030688316,0.032376017
factorial_0114,0.48520038,0.00016895971,0.00037617589
factorial_0121,0.4483398,0.29662496,0.03197561
factorial_0128,0.6682164,0.012678235,0.0031428642
factorial_0135,0.81219566,0.9851077,0.0002289138
factorial_0142,0.06680586,0.98225164,0.0024425606
factorial_0149,0.4039082,0.2244732,0.002515155
factorial_0156,0.17119625,0.06355127,0.019001266
factorial_0163,0.76547295,0.5612144,0.0009140378
factorial_0170,0.41098067,0.98443675,0.045169502
factorial_0177,0.8840198,0.9990465,0.08362304
factorial_0184,0.21736997,0.8636268,0.025753368
factorial_0191,0.8743306,0.98226124,0.00399911
factorial_0198,0.17670085,0.3707675,0.0002535762
factorial_0205,0.014687816,0.0091937715,0.021888893
factorial_0212,0.12045066,0.43548235,0.010906387
factorial_0219,0.93265784,0.77547216,0.009320098
factorial_0226,0.3634377,0.11219666,0.5624515
factorial_0233,0.6530582,0.81230485,0.99763596
factorial_0240,0.07830965,0.82555705,0.013210155
factorial_0247,0.66247517,0.9814927,0.23598963
factorial_0254,0.9206031,0.36894858,0.20076516
factorial_0261,0.9045287,0.5708593,0.00028673158
factorial_0268,0.53657657,0.55352104,0.0072544864
factorial_0275,0.70911795,0.99619824,0.10007512
factorial_0282,0.31182188,0.99753845,0.004312652
factorial_0289,0.7020312,0.009130641,0.01599795
factorial_0296,0.32896578,0.6429689,0.022489112
factorial_0303,0.90557545,0.45017916,0.0039310376
factorial_0310,0.56485313,0.9427898,0.00039244976
factorial_0317,0.6959995,0.15248175,7.772526e-05
factorial_0324,0.046326563,0.7997137,0.014030315
factorial_0331,0.122130804,0.67225504,0.99739313
factorial_0338,0.45458323,0.91793233,0.053884838
factorial_0345,0.19493131,0.9959228,0.020713782
factorial_0352,0.6964271,0.8142567,0.437319
factorial_0359,0.41338766,0.018973092,0.0029650186
factorial_0366,0.40426114,0.110005215,0.000107792795
factorial_0373,0.68876773,0.3267925,0.114436686
factorial_0380,0.70738214,0.9653836,0.4275195
factorial_0387,0.13416284,0.99930906,0.9985869
factorial_0394,0.9006935,0.95456064,0.0017643991
factorial_0401,0.12048883,0.040522516,3.4375127e-05
factorial_0408,0.88583046,0.34244356,0.0718745
factorial_0415,0.01474613,0.70287126,0.00012041896
factorial_0422,0.7156961,0.18975115,0.0022873287
factorial_0429,0.2995489,0.00020527017,0.037455007
factorial_0436,0.1867344,7.563114e-05,0.002717122
factorial_0443,0.7748552,0.00049671205,1.098476e-07
factorial_0450,0.9852335,0.75260144,0.015408876
factorial_0457,0.97496575,0.99566334,0.060143888
factorial_0464,0.95701504,0.23667945,7.3990446e-07
factorial_0471,0.9052981,0.6652536,0.00610274
factorial_0478,0.7132608,0.004356337,0.9446736
factorial_0485,0.22191791,0.9903322,0.91478425
factorial_0492,0.9950622,0.97453827,0.7393724
factorial_0499,0.21048158,0.99879116,0.036010507
factorial_0506,0.03617558,0.06810643,9.422951e-05
factorial_0513,0.13521712,9.350065e-05,0.00018778739
factorial_0520,0.002667164,0.8771506,0.0009937538
factorial_0527,0.75447375,0.9938269,0.955256
factorial_0534,0.051773846,0.99593675,0.0007234483
factorial_0541,0.026705055,0.93205285,0.00018020144
factorial_0548,0.31490248,0.005667234,0.13433084
factorial_0555,0.2530924,0.5434261,9.401438e-05
factorial_0562,0.56495845,0.0063263015,1.0550591e-05
factorial_0569,0.18953349,2.9114022e-05,0.00048571383
factorial_0576,0.57732964,0.857832,0.00010088038
factorial_0583,0.6486483,0.0076438296,4.8464182e-05
factorial_0590,0.12042321,0.9864956,1.5437827e-05
factorial_0597,0.24450424,0.6433976,0.028141119
factorial_0604,0.27676827,0.0003841322,0.001017075
factorial_0611,0.41990548,0.06610785,0.4368385
factorial_0618,0.5086313,0.0006954657,0.0006076747
factorial_0625,0.31622326,0.9982431,0.06404521
factorial_0632,0.121833175,0.54241085,0.9889686
factorial_0639,0.03007795,0.017818728,0.00037854983
factorial_0646,0.16681111,0.8694144,0.0016040625
factorial_0653,0.81788737,0.0005479718,0.0033018163
factorial_0660,0.3437261,0.9932289,0.003871704
factorial_0667,0.7784884,4.6017074e-05,0.0013646965
factorial_0674,0.26816353,0.11865859,0.44890583
factorial_0681,0.7539756,0.00042923138,0.0020985883
factorial_0688,0.87532437,0.4379194,0.98825806
factorial_0695,0.2663577,0.820385,0.7511377
factorial_0702,0.15162767,0.8123757,0.15020369
factorial_0709,0.07569338,0.82866305,0.0072127064
factorial_0716,0.27237308,0.019777704,2.8912375e-05
factorial_0723,0.1157823,0.31123504,0.0026336825
factorial_0730,0.24513443,0.9856258,0.0995471
factorial_0737,0.459242,0.99608237,0.100175165
factorial_0744,0.10238475,0.97733647,0.55537736
factorial_0751,0.34273088,0.90362066,0.0023823404
factorial_0758,0.7733583,0.34696016,0.48539028
factorial_0765,0.5526312,0.2565859,0.008273956
factorial_0772,0.89225686,0.34998176,0.00026437367
factorial_0779,0.9023288,0.8616369,0.0008427933
factorial_0786,0.42830285,0.99992645,0.00021096773
factorial_0793,0.40771198,0.9999479,0.8824634
factorial_0800,0.0062646368,0.19723043,0.0005736511
factorial_0807,0.11829164,0.76931643,0.00027271878
factorial_0814,0.69351375,0.46777847,0.0022772471
factorial_0821,0.42672178,0.8105576,0.026266482
factorial_0828,0.050767023,1.8005459e-06,0.048705395
factorial_0835,0.36431274,0.9778502,0.99156004
factorial_0842,0.8911337,7.026961e-05,0.98630464
factorial_0849,0.89652866,0.40955678,0.001512424
factorial_0856,0.9832466,0.74620986,0.36651134
factorial_0863,0.96079797,0.9624825,0.004611743
factorial_0870,0.8994341,0.90130085,0.011467109
factorial_0877,0.26461443,0.98823094,0.80064344
factorial_0884,0.19517116,0.99990165,0.15799947
factorial_0891,0.17305976,0.99325234,0.20698494
factorial_0898,0.06322187,0.00027073588,0.9554196
factorial_0905,0.079794325,0.0005047813,0.0009457343
factorial_0912,0.77714735,0.13497129,0.020599626
factorial_0919,0.3300228,0.14541095,8.898273e-06
factorial_0926,0.2809321,0.00041969673,0.021783406
factorial_0933,0.49315837,0.34973678,0.10800977
factorial_0940,0.48845732,0.0010147551,0.999716
factorial_0947,0.8953796,0.00019258744,0.9998142
factorial_0954,0.025732772,0.0011094285,2.7768781e-05
factorial_0961,0.69006276,0.27103359,0.0021758978
factorial_0968,0.45469263,0.0034861595,0.32820868
factorial_0975,0.8334544,0.002878983,0.014863425
factorial_0982,0.63226086,0.4937302,0.0013497242
factorial_0989,0.2067742,0.012432693,0.00089171954
factorial_0996,0.06399494,0.031000521,0.033372525
factorial_1003,0.5157826,0.33775297,0.000185336
factorial_1010,0.33468354,0.0024510603,0.00010680381
factorial_1017,0.5039371,0.52599865,0.0046203537
factorial_1024,0.27241448,0.00043249622,0.00082726043
factorial_1031,0.6837474,0.8487805,4.349358e-06
factorial_1038,0.34339812,0.011501599,0.005402945
factorial_1045,0.44014534,0.35645822,0.018380577
factorial_1052,0.50408417,0.281406,0.042667422
factorial_1059,0.90705705,0.22391129,0.001226372
factorial_1066,0.48859766,2.0069103e-05,0.8908323
factorial_1073,0.7061836,0.25493565,0.12115893
factorial_1080,0.18471882,0.045664106,0.0047440515
factorial_1087,0.23153624,0.846344,0.0011229609
factorial_1094,0.08629317,0.98968935,0.30697185
factorial_1101,0.038207345,0.5770307,6.606708e-05
factorial_1108,0.64439905,0.9958859,0.00048278
factorial_1115,0.3163941,0.0026506067,0.0007719602
factorial_1122,0.33868998,0.0025235214,0.018728923
factorial_1129,0.15358172,0.70521736,1.1103646e-05
factorial_1136,0.03619318,0.33823618,0.0005028359
factorial_1143,0.28906196,0.9931526,0.004016383
factorial_1150,0.8315471,0.1059027,0.061002996
factorial_1157,0.4106339,0.45335162,0.95586497
factorial_1164,0.6876872,0.34670776,0.049170032
factorial_1171,0.9346617,0.9713371,0.5074408
factorial_1178,0.15600514,0.97690123,0.9361527
factorial_1185,0.7807042,0.60587186,0.92268497
factorial_1192,0.38173574,0.78353786,0.027095675
factorial_1199,0.8032376,0.0049015665,0.9977337
factorial_0003,0.93065846,0.27587733,0.0018971133
factorial_0010,0.7936892,0.3591849,0.0008068406
factorial_0017,0.152737,0.99788696,0.013147105
factorial_0024,0.09889932,0.29463583,0.0005316594
factorial_0031,0.17074779,8.757754e-05,2.425311e-07
factorial_0038,0.4052398,0.0057359496,0.120784
factorial_0045,0.07715411,0.76591265,0.008800429
factorial_0052,0.9413535,0.99951315,0.0042581945
factorial_0059,0.36779004,0.79744625,0.032749057
factorial_0066,0.91008395,0.8300604,0.00018001272
factorial_0073,0.97874635,0.9425705,0.008242317
factorial_0080,0.22015435,0.34996167,0.99999285
factorial_0087,0.53427005,0.85060495,0.045842223
factorial_0094,0.058429718,0.76888674,0.99991333
factorial_0101,0.69957626,0.23210397,0.0012237536
factorial_0108,0.0369637,0.63664675,7.8836376e-05
factorial_0115,0.620445,0.05250701,3.603483e-05
factorial_0122,0.4949628,0.92829937,0.19396606
factorial_0129,0.8897645,0.6092623,0.009081342
factorial_0136,0.08612338,0.022581164,0.0027392101
factorial_0143,0.64756763,0.9998591,0.0005350696
factorial_0150,0.4177269,0.0055219773,3.1196647e-05
factorial_0157,0.0007081969,0.16219234,0.49451137
factorial_0164,0.34334612,0.0864842,0.3996591
factorial_0171,0.7907547,0.0010317896,0.00049310835
factorial_0178,0.15692037,0.94031495,0.0029869482
