GROUP,VALUE,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
MIX_MODE,partial_overlap,300,300,300,300,0.29333333333333333,0.21999999999999997,0.33999999999999997,,,0.7073333333333334,,
MIX_MODE,sequential,300,300,300,300,0.24,0.15333333333333332,0.31999999999999995,,,0.7533333333333334,,
MIX_MODE,voice_only,150,150,150,0,0.10666666666666669,0.10666666666666669,,,,,,
VOICE_GENERATOR,bonafide,525,525,525,450,0.34277777777777774,,0.3466666666666667,,0.9942814814814813,,,
VOICE_GENERATOR,cosyvoice3_0.5b,135,135,135,113,,,0.3273959646910466,,0.989139179404666,,,
VOICE_GENERATOR,f5tts_v1_base,127,127,127,115,,,0.33045977011494254,,1.0,,,
VOICE_GENERATOR,qwen3tts_custom_0.6b,143,143,143,124,,,0.4117725219239968,,0.9995755517826825,,,
VOICE_GENERATOR,qwen3tts_finetuned_1.7b,120,120,120,98,,,0.3164983164983165,,0.9893320964749537,,,
VOICE_GENERATOR,nan,150,150,0,150,0.31999999999999995,,0.33333333333333337,,,,,
MUSIC_GENERATOR,acestep,45,45,38,45,,0.21130952380952384,,1.0,,,,
MUSIC_GENERATOR,audioldm,48,48,42,48,,0.33333333333333337,,1.0,,,,
MUSIC_GENERATOR,brev,45,45,36,45,,0.36068111455108354,,0.9845679012345678,,,,
MUSIC_GENERATOR,diffrhythm,42,42,37,42,,0.22844827586206895,,1.0,,,,
MUSIC_GENERATOR,elevenlabs,38,38,33,38,,0.2111111111111111,,1.0,,,,
MUSIC_GENERATOR,mubert,45,45,43,45,,0.14021739130434785,,1.0,,,,
MUSIC_GENERATOR,musicgen,40,40,36,40,,0.22408026755852842,,1.0,,,,
MUSIC_GENERATOR,producer,40,40,35,40,,0.256578947368421,,1.0,,,,
MUSIC_GENERATOR,real,525,525,450,525,0.3238888888888889,0.2533333333333333,,0.9947555555555556,,,,
MUSIC_GENERATOR,songgen,42,42,29,42,,0.5147058823529411,,1.0,,,,
MUSIC_GENERATOR,stableaudio,49,49,44,49,,0.27350427350427353,,1.0,,,,
MUSIC_GENERATOR,suno,50,50,39,50,,0.20526315789473681,,0.993006993006993,,,,
MUSIC_GENERATOR,udio,41,41,38,41,,0.45072463768115945,,0.7894736842105263,,,,
MUSIC_GENERATOR,nan,150,150,150,0,0.10666666666666669,0.10666666666666669,,,,,,
SNR_DB,-10.0,133,133,133,133,0.396969696969697,0.36092265943012214,0.3909995477159656,,,0.6120307553143374,,
SNR_DB,-5.0,102,102,102,102,0.36100386100386106,0.3428683385579937,0.34328070850981907,,,0.647940189233525,,
SNR_DB,0.0,139,139,139,139,0.3074127906976744,0.27326839826839827,0.34588607594936704,,,0.687874102212673,,
SNR_DB,5.0,123,123,123,123,0.38446969696969696,0.37359098228663445,0.32543336944745394,,,0.6354169442235884,,
SNR_DB,10.0,103,103,103,103,0.265993265993266,0.27187028657616896,0.3299319727891157,,,0.7136497178513985,,
SNR_DB,nan,600,600,450,450,0.2217777777777778,0.14666666666666664,0.31999999999999995,0.9999703703703703,0.9975851851851851,0.7637777777777777,0.9987777777777778,0.7872777777777777
OVERLAP_FRACTION,0.25,104,104,104,104,0.25,0.11542730299667035,0.3844718178424785,,,0.7365729940479224,,
OVERLAP_FRACTION,0.5,107,107,107,107,0.22986111111111113,0.21526315789473682,0.3364779874213837,,,0.741073416639082,,
OVERLAP_FRACTION,0.75,89,89,89,89,0.39565217391304347,0.3257653061224489,0.3711734693877551,,,0.625668811002662,,
OVERLAP_FRACTION,nan,900,900,750,750,0.29666666666666663,0.248,0.33866666666666667,0.9911822222222223,0.9932622222222222,0.7004666666666667,0.9922222222222222,0.7296422222222222
ORDER,music_first,295,295,295,295,0.2743736887572504,0.1898416643652766,0.3457471264367816,,,0.7211206848172851,,
ORDER,voice_first,305,305,305,305,0.2592560947824106,0.17704296908636868,0.3672043010752688,,,0.7248020684689404,,
ORDER,nan,600,600,450,450,0.3248888888888889,0.2977777777777778,0.3466666666666667,0.9853333333333334,0.9910074074074073,0.6739999999999999,0.9881703703703704,0.705417037037037
FILE_EXTENSION,.flac,600,600,524,526,0.2815043959622273,0.20229302332357266,0.3174943974553604,0.9959572117316191,0.9911108827458638,0.7235408781175637,0.9935340472387415,0.7505401950296815
FILE_EXTENSION,.mp3,200,200,175,175,0.26630749623450356,0.2857236154649948,0.3657262277951933,0.9885714285714285,0.9984,0.6999836604511913,0.9934857142857143,0.7293338658346437
FILE_EXTENSION,.ogg,201,201,176,175,0.31318430656934304,0.2727272727272727,0.3714397700548733,0.99,0.9997802197802197,0.6774304611534119,0.9948901098901098,0.7091764260270816
FILE_EXTENSION,.wav,199,199,175,174,0.3015289449112979,0.2971525600835946,0.3045718816067653,0.9928571428571429,0.9965517241379311,0.6984334510456025,0.994704433497537,0.728060549290796
COMPONENT_CASE,music_fake,75,75,0,75,,,,,,,,
COMPONENT_CASE,music_real,75,75,0,75,,,,,,,,
COMPONENT_CASE,voice_fake,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_fake__music_fake,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_fake__music_real,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real,75,75,75,0,,,,,,,,
COMPONENT_CASE,voice_real__music_fake,225,225,225,225,,,,,,,,
COMPONENT_CASE,voice_real__music_real,225,225,225,225,,,,,,,,
EVAL_CELL,concurrent__voice_fake__music_fake,75,75,75,75,,,,,,,,
EVAL_CELL,concurrent__voice_fake__music_real,75,75,75,75,,,,,,,,
EVAL_CELL,concurrent__voice_real__music_fake,75,75,75,75,,,,,,,,
EVAL_CELL,concurrent__voice_real__music_real,75,75,75,75,,,,,,,,
EVAL_CELL,music_only__music_fake,75,75,0,75,,,,,,,,
EVAL_CELL,music_only__music_real,75,75,0,75,,,,,,,,
EVAL_CELL,partial_overlap__voice_fake__music_fake,75,75,75,75,,,,,,,,
EVAL_CELL,partial_overlap__voice_fake__music_real,75,75,75,75,,,,,,,,
EVAL_CELL,partial_overlap__voice_real__music_fake,75,75,75,75,,,,,,,,
EVAL_CELL,partial_overlap__voice_real__music_real,75,75,75,75,,,,,,,,
EVAL_CELL,sequential__voice_fake__music_fake,75,75,75,75,,,,,,,,
EVAL_CELL,sequential__voice_fake__music_real,75,75,75,75,,,,,,,,
EVAL_CELL,sequential__voice_real__music_fake,75,75,75,75,,,,,,,,
EVAL_CELL,sequential__voice_real__music_real,75,75,75,75,,,,,,,,
EVAL_CELL,voice_only__voice_fake,75,75,75,0,,,,,,,,
EVAL_CELL,voice_only__voice_real,75,75,75,0,,,,,,,,
