ID,SOURCE_DATASET,SINGER_ID,ATTACK,VOICE_FAKE,SPLIT,AUTHENTICITY,UNUSED_PROTOCOL_FIELD
CtrSVDD_0000_T_0000027,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000028,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000029,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000030,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000031,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000032,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000033,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000034,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000035,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000036,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000037,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000038,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000039,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000040,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000041,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000042,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000043,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000044,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000045,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000046,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000047,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000048,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000049,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000050,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000051,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000052,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000053,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000054,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000055,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000056,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000057,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000058,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000059,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000060,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000061,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000062,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000063,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000064,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000065,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000066,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000067,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000068,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000069,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000070,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000071,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000072,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000073,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000074,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000075,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000076,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000077,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000078,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000079,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000080,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000081,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000082,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000083,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000084,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000085,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000086,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000087,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000088,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000089,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000090,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000091,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000092,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000093,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000094,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000095,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000096,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000097,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000098,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000099,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000100,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000101,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000102,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000103,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000104,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000105,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000106,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000107,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000108,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000109,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000110,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000111,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000112,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000113,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000114,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000115,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000116,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000117,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000118,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000119,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000120,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000121,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000122,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000123,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000124,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000125,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000126,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000127,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000128,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000129,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000130,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000131,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000132,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000133,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000134,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000135,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000136,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000137,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000138,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000139,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000140,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000141,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000142,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000143,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000144,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000145,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000146,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000147,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000148,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000149,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000150,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000151,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000152,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000153,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000154,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000155,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000156,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000157,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000158,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000159,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000160,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000161,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000162,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000163,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000164,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000165,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000166,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000167,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000168,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000169,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000170,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000171,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000172,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000173,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000174,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000175,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000176,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000177,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000178,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000179,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000180,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000181,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000182,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000183,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000184,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000185,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000186,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000187,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000188,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000189,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000190,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000191,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000192,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000193,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000194,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000195,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000196,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000197,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000198,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000199,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000200,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000201,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000202,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000203,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000204,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000205,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000206,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000207,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000208,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000209,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000210,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000211,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000212,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000213,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000214,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000215,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000216,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000217,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000218,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000219,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000220,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000221,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000222,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000223,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000224,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000225,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000226,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000227,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000228,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000229,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000230,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000231,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000232,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000233,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000234,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000235,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000236,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000237,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000238,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000239,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000240,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000241,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000242,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000243,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000244,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000245,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000246,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000247,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000248,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000249,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000250,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000251,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000252,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000253,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000254,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000255,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000256,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000257,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000258,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000259,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000260,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000261,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000262,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000263,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000264,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000265,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000266,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000267,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000268,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000269,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000270,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000271,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000272,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000273,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000274,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000275,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000276,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000277,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000278,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000279,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000280,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000281,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000282,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000283,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000284,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000285,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000286,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000287,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000288,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000289,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000290,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000291,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000292,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000293,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000294,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000295,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000296,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000297,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000298,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000299,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
CtrSVDD_0000_T_0000300,ofuton,CtrSVDD_0000,-,0,train,bonafide,-
