ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,MIX_MODE,COMPONENT_CASE,EVAL_CELL,SPLIT,VOICE_SOURCE_ID,MUSIC_SOURCE_ID,VOICE_GENERATOR,MUSIC_GENERATOR,CONDITION,SOFIA_MERT_FAKE_PROB
yue_000_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_byungchul_extra_00,efp_extra_real_000690,bonafide,real,clean_separator_free,0.28209415078163147
yue_000_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_00,efp_extra_real_000690,cosyvoice3_0.5b,real,clean_separator_free,0.4840787351131439
yue_000_sequential_v0_m1,1,0.0,1,1,1,mixed,sequential,voice_real__music_fake,sequential__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_00,seed_20260832,bonafide,YuE,clean_separator_free,0.8212069272994995
yue_000_sequential_v1_m1,1,1.0,1,1,1,mixed,sequential,voice_fake__music_fake,sequential__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_00,seed_20260832,cosyvoice3_0.5b,YuE,clean_separator_free,0.9518793225288391
yue_000_native_vocal_real_music,1,1.0,0,1,1,mixed,native_yue_vocal,voice_fake__music_real,native_yue_vocal__voice_fake__music_real,audit_yue,seed_20260832_vtrack,efp_extra_real_000690,YuE,real,clean_separator_free,0.898266077041626
yue_000_native_vocal_fake_music,1,1.0,1,1,1,mixed,native_yue_vocal,voice_fake__music_fake,native_yue_vocal__voice_fake__music_fake,audit_yue,seed_20260832_vtrack,seed_20260832,YuE,YuE,clean_separator_free,0.9970893263816833
yue_001_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_002096,,real,clean_separator_free,0.43116337060928345
yue_001_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260833,,YuE,clean_separator_free,0.9903899431228638
yue_001_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_byungchul_extra_01,efp_extra_real_002096,bonafide,real,clean_separator_free,0.3758707046508789
yue_001_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_01,efp_extra_real_002096,cosyvoice3_0.5b,real,clean_separator_free,0.3246009349822998
yue_001_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_01,seed_20260833,bonafide,YuE,clean_separator_free,0.37183234095573425
yue_001_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_01,seed_20260833,cosyvoice3_0.5b,YuE,clean_separator_free,0.5405615568161011
yue_001_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_byungchul_extra_01,efp_extra_real_002096,bonafide,real,clean_separator_free,0.6642997860908508
yue_001_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_01,efp_extra_real_002096,cosyvoice3_0.5b,real,clean_separator_free,0.9143638610839844
yue_001_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_01,seed_20260833,bonafide,YuE,clean_separator_free,0.5639854669570923
yue_001_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_01,seed_20260833,cosyvoice3_0.5b,YuE,clean_separator_free,0.8846157789230347
yue_001_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_byungchul_extra_01,efp_extra_real_002096,bonafide,real,clean_separator_free,0.2195892333984375
yue_001_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_01,efp_extra_real_002096,cosyvoice3_0.5b,real,clean_separator_free,0.4502203166484833
yue_001_sequential_v0_m1,1,0.0,1,1,1,mixed,sequential,voice_real__music_fake,sequential__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_01,seed_20260833,bonafide,YuE,clean_separator_free,0.5792429447174072
yue_001_sequential_v1_m1,1,1.0,1,1,1,mixed,sequential,voice_fake__music_fake,sequential__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_01,seed_20260833,cosyvoice3_0.5b,YuE,clean_separator_free,0.8210408687591553
yue_001_native_vocal_real_music,1,1.0,0,1,1,mixed,native_yue_vocal,voice_fake__music_real,native_yue_vocal__voice_fake__music_real,audit_yue,seed_20260833_vtrack,efp_extra_real_002096,YuE,real,clean_separator_free,0.9940938353538513
yue_001_native_vocal_fake_music,1,1.0,1,1,1,mixed,native_yue_vocal,voice_fake__music_fake,native_yue_vocal__voice_fake__music_fake,audit_yue,seed_20260833_vtrack,seed_20260833,YuE,YuE,clean_separator_free,0.9971848130226135
yue_002_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_004520,,real,clean_separator_free,0.728034496307373
yue_002_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260834,,YuE,clean_separator_free,0.7638370394706726
yue_002_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_byungchul_extra_02,efp_extra_real_004520,bonafide,real,clean_separator_free,0.24040266871452332
yue_002_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_02,efp_extra_real_004520,cosyvoice3_0.5b,real,clean_separator_free,0.2173299938440323
yue_002_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_02,seed_20260834,bonafide,YuE,clean_separator_free,0.14824755489826202
yue_002_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_02,seed_20260834,cosyvoice3_0.5b,YuE,clean_separator_free,0.17769981920719147
yue_002_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_byungchul_extra_02,efp_extra_real_004520,bonafide,real,clean_separator_free,0.979771077632904
yue_002_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_02,efp_extra_real_004520,cosyvoice3_0.5b,real,clean_separator_free,0.836351752281189
yue_002_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_02,seed_20260834,bonafide,YuE,clean_separator_free,0.6355919241905212
yue_002_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_02,seed_20260834,cosyvoice3_0.5b,YuE,clean_separator_free,0.39939650893211365
yue_002_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_byungchul_extra_02,efp_extra_real_004520,bonafide,real,clean_separator_free,0.9835401177406311
yue_002_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_02,efp_extra_real_004520,cosyvoice3_0.5b,real,clean_separator_free,0.9923341274261475
yue_002_sequential_v0_m1,1,0.0,1,1,1,mixed,sequential,voice_real__music_fake,sequential__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_02,seed_20260834,bonafide,YuE,clean_separator_free,0.6334433555603027
yue_002_sequential_v1_m1,1,1.0,1,1,1,mixed,sequential,voice_fake__music_fake,sequential__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_02,seed_20260834,cosyvoice3_0.5b,YuE,clean_separator_free,0.4574243128299713
yue_003_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_006609,,real,clean_separator_free,0.013765113428235054
yue_003_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260835,,YuE,clean_separator_free,0.9877403378486633
yue_003_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_byungchul_target_00,efp_extra_real_006609,bonafide,real,clean_separator_free,0.005395306274294853
yue_003_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_00,efp_extra_real_006609,cosyvoice3_0.5b,real,clean_separator_free,0.2464115023612976
yue_003_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_byungchul_target_00,seed_20260835,bonafide,YuE,clean_separator_free,0.6969501376152039
yue_003_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_00,seed_20260835,cosyvoice3_0.5b,YuE,clean_separator_free,0.7126619219779968
yue_003_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_byungchul_target_00,efp_extra_real_006609,bonafide,real,clean_separator_free,0.2304033637046814
yue_003_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_00,efp_extra_real_006609,cosyvoice3_0.5b,real,clean_separator_free,0.9970519542694092
yue_003_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_byungchul_target_00,seed_20260835,bonafide,YuE,clean_separator_free,0.9739011526107788
yue_003_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_00,seed_20260835,cosyvoice3_0.5b,YuE,clean_separator_free,0.9971399307250977
yue_003_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_byungchul_target_00,efp_extra_real_006609,bonafide,real,clean_separator_free,0.47399991750717163
yue_003_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_00,efp_extra_real_006609,cosyvoice3_0.5b,real,clean_separator_free,0.3195483386516571
yue_003_sequential_v0_m1,1,0.0,1,1,1,mixed,sequential,voice_real__music_fake,sequential__voice_real__music_fake,audit_yue,voice_real_byungchul_target_00,seed_20260835,bonafide,YuE,clean_separator_free,0.989852249622345
yue_003_sequential_v1_m1,1,1.0,1,1,1,mixed,sequential,voice_fake__music_fake,sequential__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_00,seed_20260835,cosyvoice3_0.5b,YuE,clean_separator_free,0.8521288633346558
yue_003_native_vocal_real_music,1,1.0,0,1,1,mixed,native_yue_vocal,voice_fake__music_real,native_yue_vocal__voice_fake__music_real,audit_yue,seed_20260835_vtrack,efp_extra_real_006609,YuE,real,clean_separator_free,0.012979497201740742
yue_003_native_vocal_fake_music,1,1.0,1,1,1,mixed,native_yue_vocal,voice_fake__music_fake,native_yue_vocal__voice_fake__music_fake,audit_yue,seed_20260835_vtrack,seed_20260835,YuE,YuE,clean_separator_free,0.9969437718391418
yue_004_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_007377,,real,clean_separator_free,0.9681439399719238
yue_004_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260836,,YuE,clean_separator_free,0.9206185340881348
yue_004_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_byungchul_target_01,efp_extra_real_007377,bonafide,real,clean_separator_free,0.4134720265865326
yue_004_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_01,efp_extra_real_007377,cosyvoice3_0.5b,real,clean_separator_free,0.258279025554657
yue_004_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_byungchul_target_01,seed_20260836,bonafide,YuE,clean_separator_free,0.20837165415287018
yue_004_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_01,seed_20260836,cosyvoice3_0.5b,YuE,clean_separator_free,0.5894830822944641
yue_004_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_byungchul_target_01,efp_extra_real_007377,bonafide,real,clean_separator_free,0.9642523527145386
yue_004_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_01,efp_extra_real_007377,cosyvoice3_0.5b,real,clean_separator_free,0.9851077198982239
yue_004_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_byungchul_target_01,seed_20260836,bonafide,YuE,clean_separator_free,0.9817878007888794
yue_004_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_01,seed_20260836,cosyvoice3_0.5b,YuE,clean_separator_free,0.9767083525657654
yue_004_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_byungchul_target_01,efp_extra_real_007377,bonafide,real,clean_separator_free,0.9852569699287415
yue_004_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_01,efp_extra_real_007377,cosyvoice3_0.5b,real,clean_separator_free,0.9847559332847595
yue_004_sequential_v0_m1,1,0.0,1,1,1,mixed,sequential,voice_real__music_fake,sequential__voice_real__music_fake,audit_yue,voice_real_byungchul_target_01,seed_20260836,bonafide,YuE,clean_separator_free,0.9502726793289185
yue_004_sequential_v1_m1,1,1.0,1,1,1,mixed,sequential,voice_fake__music_fake,sequential__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_01,seed_20260836,cosyvoice3_0.5b,YuE,clean_separator_free,0.9573354721069336
yue_004_native_vocal_real_music,1,1.0,0,1,1,mixed,native_yue_vocal,voice_fake__music_real,native_yue_vocal__voice_fake__music_real,audit_yue,seed_20260836_vtrack,efp_extra_real_007377,YuE,real,clean_separator_free,0.6386028528213501
yue_004_native_vocal_fake_music,1,1.0,1,1,1,mixed,native_yue_vocal,voice_fake__music_fake,native_yue_vocal__voice_fake__music_fake,audit_yue,seed_20260836_vtrack,seed_20260836,YuE,YuE,clean_separator_free,0.9908574223518372
yue_005_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_010527,,real,clean_separator_free,0.02194155566394329
yue_005_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260837,,YuE,clean_separator_free,0.9516146779060364
yue_005_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_byungchul_target_02,efp_extra_real_010527,bonafide,real,clean_separator_free,0.050745751708745956
yue_005_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_02,efp_extra_real_010527,cosyvoice3_0.5b,real,clean_separator_free,0.05209082365036011
yue_005_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_byungchul_target_02,seed_20260837,bonafide,YuE,clean_separator_free,0.03602666035294533
yue_005_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_02,seed_20260837,cosyvoice3_0.5b,YuE,clean_separator_free,0.1715918481349945
yue_005_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_byungchul_target_02,efp_extra_real_010527,bonafide,real,clean_separator_free,0.1574481725692749
yue_005_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_02,efp_extra_real_010527,cosyvoice3_0.5b,real,clean_separator_free,0.18260039389133453
yue_005_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_byungchul_target_02,seed_20260837,bonafide,YuE,clean_separator_free,0.7363837957382202
yue_005_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_02,seed_20260837,cosyvoice3_0.5b,YuE,clean_separator_free,0.9831362366676331
yue_005_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_byungchul_target_02,efp_extra_real_010527,bonafide,real,clean_separator_free,0.4957183003425598
yue_005_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_02,efp_extra_real_010527,cosyvoice3_0.5b,real,clean_separator_free,0.35599228739738464
yue_005_sequential_v0_m1,1,0.0,1,1,1,mixed,sequential,voice_real__music_fake,sequential__voice_real__music_fake,audit_yue,voice_real_byungchul_target_02,seed_20260837,bonafide,YuE,clean_separator_free,0.9621462821960449
yue_005_sequential_v1_m1,1,1.0,1,1,1,mixed,sequential,voice_fake__music_fake,sequential__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_02,seed_20260837,cosyvoice3_0.5b,YuE,clean_separator_free,0.9918140172958374
yue_005_native_vocal_real_music,1,1.0,0,1,1,mixed,native_yue_vocal,voice_fake__music_real,native_yue_vocal__voice_fake__music_real,audit_yue,seed_20260837_vtrack,efp_extra_real_010527,YuE,real,clean_separator_free,0.08168555796146393
yue_005_native_vocal_fake_music,1,1.0,1,1,1,mixed,native_yue_vocal,voice_fake__music_fake,native_yue_vocal__voice_fake__music_fake,audit_yue,seed_20260837_vtrack,seed_20260837,YuE,YuE,clean_separator_free,0.9970592260360718
yue_006_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_010668,,real,clean_separator_free,0.693536102771759
yue_006_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260838,,YuE,clean_separator_free,0.5774023532867432
yue_006_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_dohyun_extra_00,efp_extra_real_010668,bonafide,real,clean_separator_free,0.06659203767776489
yue_006_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_00,efp_extra_real_010668,cosyvoice3_0.5b,real,clean_separator_free,0.3828088641166687
yue_006_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_dohyun_extra_00,seed_20260838,bonafide,YuE,clean_separator_free,0.09408408403396606
yue_006_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_00,seed_20260838,cosyvoice3_0.5b,YuE,clean_separator_free,0.5589820742607117
yue_006_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_dohyun_extra_00,efp_extra_real_010668,bonafide,real,clean_separator_free,0.4771876335144043
yue_006_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_00,efp_extra_real_010668,cosyvoice3_0.5b,real,clean_separator_free,0.895240843296051
yue_006_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_dohyun_extra_00,seed_20260838,bonafide,YuE,clean_separator_free,0.6569989323616028
yue_006_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_00,seed_20260838,cosyvoice3_0.5b,YuE,clean_separator_free,0.986890971660614
yue_006_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_dohyun_extra_00,efp_extra_real_010668,bonafide,real,clean_separator_free,0.6032170057296753
yue_006_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_00,efp_extra_real_010668,cosyvoice3_0.5b,real,clean_separator_free,0.8113446831703186
yue_006_sequential_v0_m1,1,0.0,1,1,1,mixed,sequential,voice_real__music_fake,sequential__voice_real__music_fake,audit_yue,voice_real_dohyun_extra_00,seed_20260838,bonafide,YuE,clean_separator_free,0.751285195350647
yue_006_sequential_v1_m1,1,1.0,1,1,1,mixed,sequential,voice_fake__music_fake,sequential__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_00,seed_20260838,cosyvoice3_0.5b,YuE,clean_separator_free,0.9838294386863708
yue_006_native_vocal_real_music,1,1.0,0,1,1,mixed,native_yue_vocal,voice_fake__music_real,native_yue_vocal__voice_fake__music_real,audit_yue,seed_20260838_vtrack,efp_extra_real_010668,YuE,real,clean_separator_free,0.3143378794193268
yue_006_native_vocal_fake_music,1,1.0,1,1,1,mixed,native_yue_vocal,voice_fake__music_fake,native_yue_vocal__voice_fake__music_fake,audit_yue,seed_20260838_vtrack,seed_20260838,YuE,YuE,clean_separator_free,0.8412694334983826
yue_007_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_010670,,real,clean_separator_free,0.004548688419163227
yue_007_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260839,,YuE,clean_separator_free,0.9876620769500732
yue_007_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_dohyun_extra_01,efp_extra_real_010670,bonafide,real,clean_separator_free,0.005654736887663603
