ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,CONDITION,SOURCE,CODEC,VOICE_SOURCE_ID,MUSIC_SOURCE_ID,SNR_DB,PARENT_ID,CHANNEL,SOURCE_DATASET,GENERATOR,GROUP_ID,SPLIT,VOCODER,SPEAKER,DURATION,SOFIA_MERT_FAKE_PROB
sdxeq_0002__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0033,sdm_real_0069,6.0,sdxeq_0002,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.06728809326887131
sdxeq_0002__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0033,sdm_real_0069,6.0,sdxeq_0002,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.02415522374212742
sdxeq_0003__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0067,sdm_real_0150,-6.0,sdxeq_0003,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.15498200058937073
sdxeq_0003__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0067,sdm_real_0150,-6.0,sdxeq_0003,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.10684744268655777
sdxeq_0003__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0067,sdm_real_0150,-6.0,sdxeq_0003,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.11605990678071976
sdxeq_0003__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0067,sdm_real_0150,-6.0,sdxeq_0003,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.05024999752640724
sdxeq_0004__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0031,0.0,sdxeq_0004,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.09916761517524719
sdxeq_0004__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0031,0.0,sdxeq_0004,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.19511452317237854
sdxeq_0004__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0031,0.0,sdxeq_0004,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.18974481523036957
sdxeq_0004__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0031,0.0,sdxeq_0004,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.02203373983502388
sdxeq_0005__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0095,sdm_real_0071,6.0,sdxeq_0005,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.06174987554550171
sdxeq_0005__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0095,sdm_real_0071,6.0,sdxeq_0005,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.06080309674143791
sdxeq_0005__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0095,sdm_real_0071,6.0,sdxeq_0005,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.06434383988380432
sdxeq_0005__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0095,sdm_real_0071,6.0,sdxeq_0005,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.0120354313403368
sdxeq_0006__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0088,sdm_real_0144,-6.0,sdxeq_0006,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.06598896533250809
sdxeq_0006__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0088,sdm_real_0144,-6.0,sdxeq_0006,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.07811503112316132
sdxeq_0006__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0088,sdm_real_0144,-6.0,sdxeq_0006,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.08078399300575256
sdxeq_0006__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0088,sdm_real_0144,-6.0,sdxeq_0006,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.023729683831334114
sdxeq_0007__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0013,sdm_real_0088,0.0,sdxeq_0007,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.32372087240219116
sdxeq_0007__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0013,sdm_real_0088,0.0,sdxeq_0007,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.174237921833992
sdxeq_0007__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0013,sdm_real_0088,0.0,sdxeq_0007,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.1877344399690628
sdxeq_0007__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0013,sdm_real_0088,0.0,sdxeq_0007,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.035103656351566315
sdxeq_0008__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0098,sdm_real_0077,6.0,sdxeq_0008,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.02389329858124256
sdxeq_0008__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0098,sdm_real_0077,6.0,sdxeq_0008,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.04270192235708237
sdxeq_0008__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0098,sdm_real_0077,6.0,sdxeq_0008,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.04335101321339607
sdxeq_0008__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0098,sdm_real_0077,6.0,sdxeq_0008,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.01719755493104458
sdxeq_0009__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0075,sdm_real_0095,-6.0,sdxeq_0009,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.3501250147819519
sdxeq_0009__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0075,sdm_real_0095,-6.0,sdxeq_0009,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.13054926693439484
sdxeq_0009__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0075,sdm_real_0095,-6.0,sdxeq_0009,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.11494997143745422
sdxeq_0009__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0075,sdm_real_0095,-6.0,sdxeq_0009,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.018645258620381355
sdxeq_0010__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0017,sdm_real_0178,0.0,sdxeq_0010,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.027425693348050117
sdxeq_0010__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0017,sdm_real_0178,0.0,sdxeq_0010,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.03652273863554001
sdxeq_0010__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0017,sdm_real_0178,0.0,sdxeq_0010,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.03769661486148834
sdxeq_0010__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0017,sdm_real_0178,0.0,sdxeq_0010,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.018638042733073235
sdxeq_0011__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0029,sdm_real_0045,6.0,sdxeq_0011,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.26778820157051086
sdxeq_0011__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0029,sdm_real_0045,6.0,sdxeq_0011,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.15940332412719727
sdxeq_0011__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0029,sdm_real_0045,6.0,sdxeq_0011,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.14391589164733887
sdxeq_0011__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0029,sdm_real_0045,6.0,sdxeq_0011,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.055303074419498444
sdxeq_0012__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0099,sdm_real_0050,-6.0,sdxeq_0012,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.03202976658940315
sdxeq_0012__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0099,sdm_real_0050,-6.0,sdxeq_0012,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.01914740353822708
sdxeq_0012__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0099,sdm_real_0050,-6.0,sdxeq_0012,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.02438890002667904
sdxeq_0012__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0099,sdm_real_0050,-6.0,sdxeq_0012,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.01249939575791359
sdxeq_0013__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0044,0.0,sdxeq_0013,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.0260392464697361
sdxeq_0013__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0044,0.0,sdxeq_0013,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.0190520491451025
sdxeq_0013__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0044,0.0,sdxeq_0013,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.028766117990016937
sdxeq_0013__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0044,0.0,sdxeq_0013,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.014206724241375923
sdxeq_0014__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0062,sdm_real_0100,6.0,sdxeq_0014,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.03565540164709091
sdxeq_0014__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0062,sdm_real_0100,6.0,sdxeq_0014,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.020824434235692024
sdxeq_0014__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0062,sdm_real_0100,6.0,sdxeq_0014,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.022428840398788452
sdxeq_0014__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0062,sdm_real_0100,6.0,sdxeq_0014,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.015564498491585255
sdxeq_0015__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0027,sdm_real_0086,-6.0,sdxeq_0015,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.06592201441526413
sdxeq_0015__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0027,sdm_real_0086,-6.0,sdxeq_0015,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.05452427640557289
sdxeq_0015__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0027,sdm_real_0086,-6.0,sdxeq_0015,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.05558781698346138
sdxeq_0015__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0027,sdm_real_0086,-6.0,sdxeq_0015,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.01276614610105753
sdxeq_0016__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0117,0.0,sdxeq_0016,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.05921505391597748
sdxeq_0016__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0117,0.0,sdxeq_0016,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.02923739142715931
sdxeq_0016__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0117,0.0,sdxeq_0016,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.043875761330127716
sdxeq_0016__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0117,0.0,sdxeq_0016,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.024339275434613228
sdxeq_0017__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0168,6.0,sdxeq_0017,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.023323923349380493
sdxeq_0017__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0168,6.0,sdxeq_0017,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.04155539348721504
sdxeq_0017__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0168,6.0,sdxeq_0017,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.044421494007110596
sdxeq_0017__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0168,6.0,sdxeq_0017,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.01027356181293726
sdxeq_0018__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0081,sdm_real_0033,-6.0,sdxeq_0018,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.13332274556159973
sdxeq_0018__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0081,sdm_real_0033,-6.0,sdxeq_0018,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.06021280214190483
sdxeq_0018__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0081,sdm_real_0033,-6.0,sdxeq_0018,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.07608218491077423
sdxeq_0018__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0081,sdm_real_0033,-6.0,sdxeq_0018,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.02781854383647442
sdxeq_0019__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0059,sdm_real_0033,0.0,sdxeq_0019,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.07534259557723999
sdxeq_0019__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0059,sdm_real_0033,0.0,sdxeq_0019,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.05683378130197525
sdxeq_0019__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0059,sdm_real_0033,0.0,sdxeq_0019,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.06897107511758804
sdxeq_0019__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0059,sdm_real_0033,0.0,sdxeq_0019,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.028641756623983383
sdxeq_0020__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0032,sdm_real_0148,6.0,sdxeq_0020,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.02283417247235775
sdxeq_0020__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0032,sdm_real_0148,6.0,sdxeq_0020,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.038031112402677536
sdxeq_0020__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0032,sdm_real_0148,6.0,sdxeq_0020,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.054053470492362976
sdxeq_0020__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0032,sdm_real_0148,6.0,sdxeq_0020,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.01868128590285778
sdxeq_0021__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0036,sdm_real_0039,-6.0,sdxeq_0021,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.014987143687903881
sdxeq_0021__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0036,sdm_real_0039,-6.0,sdxeq_0021,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.01732146181166172
sdxeq_0021__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0036,sdm_real_0039,-6.0,sdxeq_0021,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.02106267772614956
sdxeq_0021__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0036,sdm_real_0039,-6.0,sdxeq_0021,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.010730859823524952
sdxeq_0022__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0089,0.0,sdxeq_0022,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.02408352494239807
sdxeq_0022__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0089,0.0,sdxeq_0022,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.050537109375
sdxeq_0022__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0089,0.0,sdxeq_0022,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.0612093061208725
sdxeq_0022__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0089,0.0,sdxeq_0022,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.022099819034337997
sdxeq_0023__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0091,6.0,sdxeq_0023,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.26740702986717224
sdxeq_0023__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0091,6.0,sdxeq_0023,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.29392188787460327
sdxeq_0023__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0091,6.0,sdxeq_0023,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.23650319874286652
sdxeq_0023__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0091,6.0,sdxeq_0023,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.01637626625597477
sdxeq_0024__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0080,sdm_real_0057,-6.0,sdxeq_0024,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.30087554454803467
sdxeq_0024__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0080,sdm_real_0057,-6.0,sdxeq_0024,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.10776499658823013
sdxeq_0024__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0080,sdm_real_0057,-6.0,sdxeq_0024,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.09414464980363846
sdxeq_0024__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0080,sdm_real_0057,-6.0,sdxeq_0024,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.021569497883319855
sdxeq_0025__phonefact_resample8k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0035,sdm_fake_0192,-6.0,sdxeq_0025,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.40022358298301697
sdxeq_0025__phonefact_g711_ulaw,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0035,sdm_fake_0192,-6.0,sdxeq_0025,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.30283817648887634
sdxeq_0025__phonefact_g726_24k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0035,sdm_fake_0192,-6.0,sdxeq_0025,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.2698342204093933
sdxeq_0025__phonefact_opus_nb_8k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0035,sdm_fake_0192,-6.0,sdxeq_0025,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,,0.02773008681833744
sdxeq_0026__phonefact_resample8k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0085,sdm_fake_0010,0.0,sdxeq_0026,resample8k,source_disjoint_mixed_equal_v1,,,,,,,0.03884671628475189
sdxeq_0026__phonefact_g711_ulaw,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0085,sdm_fake_0010,0.0,sdxeq_0026,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,,0.07682575285434723
sdxeq_0026__phonefact_g726_24k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0085,sdm_fake_0010,0.0,sdxeq_0026,g726_24k,source_disjoint_mixed_equal_v1,,,,,,,0.08414234220981598
