DATASET,METHOD,PHONE_COUNT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
phone,domain_weight_router_w70,1200,1200,1200,800,800,0.16171428571428575,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8443928571428572,0.9703312500000001,0.8569866964285715
phone,domain_head_router_seed04_w70,1200,1200,1200,800,800,0.16414285714285715,0.16749999999999998,0.13,0.956603125,0.9840593750000001,0.8454285714285714,0.9703312500000001,0.8579188392857143
phone,hard_phone_router,1200,1200,1200,800,800,0.16000000000000003,0.16749999999999998,0.14500000000000002,0.956603125,0.9840593750000001,0.843,0.9703312500000001,0.8557331250000001
phone,content_presence_hard,1200,1200,1200,800,800,0.16171428571428575,0.16749999999999998,0.16249999999999998,0.956603125,0.9840593750000001,0.8368928571428571,0.9703312500000001,0.8502366964285715
phone,confidence_hard,1200,1200,1200,800,800,0.16000000000000003,0.16749999999999998,0.14249999999999996,0.956603125,0.9840593750000001,0.84375,0.9703312500000001,0.8564081250000001
yue,anchor_v28,0,124,124,108,124,0.10122282608695654,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8805848235156615,,
yue,soft_moe_w40,0,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
yue,domain_weight_router_w70,0,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
yue,domain_head_router_seed04_w70,0,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
yue,hard_phone_router,0,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
yue,content_presence_hard,0,124,124,108,124,0.10122282608695654,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8805848235156615,,
yue,confidence_hard,0,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
factorial_plus_phone,anchor_v28,1267,1600,1600,1150,1150,0.1905846153846154,0.18956521739130439,0.20173913043478264,0.9602415458937198,0.9882376811594205,0.8062729096989967,0.9742396135265701,0.823069580081754
factorial_plus_phone,confidence_hard,1267,1600,1600,1150,1150,0.1743794871794872,0.18956521739130439,0.16695652173913045,0.9602415458937198,0.9882376811594205,0.8248102564102563,0.9742396135265701,0.8397531921218877
factorial_plus_phone,content_presence_hard,1267,1600,1600,1150,1150,0.17751794871794868,0.18956521739130439,0.17565217391304344,0.9602415458937198,0.9882376811594205,0.8206323299888518,0.9742396135265701,0.8359930583426236
factorial_plus_phone,domain_head_router_seed04_w70,1267,1600,1600,1150,1150,0.1743794871794872,0.18956521739130439,0.1530434782608696,0.9602415458937198,0.9882376811594205,0.8289841694537345,0.9742396135265701,0.8435097138610181
factorial_plus_phone,domain_weight_router_w70,1267,1600,1600,1150,1150,0.17569230769230768,0.18956521739130439,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8262408026755853,0.9742396135265701,0.8410406837606839
factorial_plus_phone,hard_phone_router,1267,1600,1600,1150,1150,0.17255384615384614,0.18956521739130439,0.16869565217391302,0.9602415458937198,0.9882376811594205,0.8252013377926422,0.9742396135265701,0.840105165366035
factorial_plus_phone,soft_moe_w40,1267,1600,1600,1150,1150,0.18065641025641022,0.18956521739130439,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.823758751393534,0.9742396135265701,0.8388068376068376
