ID,PROBE_VOICE_PRESENT_PROB,PROBE_MUSIC_PRESENT_PROB
sdm_real_0002__phonefact_g711_ulaw,0.0,1.0
sdm_real_0003__phonefact_g711_ulaw,0.0,1.0
sdm_real_0004__phonefact_g711_ulaw,0.0,1.0
sdm_real_0005__phonefact_g711_ulaw,0.0,1.0
sdm_real_0006__phonefact_g711_ulaw,7.1027593e-38,1.0
sdm_real_0007__phonefact_g711_ulaw,0.0,1.0
sdm_real_0008__phonefact_g711_ulaw,7.279029e-36,1.0
sdm_real_0009__phonefact_g711_ulaw,0.0,1.0
sdm_real_0010__phonefact_g711_ulaw,1.7017068e-37,1.0
sdm_real_0011__phonefact_g711_ulaw,0.0,1.0
sdm_real_0012__phonefact_g711_ulaw,1.8328104e-37,1.0
sdm_real_0013__phonefact_g711_ulaw,0.0,1.0
sdm_real_0014__phonefact_g711_ulaw,0.0,1.0
sdm_real_0015__phonefact_g711_ulaw,0.0,1.0
sdm_real_0016__phonefact_g711_ulaw,1.3195555e-36,1.0
sdm_real_0017__phonefact_g711_ulaw,0.0,1.0
sdm_real_0018__phonefact_g711_ulaw,3.928938e-39,1.0
sdm_real_0019__phonefact_g711_ulaw,0.0,1.0
sdm_real_0020__phonefact_g711_ulaw,0.0,1.0
sdm_real_0021__phonefact_g711_ulaw,0.0,1.0
sdm_real_0022__phonefact_g711_ulaw,0.0,1.0
sdm_real_0023__phonefact_g711_ulaw,0.0,1.0
sdm_real_0024__phonefact_g711_ulaw,0.0,1.0
sdm_real_0025__phonefact_g711_ulaw,0.0,1.0
sdm_real_0026__phonefact_g711_ulaw,0.0,1.0
sdm_real_0027__phonefact_g711_ulaw,0.0,1.0
sdm_real_0028__phonefact_g711_ulaw,0.0,1.0
sdm_real_0029__phonefact_g711_ulaw,5.1480797e-27,1.0
sdm_real_0030__phonefact_g711_ulaw,9.46676e-09,1.0
sdm_real_0031__phonefact_g711_ulaw,0.0,1.0
sdm_real_0032__phonefact_g711_ulaw,0.0,1.0
sdm_real_0033__phonefact_g711_ulaw,6.635793e-39,1.0
sdm_real_0034__phonefact_g711_ulaw,0.0,1.0
sdm_real_0035__phonefact_g711_ulaw,0.0,1.0
sdm_real_0036__phonefact_g711_ulaw,6.704462e-33,1.0
sdm_real_0037__phonefact_g711_ulaw,0.0,1.0
sdm_real_0038__phonefact_g711_ulaw,2.4843703e-37,1.0
sdm_real_0039__phonefact_g711_ulaw,0.0,1.0
sdm_real_0040__phonefact_g711_ulaw,0.0,1.0
sdm_real_0041__phonefact_g711_ulaw,0.0,1.0
sdm_real_0042__phonefact_g711_ulaw,0.0,1.0
sdm_real_0043__phonefact_g711_ulaw,0.0,1.0
sdm_real_0044__phonefact_g711_ulaw,0.0,1.0
sdm_real_0045__phonefact_g711_ulaw,0.0,1.0
sdm_real_0046__phonefact_g711_ulaw,0.0,1.0
sdm_real_0047__phonefact_g711_ulaw,0.0,1.0
sdm_real_0048__phonefact_g711_ulaw,0.0,1.0
sdm_real_0049__phonefact_g711_ulaw,0.0,1.0
sdxeq_0000__phonefact_g711_ulaw,5.5111697e-20,1.0
sdxeq_0001__phonefact_g711_ulaw,1.0,1.0
sdxeq_0002__phonefact_g711_ulaw,1.0,1.0
sdxeq_0003__phonefact_g711_ulaw,0.99997663,1.0
sdxeq_0004__phonefact_g711_ulaw,3.604464e-07,1.0
sdxeq_0005__phonefact_g711_ulaw,0.99999,1.0
sdxeq_0006__phonefact_g711_ulaw,6.379172e-31,1.0
sdxeq_0007__phonefact_g711_ulaw,8.1256757e-13,1.0
sdxeq_0008__phonefact_g711_ulaw,1.2418715e-11,1.0
sdxeq_0009__phonefact_g711_ulaw,1.0,1.0
sdxeq_0010__phonefact_g711_ulaw,1.0,1.0
sdxeq_0011__phonefact_g711_ulaw,1.0,1.0
sdxeq_0012__phonefact_g711_ulaw,4.2279552e-16,1.0
sdxeq_0013__phonefact_g711_ulaw,0.9999944,1.0
sdxeq_0014__phonefact_g711_ulaw,1.0,1.0
sdxeq_0015__phonefact_g711_ulaw,4.784098e-20,1.0
sdxeq_0016__phonefact_g711_ulaw,0.9999999,1.0
sdxeq_0017__phonefact_g711_ulaw,0.9999982,1.0
sdxeq_0018__phonefact_g711_ulaw,2.5190561e-17,1.0
sdxeq_0019__phonefact_g711_ulaw,6.0702367e-16,1.0
sdxeq_0020__phonefact_g711_ulaw,0.67760736,1.0
sdxeq_0021__phonefact_g711_ulaw,5.0137077e-21,1.0
sdxeq_0022__phonefact_g711_ulaw,0.96078247,1.0
sdxeq_0023__phonefact_g711_ulaw,1.0,1.0
sdxeq_0024__phonefact_g711_ulaw,1.4355521e-07,1.0
sdxeq_0025__phonefact_g711_ulaw,5.1134592e-26,1.0
sdxeq_0026__phonefact_g711_ulaw,5.4111254e-08,1.0
sdxeq_0027__phonefact_g711_ulaw,0.99999917,1.0
sdxeq_0028__phonefact_g711_ulaw,1.369399e-17,1.0
sdxeq_0029__phonefact_g711_ulaw,2.4072863e-11,1.0
sdxeq_0030__phonefact_g711_ulaw,1.0,1.0
sdxeq_0031__phonefact_g711_ulaw,1.0097275e-25,1.0
sdxeq_0032__phonefact_g711_ulaw,1.2429778e-08,1.0
sdxeq_0033__phonefact_g711_ulaw,1.0,1.0
sdxeq_0034__phonefact_g711_ulaw,1.9514324e-23,1.0
sdxeq_0035__phonefact_g711_ulaw,7.045996e-11,1.0
sdxeq_0036__phonefact_g711_ulaw,1.5839352e-13,1.0
sdxeq_0037__phonefact_g711_ulaw,1.2777074e-08,1.0
sdxeq_0038__phonefact_g711_ulaw,2.0022775e-17,1.0
sdxeq_0039__phonefact_g711_ulaw,0.11138309,1.0
sdxeq_0040__phonefact_g711_ulaw,9.6943166e-26,1.0
sdxeq_0041__phonefact_g711_ulaw,0.39852715,1.0
sdxeq_0042__phonefact_g711_ulaw,1.0,1.0
sdxeq_0043__phonefact_g711_ulaw,9.838511e-15,1.0
sdxeq_0044__phonefact_g711_ulaw,0.022933051,1.0
sdxeq_0045__phonefact_g711_ulaw,1.0,1.0
sdxeq_0046__phonefact_g711_ulaw,7.972239e-16,1.0
sdxeq_0047__phonefact_g711_ulaw,2.1338214e-17,1.0
sdxeq_0048__phonefact_g711_ulaw,1.0,1.0
sdxeq_0049__phonefact_g711_ulaw,2.0855877e-29,1.0
sdxeq_0050__phonefact_g711_ulaw,3.2743084e-17,1.0
sdxeq_0051__phonefact_g711_ulaw,0.046106327,1.0
sdxeq_0052__phonefact_g711_ulaw,1.0,1.0
sdxeq_0053__phonefact_g711_ulaw,1.0,1.0
sdxeq_0054__phonefact_g711_ulaw,1.0,1.0
sdxeq_0055__phonefact_g711_ulaw,8.940002e-09,1.0
sdxeq_0056__phonefact_g711_ulaw,1.0,1.0
sdxeq_0057__phonefact_g711_ulaw,8.4895015e-11,1.0
sdxeq_0058__phonefact_g711_ulaw,0.9999994,1.0
sdxeq_0059__phonefact_g711_ulaw,2.4063167e-23,1.0
sdxeq_0060__phonefact_g711_ulaw,0.2555555,1.0
sdxeq_0061__phonefact_g711_ulaw,0.00047541066,1.0
sdxeq_0062__phonefact_g711_ulaw,1.4597578e-20,1.0
sdxeq_0063__phonefact_g711_ulaw,0.99121046,1.0
sdxeq_0064__phonefact_g711_ulaw,4.5222684e-08,1.0
sdxeq_0065__phonefact_g711_ulaw,1.3690275e-18,1.0
sdxeq_0066__phonefact_g711_ulaw,3.1066308e-12,1.0
sdxeq_0067__phonefact_g711_ulaw,0.012423973,1.0
sdxeq_0068__phonefact_g711_ulaw,2.2371427e-21,1.0
sdxeq_0069__phonefact_g711_ulaw,0.998618,1.0
sdxeq_0070__phonefact_g711_ulaw,1.0,1.0
sdxeq_0071__phonefact_g711_ulaw,9.423698e-10,1.0
sdxeq_0072__phonefact_g711_ulaw,1.0,1.0
sdxeq_0073__phonefact_g711_ulaw,1.0,1.0
sdxeq_0074__phonefact_g711_ulaw,1.694098e-20,1.0
sdxeq_0075__phonefact_g711_ulaw,2.4947332e-13,1.0
sdxeq_0076__phonefact_g711_ulaw,1.7079278e-10,1.0
sdxeq_0077__phonefact_g711_ulaw,0.9999778,1.0
sdxeq_0078__phonefact_g711_ulaw,1.8394713e-22,1.0
sdxeq_0079__phonefact_g711_ulaw,0.9999981,1.0
sdxeq_0080__phonefact_g711_ulaw,0.84728295,1.0
sdxeq_0081__phonefact_g711_ulaw,1.9985537e-17,1.0
sdxeq_0082__phonefact_g711_ulaw,3.120799e-36,1.0
sdxeq_0083__phonefact_g711_ulaw,5.9570513e-09,1.0
sdxeq_0084__phonefact_g711_ulaw,9.1413864e-27,1.0
sdxeq_0085__phonefact_g711_ulaw,3.6413917e-07,1.0
sdxeq_0086__phonefact_g711_ulaw,9.8556935e-12,1.0
sdxeq_0087__phonefact_g711_ulaw,1.7955943e-35,1.0
sdxeq_0088__phonefact_g711_ulaw,9.227049e-19,1.0
sdxeq_0089__phonefact_g711_ulaw,1.6930734e-17,1.0
sdxeq_0090__phonefact_g711_ulaw,8.28011e-17,1.0
sdxeq_0091__phonefact_g711_ulaw,1.1505996e-12,1.0
sdxeq_0092__phonefact_g711_ulaw,0.0029922556,1.0
sdxeq_0093__phonefact_g711_ulaw,2.0034455e-18,1.0
sdxeq_0094__phonefact_g711_ulaw,1.11408055e-13,1.0
sdxeq_0095__phonefact_g711_ulaw,1.8025735e-13,1.0
sdxeq_0096__phonefact_g711_ulaw,1.4968377e-15,1.0
sdxeq_0097__phonefact_g711_ulaw,0.124916844,1.0
sdxeq_0098__phonefact_g711_ulaw,0.00011828385,1.0
sdxeq_0099__phonefact_g711_ulaw,3.452508e-31,1.0
voice_0000__phonefact_g711_ulaw,1.0,0.0031199092
voice_0001__phonefact_g711_ulaw,1.0,6.244002e-06
voice_0002__phonefact_g711_ulaw,1.0,0.40436596
voice_0003__phonefact_g711_ulaw,1.0,0.0019365452
voice_0004__phonefact_g711_ulaw,1.0,2.6536877e-06
voice_0005__phonefact_g711_ulaw,1.0,0.10929178
voice_0006__phonefact_g711_ulaw,1.0,0.9528329
voice_0007__phonefact_g711_ulaw,1.0,0.6788162
voice_0008__phonefact_g711_ulaw,1.0,1.9665818e-05
voice_0009__phonefact_g711_ulaw,1.0,3.192391e-05
voice_0010__phonefact_g711_ulaw,1.0,0.01599519
voice_0011__phonefact_g711_ulaw,1.0,0.0009230918
voice_0012__phonefact_g711_ulaw,1.0,0.9997004
voice_0013__phonefact_g711_ulaw,1.0,0.0027149753
voice_0014__phonefact_g711_ulaw,1.0,0.00011780974
voice_0015__phonefact_g711_ulaw,1.0,0.45685464
voice_0016__phonefact_g711_ulaw,1.0,0.8371363
voice_0017__phonefact_g711_ulaw,1.0,0.00019122243
voice_0018__phonefact_g711_ulaw,1.0,1.1563749e-06
voice_0019__phonefact_g711_ulaw,1.0,2.2326874e-06
voice_0020__phonefact_g711_ulaw,1.0,0.0069946316
voice_0021__phonefact_g711_ulaw,1.0,1.0290652e-05
voice_0022__phonefact_g711_ulaw,1.0,0.001388465
voice_0023__phonefact_g711_ulaw,1.0,7.602885e-05
voice_0024__phonefact_g711_ulaw,1.0,0.036357734
voice_0025__phonefact_g711_ulaw,1.0,1.065431e-05
voice_0026__phonefact_g711_ulaw,1.0,0.012102939
voice_0027__phonefact_g711_ulaw,1.0,0.031876743
voice_0028__phonefact_g711_ulaw,1.0,2.0133399e-05
voice_0029__phonefact_g711_ulaw,1.0,0.00045652516
voice_0030__phonefact_g711_ulaw,1.0,0.7560277
voice_0031__phonefact_g711_ulaw,1.0,1.0316475e-05
voice_0032__phonefact_g711_ulaw,1.0,0.0014755074
voice_0033__phonefact_g711_ulaw,1.0,5.1778465e-05
voice_0034__phonefact_g711_ulaw,1.0,0.0012178452
voice_0035__phonefact_g711_ulaw,1.0,0.9803745
voice_0036__phonefact_g711_ulaw,1.0,0.0014389738
voice_0037__phonefact_g711_ulaw,1.0,0.92073786
voice_0038__phonefact_g711_ulaw,1.0,2.5164822e-05
voice_0039__phonefact_g711_ulaw,1.0,9.5475225e-06
voice_0040__phonefact_g711_ulaw,1.0,0.0047139106
voice_0041__phonefact_g711_ulaw,1.0,4.5194847e-05
voice_0042__phonefact_g711_ulaw,1.0,0.79009724
voice_0043__phonefact_g711_ulaw,1.0,0.9923487
voice_0044__phonefact_g711_ulaw,1.0,0.9883279
voice_0045__phonefact_g711_ulaw,1.0,0.15960538
voice_0046__phonefact_g711_ulaw,1.0,0.00012789313
voice_0047__phonefact_g711_ulaw,1.0,0.98400646
voice_0048__phonefact_g711_ulaw,1.0,8.77572e-07
voice_0049__phonefact_g711_ulaw,1.0,0.9999045
voice_0100__phonefact_g711_ulaw,1.0,0.17996475
voice_0101__phonefact_g711_ulaw,1.0,0.99931884
voice_0102__phonefact_g711_ulaw,1.0,6.871635e-07
voice_0103__phonefact_g711_ulaw,1.0,0.02117977
voice_0104__phonefact_g711_ulaw,1.0,5.652169e-06
voice_0105__phonefact_g711_ulaw,1.0,0.00034784502
voice_0106__phonefact_g711_ulaw,1.0,0.00016965727
voice_0107__phonefact_g711_ulaw,1.0,5.930568e-05
voice_0108__phonefact_g711_ulaw,1.0,0.10404696
voice_0109__phonefact_g711_ulaw,1.0,0.008941546
voice_0110__phonefact_g711_ulaw,1.0,8.392175e-07
voice_0111__phonefact_g711_ulaw,1.0,3.911806e-06
voice_0112__phonefact_g711_ulaw,1.0,0.005013742
voice_0113__phonefact_g711_ulaw,1.0,0.105164215
voice_0114__phonefact_g711_ulaw,1.0,0.00022471871
voice_0115__phonefact_g711_ulaw,1.0,2.9897042e-06
voice_0116__phonefact_g711_ulaw,1.0,2.0375358e-06
voice_0117__phonefact_g711_ulaw,1.0,3.9447852e-05
voice_0118__phonefact_g711_ulaw,1.0,0.026340185
voice_0119__phonefact_g711_ulaw,1.0,0.0011967232
voice_0120__phonefact_g711_ulaw,1.0,0.007835586
voice_0121__phonefact_g711_ulaw,1.0,0.0079705035
voice_0122__phonefact_g711_ulaw,1.0,0.0006380785
voice_0123__phonefact_g711_ulaw,1.0,5.567556e-06
voice_0124__phonefact_g711_ulaw,1.0,3.6249958e-07
voice_0125__phonefact_g711_ulaw,1.0,0.008979757
voice_0126__phonefact_g711_ulaw,1.0,8.6050284e-05
voice_0127__phonefact_g711_ulaw,1.0,1.7783706e-05
voice_0128__phonefact_g711_ulaw,1.0,0.0006495326
voice_0129__phonefact_g711_ulaw,1.0,0.014857038
voice_0130__phonefact_g711_ulaw,1.0,0.0004883131
voice_0131__phonefact_g711_ulaw,1.0,0.00012968363
voice_0132__phonefact_g711_ulaw,1.0,1.9787915e-06
voice_0133__phonefact_g711_ulaw,1.0,0.00012416793
voice_0134__phonefact_g711_ulaw,1.0,0.999658
voice_0135__phonefact_g711_ulaw,1.0,1.2919996e-05
voice_0136__phonefact_g711_ulaw,1.0,0.9946827
voice_0137__phonefact_g711_ulaw,1.0,3.454252e-05
voice_0138__phonefact_g711_ulaw,1.0,0.000858786
voice_0139__phonefact_g711_ulaw,1.0,2.0531481e-06
voice_0140__phonefact_g711_ulaw,1.0,2.9058188e-07
voice_0141__phonefact_g711_ulaw,1.0,0.093361415
voice_0142__phonefact_g711_ulaw,1.0,0.0020914564
voice_0143__phonefact_g711_ulaw,1.0,0.0646265
voice_0144__phonefact_g711_ulaw,1.0,1.5112867e-05
voice_0145__phonefact_g711_ulaw,1.0,0.9993063
voice_0146__phonefact_g711_ulaw,1.0,9.155988e-06
voice_0147__phonefact_g711_ulaw,1.0,0.0002675142
voice_0148__phonefact_g711_ulaw,1.0,0.00022208937
voice_0149__phonefact_g711_ulaw,1.0,0.033346538
sdm_fake_0000__phonefact_g726_24k,0.0,1.0
sdm_fake_0001__phonefact_g726_24k,0.0,1.0
sdm_fake_0002__phonefact_g726_24k,7.1139594e-30,1.0
sdm_fake_0003__phonefact_g726_24k,0.0,1.0
sdm_fake_0004__phonefact_g726_24k,0.0,1.0
sdm_fake_0005__phonefact_g726_24k,0.0,1.0
sdm_fake_0006__phonefact_g726_24k,0.0,1.0
sdm_fake_0007__phonefact_g726_24k,1.0316841e-38,1.0
sdm_fake_0008__phonefact_g726_24k,0.0,1.0
sdm_fake_0009__phonefact_g726_24k,0.0,1.0
sdm_fake_0010__phonefact_g726_24k,0.0,1.0
sdm_fake_0011__phonefact_g726_24k,0.0,1.0
sdm_fake_0012__phonefact_g726_24k,0.0,1.0
sdm_fake_0013__phonefact_g726_24k,0.0,1.0
sdm_fake_0014__phonefact_g726_24k,0.0,1.0
sdm_fake_0015__phonefact_g726_24k,0.0,1.0
sdm_fake_0016__phonefact_g726_24k,0.0,1.0
sdm_fake_0017__phonefact_g726_24k,0.0,1.0
sdm_fake_0018__phonefact_g726_24k,0.0,1.0
sdm_fake_0019__phonefact_g726_24k,0.0,1.0
sdm_fake_0020__phonefact_g726_24k,0.0,1.0
sdm_fake_0021__phonefact_g726_24k,0.0,1.0
sdm_fake_0022__phonefact_g726_24k,0.0,1.0
sdm_fake_0023__phonefact_g726_24k,0.0,1.0
sdm_fake_0024__phonefact_g726_24k,0.0,1.0
sdm_fake_0025__phonefact_g726_24k,0.0,1.0
sdm_fake_0026__phonefact_g726_24k,2.8372022e-33,1.0
sdm_fake_0027__phonefact_g726_24k,1.0514866e-38,1.0
sdm_fake_0028__phonefact_g726_24k,0.0,1.0
sdm_fake_0029__phonefact_g726_24k,0.0,1.0
sdm_fake_0030__phonefact_g726_24k,0.0,1.0
sdm_fake_0031__phonefact_g726_24k,0.0,1.0
sdm_fake_0032__phonefact_g726_24k,0.0,1.0
sdm_fake_0033__phonefact_g726_24k,2.2227316e-37,1.0
sdm_fake_0034__phonefact_g726_24k,0.0,1.0
sdm_fake_0035__phonefact_g726_24k,0.0,1.0
sdm_fake_0036__phonefact_g726_24k,0.0,1.0
sdm_fake_0037__phonefact_g726_24k,0.0,1.0
sdm_fake_0038__phonefact_g726_24k,0.0,1.0
sdm_fake_0039__phonefact_g726_24k,0.0,1.0
sdm_fake_0040__phonefact_g726_24k,3.0952355e-22,1.0
sdm_fake_0041__phonefact_g726_24k,0.0,1.0
sdm_fake_0042__phonefact_g726_24k,0.0,1.0
sdm_fake_0043__phonefact_g726_24k,0.0,1.0
sdm_fake_0044__phonefact_g726_24k,8.097003e-33,1.0
sdm_fake_0045__phonefact_g726_24k,0.0,1.0
sdm_fake_0046__phonefact_g726_24k,0.0,1.0
sdm_fake_0047__phonefact_g726_24k,6.648524e-28,1.0
sdm_fake_0048__phonefact_g726_24k,0.0,1.0
sdm_fake_0049__phonefact_g726_24k,0.0,1.0
sdm_real_0000__phonefact_g726_24k,5.472512e-37,1.0
sdm_real_0001__phonefact_g726_24k,0.0,1.0
sdm_real_0002__phonefact_g726_24k,0.0,1.0
sdm_real_0003__phonefact_g726_24k,0.0,1.0
sdm_real_0004__phonefact_g726_24k,0.0,1.0
sdm_real_0005__phonefact_g726_24k,1.6813056e-35,1.0
sdm_real_0006__phonefact_g726_24k,0.0,1.0
sdm_real_0007__phonefact_g726_24k,0.0,1.0
sdm_real_0008__phonefact_g726_24k,1.5418561e-38,1.0
sdm_real_0009__phonefact_g726_24k,0.0,1.0
sdm_real_0010__phonefact_g726_24k,0.0,1.0
sdm_real_0011__phonefact_g726_24k,0.0,1.0
sdm_real_0012__phonefact_g726_24k,0.0,1.0
sdm_real_0013__phonefact_g726_24k,0.0,1.0
sdm_real_0014__phonefact_g726_24k,0.0,1.0
sdm_real_0015__phonefact_g726_24k,0.0,1.0
sdm_real_0016__phonefact_g726_24k,7.155907e-36,1.0
sdm_real_0017__phonefact_g726_24k,0.0,1.0
sdm_real_0018__phonefact_g726_24k,3.5507416e-34,1.0
sdm_real_0019__phonefact_g726_24k,0.0,1.0
sdm_real_0020__phonefact_g726_24k,0.0,1.0
sdm_real_0021__phonefact_g726_24k,0.0,1.0
sdm_real_0022__phonefact_g726_24k,0.0,1.0
sdm_real_0023__phonefact_g726_24k,0.0,1.0
sdm_real_0024__phonefact_g726_24k,0.0,1.0
sdm_real_0025__phonefact_g726_24k,0.0,1.0
sdm_real_0026__phonefact_g726_24k,0.0,1.0
sdm_real_0027__phonefact_g726_24k,0.0,1.0
sdm_real_0028__phonefact_g726_24k,0.0,1.0
sdm_real_0029__phonefact_g726_24k,2.4975098e-31,1.0
sdm_real_0030__phonefact_g726_24k,3.4315644e-09,1.0
sdm_real_0031__phonefact_g726_24k,0.0,1.0
sdm_real_0032__phonefact_g726_24k,1.1842143e-36,1.0
sdm_real_0033__phonefact_g726_24k,0.0,1.0
sdm_real_0034__phonefact_g726_24k,0.0,1.0
sdm_real_0035__phonefact_g726_24k,0.0,1.0
sdm_real_0036__phonefact_g726_24k,1.4437791e-37,1.0
sdm_real_0037__phonefact_g726_24k,0.0,1.0
sdm_real_0038__phonefact_g726_24k,3.117467e-36,1.0
sdm_real_0039__phonefact_g726_24k,0.0,1.0
sdm_real_0040__phonefact_g726_24k,0.0,1.0
sdm_real_0041__phonefact_g726_24k,0.0,1.0
sdm_real_0042__phonefact_g726_24k,0.0,1.0
sdm_real_0043__phonefact_g726_24k,0.0,1.0
sdm_real_0044__phonefact_g726_24k,0.0,1.0
sdm_real_0045__phonefact_g726_24k,0.0,1.0
sdm_real_0046__phonefact_g726_24k,0.0,1.0
sdm_real_0047__phonefact_g726_24k,0.0,1.0
sdm_real_0048__phonefact_g726_24k,0.0,1.0
sdm_real_0049__phonefact_g726_24k,0.0,1.0
sdxeq_0000__phonefact_g726_24k,2.6964443e-11,1.0
sdxeq_0001__phonefact_g726_24k,1.0,1.0
sdxeq_0002__phonefact_g726_24k,1.0,1.0
sdxeq_0003__phonefact_g726_24k,0.52576643,1.0
sdxeq_0004__phonefact_g726_24k,0.00011262874,1.0
sdxeq_0005__phonefact_g726_24k,1.0,1.0
sdxeq_0006__phonefact_g726_24k,2.7234741e-28,1.0
sdxeq_0007__phonefact_g726_24k,4.1295124e-07,1.0
sdxeq_0008__phonefact_g726_24k,3.5866374e-06,1.0
sdxeq_0009__phonefact_g726_24k,1.0,1.0
sdxeq_0010__phonefact_g726_24k,1.0,1.0
sdxeq_0011__phonefact_g726_24k,1.0,1.0
sdxeq_0012__phonefact_g726_24k,8.789151e-17,1.0
sdxeq_0013__phonefact_g726_24k,0.9999993,1.0
sdxeq_0014__phonefact_g726_24k,1.0,1.0
sdxeq_0015__phonefact_g726_24k,9.581954e-12,1.0
sdxeq_0016__phonefact_g726_24k,1.0,1.0
sdxeq_0017__phonefact_g726_24k,1.0,1.0
sdxeq_0018__phonefact_g726_24k,2.5400398e-20,1.0
sdxeq_0019__phonefact_g726_24k,2.407347e-14,1.0
sdxeq_0020__phonefact_g726_24k,0.989094,1.0
sdxeq_0021__phonefact_g726_24k,3.9808287e-20,1.0
sdxeq_0022__phonefact_g726_24k,0.99990094,1.0
sdxeq_0023__phonefact_g726_24k,1.0,1.0
sdxeq_0024__phonefact_g726_24k,0.8413924,1.0
sdxeq_0025__phonefact_g726_24k,3.508436e-27,1.0
sdxeq_0026__phonefact_g726_24k,3.4372767e-09,1.0
sdxeq_0027__phonefact_g726_24k,1.0,1.0
sdxeq_0028__phonefact_g726_24k,2.9076336e-10,1.0
sdxeq_0029__phonefact_g726_24k,0.000617778,1.0
sdxeq_0030__phonefact_g726_24k,1.0,1.0
sdxeq_0031__phonefact_g726_24k,2.1318558e-29,1.0
sdxeq_0032__phonefact_g726_24k,0.2253034,1.0
sdxeq_0033__phonefact_g726_24k,1.0,1.0
sdxeq_0034__phonefact_g726_24k,2.8611438e-27,1.0
sdxeq_0035__phonefact_g726_24k,8.889468e-07,1.0
sdxeq_0036__phonefact_g726_24k,3.6970177e-06,1.0
sdxeq_0037__phonefact_g726_24k,1.0757839e-11,1.0
sdxeq_0038__phonefact_g726_24k,2.4034466e-22,1.0
sdxeq_0039__phonefact_g726_24k,0.9700665,1.0
sdxeq_0040__phonefact_g726_24k,2.4846177e-21,1.0
sdxeq_0041__phonefact_g726_24k,0.99999094,1.0
sdxeq_0042__phonefact_g726_24k,1.0,1.0
sdxeq_0043__phonefact_g726_24k,3.2119785e-19,1.0
sdxeq_0044__phonefact_g726_24k,0.9990181,1.0
sdxeq_0045__phonefact_g726_24k,1.0,1.0
sdxeq_0046__phonefact_g726_24k,4.4256124e-13,1.0
sdxeq_0047__phonefact_g726_24k,1.2710114e-11,1.0
