SOURCE_ID,CANONICAL_GROUP,GENERATOR,ARCHIVE_ID,ARCHIVE_MEMBER,KIND,ARCHIVE_TARGET
FM_stable_audio_open_rfah0bhmYkc,fmc:rfah0bhmYkc,stable_audio_open,FM_stable_audio_open_rfah0bhmYkc,unmixed_dataset/eval/FM_stable_audio_open_rfah0bhmYkc.wav,music,MixFake/unmixed_dataset/eval/FM_stable_audio_open_rfah0bhmYkc.wav
011778,fma:11778,FMA,RM_011_011778,unmixed_dataset/eval/RM_011_011778.wav,music,MixFake/unmixed_dataset/eval/RM_011_011778.wav
014080,fma:14080,FMA,RM_014_014080,unmixed_dataset/eval/RM_014_014080.wav,music,MixFake/unmixed_dataset/eval/RM_014_014080.wav
016210,fma:16210,FMA,RM_016_016210,unmixed_dataset/eval/RM_016_016210.wav,music,MixFake/unmixed_dataset/eval/RM_016_016210.wav
018135,fma:18135,FMA,RM_018_018135,unmixed_dataset/eval/RM_018_018135.wav,music,MixFake/unmixed_dataset/eval/RM_018_018135.wav
024426,fma:24426,FMA,RM_024_024426,unmixed_dataset/eval/RM_024_024426.wav,music,MixFake/unmixed_dataset/eval/RM_024_024426.wav
029451,fma:29451,FMA,RM_029_029451,unmixed_dataset/eval/RM_029_029451.wav,music,MixFake/unmixed_dataset/eval/RM_029_029451.wav
034517,fma:34517,FMA,RM_034_034517,unmixed_dataset/eval/RM_034_034517.wav,music,MixFake/unmixed_dataset/eval/RM_034_034517.wav
036141,fma:36141,FMA,RM_036_036141,unmixed_dataset/eval/RM_036_036141.wav,music,MixFake/unmixed_dataset/eval/RM_036_036141.wav
040631,fma:40631,FMA,RM_040_040631,unmixed_dataset/eval/RM_040_040631.wav,music,MixFake/unmixed_dataset/eval/RM_040_040631.wav
040646,fma:40646,FMA,RM_040_040646,unmixed_dataset/eval/RM_040_040646.wav,music,MixFake/unmixed_dataset/eval/RM_040_040646.wav
040786,fma:40786,FMA,RM_040_040786,unmixed_dataset/eval/RM_040_040786.wav,music,MixFake/unmixed_dataset/eval/RM_040_040786.wav
050888,fma:50888,FMA,RM_050_050888,unmixed_dataset/eval/RM_050_050888.wav,music,MixFake/unmixed_dataset/eval/RM_050_050888.wav
060357,fma:60357,FMA,RM_060_060357,unmixed_dataset/eval/RM_060_060357.wav,music,MixFake/unmixed_dataset/eval/RM_060_060357.wav
060981,fma:60981,FMA,RM_060_060981,unmixed_dataset/eval/RM_060_060981.wav,music,MixFake/unmixed_dataset/eval/RM_060_060981.wav
066812,fma:66812,FMA,RM_066_066812,unmixed_dataset/eval/RM_066_066812.wav,music,MixFake/unmixed_dataset/eval/RM_066_066812.wav
068343,fma:68343,FMA,RM_068_068343,unmixed_dataset/eval/RM_068_068343.wav,music,MixFake/unmixed_dataset/eval/RM_068_068343.wav
074908,fma:74908,FMA,RM_074_074908,unmixed_dataset/eval/RM_074_074908.wav,music,MixFake/unmixed_dataset/eval/RM_074_074908.wav
075772,fma:75772,FMA,RM_075_075772,unmixed_dataset/eval/RM_075_075772.wav,music,MixFake/unmixed_dataset/eval/RM_075_075772.wav
080167,fma:80167,FMA,RM_080_080167,unmixed_dataset/eval/RM_080_080167.wav,music,MixFake/unmixed_dataset/eval/RM_080_080167.wav
080793,fma:80793,FMA,RM_080_080793,unmixed_dataset/eval/RM_080_080793.wav,music,MixFake/unmixed_dataset/eval/RM_080_080793.wav
084790,fma:84790,FMA,RM_084_084790,unmixed_dataset/eval/RM_084_084790.wav,music,MixFake/unmixed_dataset/eval/RM_084_084790.wav
093518,fma:93518,FMA,RM_093_093518,unmixed_dataset/eval/RM_093_093518.wav,music,MixFake/unmixed_dataset/eval/RM_093_093518.wav
107031,fma:107031,FMA,RM_107_107031,unmixed_dataset/eval/RM_107_107031.wav,music,MixFake/unmixed_dataset/eval/RM_107_107031.wav
108022,fma:108022,FMA,RM_108_108022,unmixed_dataset/eval/RM_108_108022.wav,music,MixFake/unmixed_dataset/eval/RM_108_108022.wav
108533,fma:108533,FMA,RM_108_108533,unmixed_dataset/eval/RM_108_108533.wav,music,MixFake/unmixed_dataset/eval/RM_108_108533.wav
116733,fma:116733,FMA,RM_116_116733,unmixed_dataset/eval/RM_116_116733.wav,music,MixFake/unmixed_dataset/eval/RM_116_116733.wav
116754,fma:116754,FMA,RM_116_116754,unmixed_dataset/eval/RM_116_116754.wav,music,MixFake/unmixed_dataset/eval/RM_116_116754.wav
119972,fma:119972,FMA,RM_119_119972,unmixed_dataset/eval/RM_119_119972.wav,music,MixFake/unmixed_dataset/eval/RM_119_119972.wav
121278,fma:121278,FMA,RM_121_121278,unmixed_dataset/eval/RM_121_121278.wav,music,MixFake/unmixed_dataset/eval/RM_121_121278.wav
124176,fma:124176,FMA,RM_124_124176,unmixed_dataset/eval/RM_124_124176.wav,music,MixFake/unmixed_dataset/eval/RM_124_124176.wav
130605,fma:130605,FMA,RM_130_130605,unmixed_dataset/eval/RM_130_130605.wav,music,MixFake/unmixed_dataset/eval/RM_130_130605.wav
132134,fma:132134,FMA,RM_132_132134,unmixed_dataset/eval/RM_132_132134.wav,music,MixFake/unmixed_dataset/eval/RM_132_132134.wav
134754,fma:134754,FMA,RM_134_134754,unmixed_dataset/eval/RM_134_134754.wav,music,MixFake/unmixed_dataset/eval/RM_134_134754.wav
149413,fma:149413,FMA,RM_149_149413,unmixed_dataset/eval/RM_149_149413.wav,music,MixFake/unmixed_dataset/eval/RM_149_149413.wav
151045,fma:151045,FMA,RM_151_151045,unmixed_dataset/eval/RM_151_151045.wav,music,MixFake/unmixed_dataset/eval/RM_151_151045.wav
154359,fma:154359,FMA,RM_154_154359,unmixed_dataset/eval/RM_154_154359.wav,music,MixFake/unmixed_dataset/eval/RM_154_154359.wav
