axis,group,model,n,real_n,fake_n,FILE_EER
AUDIO_TYPE,music,eat_adapted,180,90,90,0.19999999999999998
AUDIO_TYPE,voice,parent,180,90,90,0.044444444444444425
AUDIO_TYPE,voice,global,180,90,90,0.033333333333333326
AUDIO_TYPE,voice,local,180,90,90,0.06666666666666665
AUDIO_TYPE,voice,eat_control,180,90,90,0.09999999999999999
AUDIO_TYPE,voice,eat_adapted,180,90,90,0.09999999999999999
MIX_MODE,concurrent,parent,360,90,270,0.21111111111111114
MIX_MODE,concurrent,global,360,90,270,0.24444444444444446
MIX_MODE,concurrent,local,360,90,270,0.28888888888888886
MIX_MODE,concurrent,eat_control,360,90,270,0.24259259259259258
MIX_MODE,concurrent,eat_adapted,360,90,270,0.21111111111111114
MIX_MODE,sequential_music_first,parent,360,90,270,0.21111111111111114
MIX_MODE,sequential_music_first,global,360,90,270,0.1777777777777778
MIX_MODE,sequential_music_first,local,360,90,270,0.2240740740740741
MIX_MODE,sequential_music_first,eat_control,360,90,270,0.2333333333333333
MIX_MODE,sequential_music_first,eat_adapted,360,90,270,0.21111111111111114
MIX_MODE,sequential_voice_first,parent,360,90,270,0.1777777777777778
MIX_MODE,sequential_voice_first,global,360,90,270,0.1685185185185185
MIX_MODE,sequential_voice_first,local,360,90,270,0.17962962962962964
MIX_MODE,sequential_voice_first,eat_control,360,90,270,0.19999999999999998
MIX_MODE,sequential_voice_first,eat_adapted,360,90,270,0.18888888888888888
MIX_MODE,sparse_music,parent,360,90,270,0.28703703703703703
MIX_MODE,sparse_music,global,360,90,270,0.30000000000000004
MIX_MODE,sparse_music,local,360,90,270,0.3425925925925926
MIX_MODE,sparse_music,eat_control,360,90,270,0.3666666666666667
MIX_MODE,sparse_music,eat_adapted,360,90,270,0.3425925925925926
MIX_MODE,sparse_voice,parent,360,90,270,0.30000000000000004
MIX_MODE,sparse_voice,global,360,90,270,0.3314814814814815
MIX_MODE,sparse_voice,local,360,90,270,0.3574074074074074
MIX_MODE,sparse_voice,eat_control,360,90,270,0.33333333333333337
MIX_MODE,sparse_voice,eat_adapted,360,90,270,0.35370370370370374
DURATION|CHANNEL,10|clean,parent,240,70,170,0.19999999999999998
DURATION|CHANNEL,10|clean,global,240,70,170,0.19999999999999998
DURATION|CHANNEL,10|clean,local,240,70,170,0.2420168067226891
DURATION|CHANNEL,10|clean,eat_control,240,70,170,0.21302521008403363
DURATION|CHANNEL,10|clean,eat_adapted,240,70,170,0.21596638655462186
DURATION|CHANNEL,10|g711_ulaw,parent,240,70,170,0.2319327731092437
DURATION|CHANNEL,10|g711_ulaw,global,240,70,170,0.2319327731092437
DURATION|CHANNEL,10|g711_ulaw,local,240,70,170,0.2579831932773109
DURATION|CHANNEL,10|g711_ulaw,eat_control,240,70,170,0.19999999999999998
DURATION|CHANNEL,10|g711_ulaw,eat_adapted,240,70,170,0.2319327731092437
DURATION|CHANNEL,10|opus_nb_8k,parent,240,70,170,0.38697478991596634
DURATION|CHANNEL,10|opus_nb_8k,global,240,70,170,0.3680672268907563
DURATION|CHANNEL,10|opus_nb_8k,local,240,70,170,0.4159663865546218
DURATION|CHANNEL,10|opus_nb_8k,eat_control,240,70,170,0.30000000000000004
DURATION|CHANNEL,10|opus_nb_8k,eat_adapted,240,70,170,0.2710084033613446
DURATION|CHANNEL,30|clean,parent,240,70,170,0.1420168067226891
DURATION|CHANNEL,30|clean,global,240,70,170,0.14495798319327732
DURATION|CHANNEL,30|clean,local,240,70,170,0.20294117647058826
DURATION|CHANNEL,30|clean,eat_control,240,70,170,0.1680672268907563
DURATION|CHANNEL,30|clean,eat_adapted,240,70,170,0.1869747899159664
DURATION|CHANNEL,30|g711_ulaw,parent,240,70,170,0.1680672268907563
DURATION|CHANNEL,30|g711_ulaw,global,240,70,170,0.15798319327731092
DURATION|CHANNEL,30|g711_ulaw,local,240,70,170,0.1420168067226891
DURATION|CHANNEL,30|g711_ulaw,eat_control,240,70,170,0.1739495798319328
DURATION|CHANNEL,30|g711_ulaw,eat_adapted,240,70,170,0.19705882352941176
DURATION|CHANNEL,30|opus_nb_8k,parent,240,70,170,0.35504201680672265
DURATION|CHANNEL,30|opus_nb_8k,global,240,70,170,0.31596638655462184
DURATION|CHANNEL,30|opus_nb_8k,local,240,70,170,0.3579831932773109
DURATION|CHANNEL,30|opus_nb_8k,eat_control,240,70,170,0.2710084033613446
DURATION|CHANNEL,30|opus_nb_8k,eat_adapted,240,70,170,0.2970588235294117
DURATION|CHANNEL,60|clean,parent,240,70,170,0.14495798319327732
DURATION|CHANNEL,60|clean,global,240,70,170,0.14495798319327732
DURATION|CHANNEL,60|clean,local,240,70,170,0.15798319327731092
DURATION|CHANNEL,60|clean,eat_control,240,70,170,0.1710084033613445
DURATION|CHANNEL,60|clean,eat_adapted,240,70,170,0.14495798319327732
DURATION|CHANNEL,60|g711_ulaw,parent,240,70,170,0.11596638655462185
DURATION|CHANNEL,60|g711_ulaw,global,240,70,170,0.13907563025210082
DURATION|CHANNEL,60|g711_ulaw,local,240,70,170,0.1420168067226891
DURATION|CHANNEL,60|g711_ulaw,eat_control,240,70,170,0.18403361344537816
DURATION|CHANNEL,60|g711_ulaw,eat_adapted,240,70,170,0.1710084033613445
DURATION|CHANNEL,60|opus_nb_8k,parent,240,70,170,0.37100840336134455
DURATION|CHANNEL,60|opus_nb_8k,global,240,70,170,0.2420168067226891
DURATION|CHANNEL,60|opus_nb_8k,local,240,70,170,0.346218487394958
DURATION|CHANNEL,60|opus_nb_8k,eat_control,240,70,170,0.2710084033613446
DURATION|CHANNEL,60|opus_nb_8k,eat_adapted,240,70,170,0.2579831932773109
DURATION|AUDIO_TYPE,10|mixed,parent,600,150,450,0.2666666666666667
DURATION|AUDIO_TYPE,10|mixed,global,600,150,450,0.2722222222222222
DURATION|AUDIO_TYPE,10|mixed,local,600,150,450,0.33333333333333337
DURATION|AUDIO_TYPE,10|mixed,eat_control,600,150,450,0.25222222222222224
DURATION|AUDIO_TYPE,10|mixed,eat_adapted,600,150,450,0.24
DURATION|AUDIO_TYPE,10|music,parent,60,30,30,0.33333333333333337
DURATION|AUDIO_TYPE,10|music,global,60,30,30,0.3666666666666667
DURATION|AUDIO_TYPE,10|music,local,60,30,30,0.4
DURATION|AUDIO_TYPE,10|music,eat_control,60,30,30,0.3666666666666667
DURATION|AUDIO_TYPE,10|music,eat_adapted,60,30,30,0.30000000000000004
DURATION|AUDIO_TYPE,10|voice,parent,60,30,30,0.09999999999999999
DURATION|AUDIO_TYPE,10|voice,global,60,30,30,0.06666666666666665
DURATION|AUDIO_TYPE,10|voice,local,60,30,30,0.09999999999999999
DURATION|AUDIO_TYPE,10|voice,eat_control,60,30,30,0.06666666666666665
DURATION|AUDIO_TYPE,10|voice,eat_adapted,60,30,30,0.1333333333333333
DURATION|AUDIO_TYPE,30|mixed,parent,600,150,450,0.24
DURATION|AUDIO_TYPE,30|mixed,global,600,150,450,0.2333333333333333
DURATION|AUDIO_TYPE,30|mixed,local,600,150,450,0.28111111111111114
DURATION|AUDIO_TYPE,30|mixed,eat_control,600,150,450,0.25222222222222224
DURATION|AUDIO_TYPE,30|mixed,eat_adapted,600,150,450,0.24777777777777782
DURATION|AUDIO_TYPE,30|music,parent,60,30,30,0.19999999999999998
DURATION|AUDIO_TYPE,30|music,global,60,30,30,0.16666666666666663
DURATION|AUDIO_TYPE,30|music,local,60,30,30,0.2666666666666667
DURATION|AUDIO_TYPE,30|music,eat_control,60,30,30,0.2666666666666667
DURATION|AUDIO_TYPE,30|music,eat_adapted,60,30,30,0.19999999999999998
DURATION|AUDIO_TYPE,30|voice,parent,60,30,30,0.0
DURATION|AUDIO_TYPE,30|voice,global,60,30,30,0.0
DURATION|AUDIO_TYPE,30|voice,local,60,30,30,0.033333333333333326
DURATION|AUDIO_TYPE,30|voice,eat_control,60,30,30,0.033333333333333326
DURATION|AUDIO_TYPE,30|voice,eat_adapted,60,30,30,0.033333333333333326
DURATION|AUDIO_TYPE,60|mixed,parent,600,150,450,0.21222222222222226
DURATION|AUDIO_TYPE,60|mixed,global,600,150,450,0.19333333333333336
DURATION|AUDIO_TYPE,60|mixed,local,600,150,450,0.2211111111111111
DURATION|AUDIO_TYPE,60|mixed,eat_control,600,150,450,0.2533333333333333
DURATION|AUDIO_TYPE,60|mixed,eat_adapted,600,150,450,0.23888888888888887
DURATION|AUDIO_TYPE,60|music,parent,60,30,30,0.30000000000000004
DURATION|AUDIO_TYPE,60|music,global,60,30,30,0.19999999999999998
DURATION|AUDIO_TYPE,60|music,local,60,30,30,0.19999999999999998
DURATION|AUDIO_TYPE,60|music,eat_control,60,30,30,0.2666666666666667
DURATION|AUDIO_TYPE,60|music,eat_adapted,60,30,30,0.16666666666666663
DURATION|AUDIO_TYPE,60|voice,parent,60,30,30,0.0
DURATION|AUDIO_TYPE,60|voice,global,60,30,30,0.0
DURATION|AUDIO_TYPE,60|voice,local,60,30,30,0.0
DURATION|AUDIO_TYPE,60|voice,eat_control,60,30,30,0.06666666666666665
DURATION|AUDIO_TYPE,60|voice,eat_adapted,60,30,30,0.06666666666666665
