SOURCE_ID,CANONICAL_GROUP,GENERATOR,ARCHIVE_MEMBER,ARCHIVE_TARGET
043283,fma:43283,FMA,unmixed_dataset/eval/RM_043_043283.wav,MixFake/unmixed_dataset/eval/RM_043_043283.wav
048857,fma:48857,FMA,unmixed_dataset/eval/RM_048_048857.wav,MixFake/unmixed_dataset/eval/RM_048_048857.wav
059917,fma:59917,FMA,unmixed_dataset/eval/RM_059_059917.wav,MixFake/unmixed_dataset/eval/RM_059_059917.wav
071812,fma:71812,FMA,unmixed_dataset/eval/RM_071_071812.wav,MixFake/unmixed_dataset/eval/RM_071_071812.wav
071823,fma:71823,FMA,unmixed_dataset/eval/RM_071_071823.wav,MixFake/unmixed_dataset/eval/RM_071_071823.wav
072067,fma:72067,FMA,unmixed_dataset/eval/RM_072_072067.wav,MixFake/unmixed_dataset/eval/RM_072_072067.wav
077943,fma:77943,FMA,unmixed_dataset/eval/RM_077_077943.wav,MixFake/unmixed_dataset/eval/RM_077_077943.wav
082319,fma:82319,FMA,unmixed_dataset/eval/RM_082_082319.wav,MixFake/unmixed_dataset/eval/RM_082_082319.wav
082711,fma:82711,FMA,unmixed_dataset/eval/RM_082_082711.wav,MixFake/unmixed_dataset/eval/RM_082_082711.wav
096695,fma:96695,FMA,unmixed_dataset/eval/RM_096_096695.wav,MixFake/unmixed_dataset/eval/RM_096_096695.wav
096901,fma:96901,FMA,unmixed_dataset/eval/RM_096_096901.wav,MixFake/unmixed_dataset/eval/RM_096_096901.wav
097687,fma:97687,FMA,unmixed_dataset/eval/RM_097_097687.wav,MixFake/unmixed_dataset/eval/RM_097_097687.wav
098484,fma:98484,FMA,unmixed_dataset/eval/RM_098_098484.wav,MixFake/unmixed_dataset/eval/RM_098_098484.wav
100477,fma:100477,FMA,unmixed_dataset/eval/RM_100_100477.wav,MixFake/unmixed_dataset/eval/RM_100_100477.wav
105906,fma:105906,FMA,unmixed_dataset/eval/RM_105_105906.wav,MixFake/unmixed_dataset/eval/RM_105_105906.wav
109524,fma:109524,FMA,unmixed_dataset/eval/RM_109_109524.wav,MixFake/unmixed_dataset/eval/RM_109_109524.wav
112493,fma:112493,FMA,unmixed_dataset/eval/RM_112_112493.wav,MixFake/unmixed_dataset/eval/RM_112_112493.wav
116871,fma:116871,FMA,unmixed_dataset/eval/RM_116_116871.wav,MixFake/unmixed_dataset/eval/RM_116_116871.wav
118330,fma:118330,FMA,unmixed_dataset/eval/RM_118_118330.wav,MixFake/unmixed_dataset/eval/RM_118_118330.wav
126622,fma:126622,FMA,unmixed_dataset/eval/RM_126_126622.wav,MixFake/unmixed_dataset/eval/RM_126_126622.wav
129401,fma:129401,FMA,unmixed_dataset/eval/RM_129_129401.wav,MixFake/unmixed_dataset/eval/RM_129_129401.wav
129673,fma:129673,FMA,unmixed_dataset/eval/RM_129_129673.wav,MixFake/unmixed_dataset/eval/RM_129_129673.wav
132095,fma:132095,FMA,unmixed_dataset/eval/RM_132_132095.wav,MixFake/unmixed_dataset/eval/RM_132_132095.wav
134052,fma:134052,FMA,unmixed_dataset/eval/RM_134_134052.wav,MixFake/unmixed_dataset/eval/RM_134_134052.wav
136054,fma:136054,FMA,unmixed_dataset/eval/RM_136_136054.wav,MixFake/unmixed_dataset/eval/RM_136_136054.wav
141164,fma:141164,FMA,unmixed_dataset/eval/RM_141_141164.wav,MixFake/unmixed_dataset/eval/RM_141_141164.wav
146425,fma:146425,FMA,unmixed_dataset/eval/RM_146_146425.wav,MixFake/unmixed_dataset/eval/RM_146_146425.wav
