SUBSET,DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
0+2,factorial_eval_1200_v2_dev,400,400,350,350,0.22472727272727272,0.32571428571428573,0.24,,,0.7504935064935065,,
0+2,telephone_mixed_dev_v1,600,600,600,600,0.20666666666666667,0.21666666666666667,0.19666666666666666,,,0.7943333333333333,,
0+3,mixfake_music_dev_v1,1600,1600,1600,1600,0.08541666666666667,0.07999999999999999,0.08250000000000002,,,0.9165416666666667,,
0+3,external_mixed_v1,400,400,400,400,0.17000000000000004,0.20999999999999996,0.14,,,0.831,,
0+3,source_disjoint_mixed_v1,200,200,200,200,0.19999999999999998,0.20999999999999996,0.10999999999999999,,,0.8250000000000001,,
0+3,source_disjoint_mixed_equal_v1,200,200,200,200,0.14,0.18999999999999997,0.10999999999999999,,,0.8590000000000001,,
0+3,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.03500000000000002,,,,,
0+3,factorial_eval_1200_v2_dev,400,400,350,350,0.23236363636363638,0.3085714285714286,0.25142857142857145,,,0.7466753246753247,,
0+3,telephone_mixed_dev_v1,600,600,600,600,0.21999999999999997,0.21333333333333337,0.18333333333333335,,,0.7923333333333333,,
1+2,mixfake_music_dev_v1,1600,1600,1600,1600,0.09458333333333331,0.07750000000000001,0.09125000000000003,,,0.9098333333333333,,
1+2,external_mixed_v1,400,400,400,400,0.20999999999999996,0.22499999999999998,0.17000000000000004,,,0.799,,
1+2,source_disjoint_mixed_v1,200,200,200,200,0.19999999999999998,0.20999999999999996,0.10999999999999999,,,0.8250000000000001,,
1+2,source_disjoint_mixed_equal_v1,200,200,200,200,0.14,0.18999999999999997,0.07999999999999999,,,0.8680000000000001,,
1+2,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.03500000000000002,,,,,
1+2,factorial_eval_1200_v2_dev,400,400,350,350,0.21527272727272728,0.32571428571428573,0.19999999999999998,,,0.7672207792207792,,
1+2,telephone_mixed_dev_v1,600,600,600,600,0.23444444444444443,0.21666666666666667,0.19333333333333336,,,0.7814444444444444,,
1+3,mixfake_music_dev_v1,1600,1600,1600,1600,0.08499999999999999,0.07625000000000001,0.08750000000000001,,,0.9159999999999999,,
1+3,external_mixed_v1,400,400,400,400,0.18999999999999997,0.21499999999999997,0.13,,,0.8230000000000001,,
1+3,source_disjoint_mixed_v1,200,200,200,200,0.19999999999999998,0.19999999999999998,0.12,,,0.8240000000000001,,
1+3,source_disjoint_mixed_equal_v1,200,200,200,200,0.15666666666666668,0.21999999999999997,0.10999999999999999,,,0.8446666666666667,,
1+3,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.03500000000000002,,,,,
1+3,factorial_eval_1200_v2_dev,400,400,350,350,0.19999999999999998,0.3314285714285714,0.20571428571428574,,,0.772,,
1+3,telephone_mixed_dev_v1,600,600,600,600,0.24,0.21666666666666667,0.18666666666666665,,,0.7806666666666666,,
2+3,mixfake_music_dev_v1,1600,1600,1600,1600,0.08750000000000001,0.07499999999999998,0.08875,,,0.914625,,
2+3,external_mixed_v1,400,400,400,400,0.18999999999999997,0.18999999999999997,0.15000000000000002,,,0.8220000000000001,,
2+3,source_disjoint_mixed_v1,200,200,200,200,0.19999999999999998,0.19999999999999998,0.09999999999999999,,,0.8300000000000001,,
2+3,source_disjoint_mixed_equal_v1,200,200,200,200,0.12,0.19999999999999998,0.09999999999999999,,,0.8700000000000001,,
2+3,source_disjoint_music_v1,400,400,0,400,0.030000000000000013,,0.03500000000000002,,,,,
2+3,factorial_eval_1200_v2_dev,400,400,350,350,0.21527272727272728,0.31999999999999995,0.22285714285714286,,,0.7615064935064935,,
2+3,telephone_mixed_dev_v1,600,600,600,600,0.23222222222222225,0.21333333333333337,0.19666666666666666,,,0.7822222222222223,,
0+1+2,mixfake_music_dev_v1,1600,1600,1600,1600,0.07541666666666666,0.07374999999999998,0.07999999999999999,,,0.9235416666666667,,
0+1+2,external_mixed_v1,400,400,400,400,0.18000000000000002,0.21499999999999997,0.16500000000000004,,,0.8174999999999999,,
0+1+2,source_disjoint_mixed_v1,200,200,200,200,0.19999999999999998,0.19999999999999998,0.10999999999999999,,,0.8270000000000001,,
0+1+2,source_disjoint_mixed_equal_v1,200,200,200,200,0.14,0.18999999999999997,0.07999999999999999,,,0.8680000000000001,,
0+1+2,source_disjoint_music_v1,400,400,0,400,0.030000000000000013,,0.03500000000000002,,,,,
0+1+2,factorial_eval_1200_v2_dev,400,400,350,350,0.20763636363636362,0.3371428571428572,0.2114285714285714,,,0.7653246753246753,,
0+1+2,telephone_mixed_dev_v1,600,600,600,600,0.21333333333333337,0.22666666666666668,0.18999999999999997,,,0.791,,
0+1+3,mixfake_music_dev_v1,1600,1600,1600,1600,0.08250000000000002,0.07499999999999998,0.07874999999999999,,,0.9201250000000001,,
0+1+3,external_mixed_v1,400,400,400,400,0.18000000000000002,0.20499999999999996,0.135,,,0.8285,,
0+1+3,source_disjoint_mixed_v1,200,200,200,200,0.18333333333333332,0.21999999999999997,0.10999999999999999,,,0.8313333333333334,,
0+1+3,source_disjoint_mixed_equal_v1,200,200,200,200,0.16000000000000003,0.19999999999999998,0.09999999999999999,,,0.8500000000000001,,
0+1+3,source_disjoint_music_v1,400,400,0,400,0.030000000000000013,,0.030000000000000013,,,,,
0+1+3,factorial_eval_1200_v2_dev,400,400,350,350,0.20945454545454545,0.3142857142857143,0.22857142857142854,,,0.7638441558441559,,
0+1+3,telephone_mixed_dev_v1,600,600,600,600,0.21333333333333337,0.20999999999999996,0.17666666666666664,,,0.7983333333333333,,
0+2+3,mixfake_music_dev_v1,1600,1600,1600,1600,0.08250000000000002,0.07125000000000001,0.07625000000000001,,,0.9216249999999999,,
0+2+3,external_mixed_v1,400,400,400,400,0.18166666666666667,0.19999999999999998,0.14,,,0.8271666666666667,,
0+2+3,source_disjoint_mixed_v1,200,200,200,200,0.18000000000000002,0.19999999999999998,0.09999999999999999,,,0.8400000000000001,,
0+2+3,source_disjoint_mixed_equal_v1,200,200,200,200,0.12,0.19999999999999998,0.10999999999999999,,,0.8670000000000001,,
0+2+3,source_disjoint_music_v1,400,400,0,400,0.030000000000000013,,0.03500000000000002,,,,,
0+2+3,factorial_eval_1200_v2_dev,400,400,350,350,0.21527272727272728,0.3142857142857143,0.22285714285714286,,,0.7626493506493506,,
0+2+3,telephone_mixed_dev_v1,600,600,600,600,0.21222222222222226,0.20999999999999996,0.18666666666666665,,,0.7958888888888889,,
1+2+3,mixfake_music_dev_v1,1600,1600,1600,1600,0.08458333333333332,0.07250000000000001,0.08625000000000002,,,0.9173333333333333,,
1+2+3,external_mixed_v1,400,400,400,400,0.18999999999999997,0.19999999999999998,0.14,,,0.8230000000000001,,
1+2+3,source_disjoint_mixed_v1,200,200,200,200,0.21666666666666667,0.20999999999999996,0.09999999999999999,,,0.8196666666666668,,
1+2+3,source_disjoint_mixed_equal_v1,200,200,200,200,0.13666666666666666,0.18999999999999997,0.08999999999999998,,,0.8666666666666667,,
1+2+3,source_disjoint_music_v1,400,400,0,400,0.030000000000000013,,0.030000000000000013,,,,,
1+2+3,factorial_eval_1200_v2_dev,400,400,350,350,0.1981818181818182,0.3085714285714286,0.19428571428571428,,,0.780909090909091,,
1+2+3,telephone_mixed_dev_v1,600,600,600,600,0.21999999999999997,0.20999999999999996,0.18999999999999997,,,0.791,,
0+1+2+3,mixfake_music_dev_v1,1600,1600,1600,1600,0.07499999999999998,0.06999999999999998,0.07625000000000001,,,0.925625,,
0+1+2+3,external_mixed_v1,400,400,400,400,0.18999999999999997,0.19999999999999998,0.14,,,0.8230000000000001,,
0+1+2+3,source_disjoint_mixed_v1,200,200,200,200,0.18000000000000002,0.19999999999999998,0.09999999999999999,,,0.8400000000000001,,
0+1+2+3,source_disjoint_mixed_equal_v1,200,200,200,200,0.13666666666666666,0.19999999999999998,0.08999999999999998,,,0.8646666666666667,,
0+1+2+3,source_disjoint_music_v1,400,400,0,400,0.030000000000000013,,0.030000000000000013,,,,,
0+1+2+3,factorial_eval_1200_v2_dev,400,400,350,350,0.19999999999999998,0.31999999999999995,0.22285714285714286,,,0.7691428571428571,,
0+1+2+3,telephone_mixed_dev_v1,600,600,600,600,0.21444444444444444,0.21333333333333337,0.17666666666666664,,,0.7971111111111111,,
