DATASET,CONTRAST,TASK,MODEL,N,POS,EER,AUC
factorial,concurrent|file_rr_vs_voice_real+music_fake,FILE,patch,50,25,0.16000000000000003,0.8464
factorial,concurrent|file_rr_vs_voice_real+music_fake,FILE,fused05,50,25,0.31999999999999995,0.6688000000000001
factorial,concurrent|file_rr_vs_voice_real+music_fake,FILE,fused15,50,25,0.28,0.7679999999999999
factorial,concurrent|file_rr_vs_voice_fake+music_fake,FILE,v18,50,25,0.36,0.7056
factorial,concurrent|file_rr_vs_voice_fake+music_fake,FILE,patch,50,25,0.07999999999999999,0.9472
factorial,concurrent|file_rr_vs_voice_fake+music_fake,FILE,fused05,50,25,0.31999999999999995,0.7712
factorial,concurrent|file_rr_vs_voice_fake+music_fake,FILE,fused15,50,25,0.19999999999999998,0.8656
factorial,partial_overlap|music_0,VOICE,v18,50,25,0.31999999999999995,0.7584000000000001
factorial,partial_overlap|music_0,VOICE,patch,50,25,0.28,0.8303999999999999
factorial,partial_overlap|music_0,VOICE,fused05,50,25,0.31999999999999995,0.7584000000000001
factorial,partial_overlap|music_0,VOICE,fused15,50,25,0.31999999999999995,0.7584000000000001
factorial,partial_overlap|voice_0,MUSIC,v18,50,25,0.24,0.8064
factorial,partial_overlap|voice_0,MUSIC,patch,50,25,0.16000000000000003,0.9032000000000001
factorial,partial_overlap|voice_0,MUSIC,fused05,50,25,0.24,0.8640000000000001
factorial,partial_overlap|voice_0,MUSIC,fused15,50,25,0.19999999999999998,0.9104
factorial,partial_overlap|music_1,VOICE,v18,50,25,0.28,0.768
factorial,partial_overlap|music_1,VOICE,patch,50,25,0.36,0.6976
factorial,partial_overlap|music_1,VOICE,fused05,50,25,0.28,0.768
factorial,partial_overlap|music_1,VOICE,fused15,50,25,0.28,0.768
factorial,partial_overlap|voice_1,MUSIC,v18,50,25,0.31999999999999995,0.768
factorial,partial_overlap|voice_1,MUSIC,patch,50,25,0.19999999999999998,0.8512000000000001
factorial,partial_overlap|voice_1,MUSIC,fused05,50,25,0.28,0.7968
factorial,partial_overlap|voice_1,MUSIC,fused15,50,25,0.28,0.8448
factorial,partial_overlap|file_rr_vs_voice_fake+music_real,FILE,v18,50,25,0.31999999999999995,0.7888
factorial,partial_overlap|file_rr_vs_voice_fake+music_real,FILE,patch,50,25,0.36,0.7208
factorial,partial_overlap|file_rr_vs_voice_fake+music_real,FILE,fused05,50,25,0.31999999999999995,0.7952
factorial,partial_overlap|file_rr_vs_voice_fake+music_real,FILE,fused15,50,25,0.28,0.8016
factorial,partial_overlap|file_rr_vs_voice_real+music_fake,FILE,v18,50,25,0.28,0.7856
factorial,partial_overlap|file_rr_vs_voice_real+music_fake,FILE,patch,50,25,0.19999999999999998,0.8752000000000001
factorial,partial_overlap|file_rr_vs_voice_real+music_fake,FILE,fused05,50,25,0.19999999999999998,0.8208
factorial,partial_overlap|file_rr_vs_voice_real+music_fake,FILE,fused15,50,25,0.19999999999999998,0.8655999999999999
factorial,partial_overlap|file_rr_vs_voice_fake+music_fake,FILE,v18,50,25,0.31999999999999995,0.7536
factorial,partial_overlap|file_rr_vs_voice_fake+music_fake,FILE,patch,50,25,0.16000000000000003,0.9136
factorial,partial_overlap|file_rr_vs_voice_fake+music_fake,FILE,fused05,50,25,0.28,0.7792
factorial,partial_overlap|file_rr_vs_voice_fake+music_fake,FILE,fused15,50,25,0.24,0.8368
factorial,sequential|music_0,VOICE,v18,50,25,0.24,0.8432
factorial,sequential|music_0,VOICE,patch,50,25,0.28,0.7824
factorial,sequential|music_0,VOICE,fused05,50,25,0.24,0.8432
factorial,sequential|music_0,VOICE,fused15,50,25,0.24,0.8432
factorial,sequential|voice_0,MUSIC,v18,50,25,0.28,0.824
factorial,sequential|voice_0,MUSIC,patch,50,25,0.16000000000000003,0.9136
factorial,sequential|voice_0,MUSIC,fused05,50,25,0.19999999999999998,0.904
factorial,sequential|voice_0,MUSIC,fused15,50,25,0.16000000000000003,0.9359999999999999
factorial,sequential|music_1,VOICE,v18,50,25,0.12,0.9440000000000001
factorial,sequential|music_1,VOICE,patch,50,25,0.19999999999999998,0.8944000000000001
factorial,sequential|music_1,VOICE,fused05,50,25,0.12,0.9440000000000001
factorial,sequential|music_1,VOICE,fused15,50,25,0.12,0.9440000000000001
factorial,sequential|voice_1,MUSIC,v18,50,25,0.28,0.8111999999999999
factorial,sequential|voice_1,MUSIC,patch,50,25,0.31999999999999995,0.8096000000000001
factorial,sequential|voice_1,MUSIC,fused05,50,25,0.19999999999999998,0.8528
factorial,sequential|voice_1,MUSIC,fused15,50,25,0.19999999999999998,0.8704000000000001
factorial,sequential|file_rr_vs_voice_fake+music_real,FILE,v18,50,25,0.24,0.8480000000000001
factorial,sequential|file_rr_vs_voice_fake+music_real,FILE,patch,50,25,0.31999999999999995,0.736
factorial,sequential|file_rr_vs_voice_fake+music_real,FILE,fused05,50,25,0.19999999999999998,0.8623999999999999
factorial,sequential|file_rr_vs_voice_fake+music_real,FILE,fused15,50,25,0.24,0.84
factorial,sequential|file_rr_vs_voice_real+music_fake,FILE,v18,50,25,0.36,0.6848
factorial,sequential|file_rr_vs_voice_real+music_fake,FILE,patch,50,25,0.16000000000000003,0.8544
factorial,sequential|file_rr_vs_voice_real+music_fake,FILE,fused05,50,25,0.36,0.7455999999999999
factorial,sequential|file_rr_vs_voice_real+music_fake,FILE,fused15,50,25,0.19999999999999998,0.8288
factorial,sequential|file_rr_vs_voice_fake+music_fake,FILE,v18,50,25,0.12,0.9520000000000001
factorial,sequential|file_rr_vs_voice_fake+music_fake,FILE,patch,50,25,0.12,0.8776
factorial,sequential|file_rr_vs_voice_fake+music_fake,FILE,fused05,50,25,0.07999999999999999,0.9632000000000001
factorial,sequential|file_rr_vs_voice_fake+music_fake,FILE,fused15,50,25,0.12,0.9696
phone,speech_only,VOICE,v18,400,200,0.06499999999999997,0.98975
phone,speech_only,VOICE,patch,400,200,0.22499999999999998,0.83335
phone,speech_only,VOICE,fused05,400,200,0.06499999999999997,0.98975
phone,speech_only,VOICE,fused15,400,200,0.06499999999999997,0.98975
phone,speech_only_file,FILE,v18,400,200,0.050000000000000024,0.9914000000000001
phone,speech_only_file,FILE,patch,400,200,0.235,0.821
phone,speech_only_file,FILE,fused05,400,200,0.050000000000000024,0.9934499999999999
phone,speech_only_file,FILE,fused15,400,200,0.03500000000000002,0.995125
phone,music_only,MUSIC,v18,400,200,0.28,0.77455
phone,music_only,MUSIC,patch,400,200,0.07499999999999998,0.9736374999999999
phone,music_only,MUSIC,fused05,400,200,0.18999999999999997,0.8590249999999999
phone,music_only,MUSIC,fused15,400,200,0.125,0.9294
phone,music_only_file,FILE,v18,400,200,0.255,0.8137
phone,music_only_file,FILE,patch,400,200,0.07499999999999998,0.964075
phone,music_only_file,FILE,fused05,400,200,0.17000000000000004,0.8831749999999999
phone,music_only_file,FILE,fused15,400,200,0.08499999999999999,0.93085
phone,simultaneous|music_0,VOICE,v18,200,100,0.24,0.8846999999999999
phone,simultaneous|music_0,VOICE,patch,200,100,0.33999999999999997,0.7504
phone,simultaneous|music_0,VOICE,fused05,200,100,0.24,0.8846999999999999
phone,simultaneous|music_0,VOICE,fused15,200,100,0.24,0.8846999999999999
phone,simultaneous|voice_0,MUSIC,v18,200,100,0.35,0.6949
phone,simultaneous|voice_0,MUSIC,patch,200,100,0.08999999999999998,0.9646
phone,simultaneous|voice_0,MUSIC,fused05,200,100,0.28,0.8157000000000001
phone,simultaneous|voice_0,MUSIC,fused15,200,100,0.15000000000000002,0.9376
phone,simultaneous|music_1,VOICE,v18,200,100,0.19999999999999998,0.8697
phone,simultaneous|music_1,VOICE,patch,200,100,0.4,0.6298999999999999
phone,simultaneous|music_1,VOICE,fused05,200,100,0.19999999999999998,0.8697
phone,simultaneous|music_1,VOICE,fused15,200,100,0.19999999999999998,0.8697
phone,simultaneous|voice_1,MUSIC,v18,200,100,0.49,0.5883
phone,simultaneous|voice_1,MUSIC,patch,200,100,0.07999999999999999,0.9843999999999999
phone,simultaneous|voice_1,MUSIC,fused05,200,100,0.32999999999999996,0.7484999999999999
phone,simultaneous|voice_1,MUSIC,fused15,200,100,0.14,0.919
phone,simultaneous|file_rr_vs_voice_fake+music_real,FILE,v18,200,100,0.31999999999999995,0.7111
phone,simultaneous|file_rr_vs_voice_fake+music_real,FILE,patch,200,100,0.36,0.6933
phone,simultaneous|file_rr_vs_voice_fake+music_real,FILE,fused05,200,100,0.31999999999999995,0.7248
phone,simultaneous|file_rr_vs_voice_fake+music_real,FILE,fused15,200,100,0.31999999999999995,0.7441
phone,simultaneous|file_rr_vs_voice_real+music_fake,FILE,v18,200,100,0.37,0.6751
phone,simultaneous|file_rr_vs_voice_real+music_fake,FILE,patch,200,100,0.10999999999999999,0.9731
phone,simultaneous|file_rr_vs_voice_real+music_fake,FILE,fused05,200,100,0.27,0.7596
phone,simultaneous|file_rr_vs_voice_real+music_fake,FILE,fused15,200,100,0.19999999999999998,0.8546
phone,simultaneous|file_rr_vs_voice_fake+music_fake,FILE,v18,200,100,0.30000000000000004,0.7879
phone,simultaneous|file_rr_vs_voice_fake+music_fake,FILE,patch,200,100,0.08999999999999998,0.9705
phone,simultaneous|file_rr_vs_voice_fake+music_fake,FILE,fused05,200,100,0.21999999999999997,0.8479
phone,simultaneous|file_rr_vs_voice_fake+music_fake,FILE,fused15,200,100,0.15000000000000002,0.9084000000000001
yue,music_only,MUSIC,v18,16,8,0.0,1.0
yue,music_only,MUSIC,patch,16,8,0.0,1.0
yue,music_only,MUSIC,fused05,16,8,0.0,1.0
yue,music_only,MUSIC,fused15,16,8,0.0,1.0
yue,native_yue_vocal,MUSIC,v18,12,6,0.0,1.0
yue,native_yue_vocal,MUSIC,patch,12,6,0.0,1.0
yue,native_yue_vocal,MUSIC,fused05,12,6,0.0,1.0
yue,native_yue_vocal,MUSIC,fused15,12,6,0.0,1.0
yue,concurrent|music_0,VOICE,v18,16,8,0.25,0.765625
yue,concurrent|music_0,VOICE,patch,16,8,0.5,0.546875
yue,concurrent|music_0,VOICE,fused05,16,8,0.25,0.765625
yue,concurrent|music_0,VOICE,fused15,16,8,0.25,0.765625
yue,concurrent|voice_0,MUSIC,v18,16,8,0.375,0.65625
yue,concurrent|voice_0,MUSIC,patch,16,8,0.375,0.71875
yue,concurrent|voice_0,MUSIC,fused05,16,8,0.5,0.609375
yue,concurrent|voice_0,MUSIC,fused15,16,8,0.25,0.75
yue,concurrent|music_1,VOICE,v18,16,8,0.25,0.9375
yue,concurrent|music_1,VOICE,patch,16,8,0.5,0.5625
yue,concurrent|music_1,VOICE,fused05,16,8,0.25,0.9375
yue,concurrent|music_1,VOICE,fused15,16,8,0.25,0.9375
yue,concurrent|voice_1,MUSIC,v18,16,8,0.25,0.828125
yue,concurrent|voice_1,MUSIC,patch,16,8,0.25,0.828125
yue,concurrent|voice_1,MUSIC,fused05,16,8,0.125,0.875
yue,concurrent|voice_1,MUSIC,fused15,16,8,0.125,0.890625
yue,concurrent|file_rr_vs_voice_fake+music_real,FILE,v18,16,8,0.375,0.59375
yue,concurrent|file_rr_vs_voice_fake+music_real,FILE,patch,16,8,0.5,0.53125
yue,concurrent|file_rr_vs_voice_fake+music_real,FILE,fused05,16,8,0.375,0.59375
yue,concurrent|file_rr_vs_voice_fake+music_real,FILE,fused15,16,8,0.5,0.609375
yue,concurrent|file_rr_vs_voice_real+music_fake,FILE,v18,16,8,0.375,0.65625
yue,concurrent|file_rr_vs_voice_real+music_fake,FILE,patch,16,8,0.25,0.75
yue,concurrent|file_rr_vs_voice_real+music_fake,FILE,fused05,16,8,0.375,0.671875
yue,concurrent|file_rr_vs_voice_real+music_fake,FILE,fused15,16,8,0.375,0.765625
yue,concurrent|file_rr_vs_voice_fake+music_fake,FILE,v18,16,8,0.125,0.859375
yue,concurrent|file_rr_vs_voice_fake+music_fake,FILE,patch,16,8,0.125,0.90625
yue,concurrent|file_rr_vs_voice_fake+music_fake,FILE,fused05,16,8,0.125,0.875
yue,concurrent|file_rr_vs_voice_fake+music_fake,FILE,fused15,16,8,0.125,0.921875
yue,partial_overlap|music_0,VOICE,v18,16,8,0.0,1.0
yue,partial_overlap|music_0,VOICE,patch,16,8,0.125,0.921875
yue,partial_overlap|music_0,VOICE,fused05,16,8,0.0,1.0
yue,partial_overlap|music_0,VOICE,fused15,16,8,0.0,1.0
yue,partial_overlap|voice_0,MUSIC,v18,16,8,0.0,1.0
yue,partial_overlap|voice_0,MUSIC,patch,16,8,0.125,0.984375
yue,partial_overlap|voice_0,MUSIC,fused05,16,8,0.0,1.0
yue,partial_overlap|voice_0,MUSIC,fused15,16,8,0.0,1.0
yue,partial_overlap|music_1,VOICE,v18,16,8,0.0,1.0
yue,partial_overlap|music_1,VOICE,patch,16,8,0.25,0.84375
yue,partial_overlap|music_1,VOICE,fused05,16,8,0.0,1.0
yue,partial_overlap|music_1,VOICE,fused15,16,8,0.0,1.0
yue,partial_overlap|voice_1,MUSIC,v18,16,8,0.25,0.921875
yue,partial_overlap|voice_1,MUSIC,patch,16,8,0.125,0.953125
yue,partial_overlap|voice_1,MUSIC,fused05,16,8,0.125,0.953125
yue,partial_overlap|voice_1,MUSIC,fused15,16,8,0.125,0.96875
yue,partial_overlap|file_rr_vs_voice_fake+music_real,FILE,v18,16,8,0.0,1.0
yue,partial_overlap|file_rr_vs_voice_fake+music_real,FILE,patch,16,8,0.0,1.0
yue,partial_overlap|file_rr_vs_voice_fake+music_real,FILE,fused05,16,8,0.0,1.0
yue,partial_overlap|file_rr_vs_voice_fake+music_real,FILE,fused15,16,8,0.0,1.0
yue,partial_overlap|file_rr_vs_voice_real+music_fake,FILE,v18,16,8,0.125,0.84375
yue,partial_overlap|file_rr_vs_voice_real+music_fake,FILE,patch,16,8,0.125,0.96875
yue,partial_overlap|file_rr_vs_voice_real+music_fake,FILE,fused05,16,8,0.125,0.84375
yue,partial_overlap|file_rr_vs_voice_real+music_fake,FILE,fused15,16,8,0.125,0.921875
yue,partial_overlap|file_rr_vs_voice_fake+music_fake,FILE,v18,16,8,0.0,1.0
yue,partial_overlap|file_rr_vs_voice_fake+music_fake,FILE,patch,16,8,0.0,1.0
yue,partial_overlap|file_rr_vs_voice_fake+music_fake,FILE,fused05,16,8,0.0,1.0
yue,partial_overlap|file_rr_vs_voice_fake+music_fake,FILE,fused15,16,8,0.0,1.0
yue,sequential|music_0,VOICE,v18,16,8,0.0,1.0
yue,sequential|music_0,VOICE,patch,16,8,0.125,0.96875
yue,sequential|music_0,VOICE,fused05,16,8,0.0,1.0
yue,sequential|music_0,VOICE,fused15,16,8,0.0,1.0
yue,sequential|voice_0,MUSIC,v18,16,8,0.0,1.0
yue,sequential|voice_0,MUSIC,patch,16,8,0.125,0.984375
yue,sequential|voice_0,MUSIC,fused05,16,8,0.0,1.0
yue,sequential|voice_0,MUSIC,fused15,16,8,0.125,0.984375
yue,sequential|music_1,VOICE,v18,16,8,0.125,0.96875
yue,sequential|music_1,VOICE,patch,16,8,0.375,0.84375
yue,sequential|music_1,VOICE,fused05,16,8,0.125,0.96875
yue,sequential|music_1,VOICE,fused15,16,8,0.125,0.96875
yue,sequential|voice_1,MUSIC,v18,16,8,0.125,0.953125
yue,sequential|voice_1,MUSIC,patch,16,8,0.125,0.953125
yue,sequential|voice_1,MUSIC,fused05,16,8,0.125,0.96875
yue,sequential|voice_1,MUSIC,fused15,16,8,0.0,1.0
yue,sequential|file_rr_vs_voice_fake+music_real,FILE,v18,16,8,0.125,0.953125
yue,sequential|file_rr_vs_voice_fake+music_real,FILE,patch,16,8,0.375,0.703125
yue,sequential|file_rr_vs_voice_fake+music_real,FILE,fused05,16,8,0.125,0.96875
yue,sequential|file_rr_vs_voice_fake+music_real,FILE,fused15,16,8,0.125,0.96875
yue,sequential|file_rr_vs_voice_real+music_fake,FILE,v18,16,8,0.0,1.0
yue,sequential|file_rr_vs_voice_real+music_fake,FILE,patch,16,8,0.125,0.984375
yue,sequential|file_rr_vs_voice_real+music_fake,FILE,fused05,16,8,0.125,0.984375
yue,sequential|file_rr_vs_voice_real+music_fake,FILE,fused15,16,8,0.125,0.984375
yue,sequential|file_rr_vs_voice_fake+music_fake,FILE,v18,16,8,0.0,1.0
yue,sequential|file_rr_vs_voice_fake+music_fake,FILE,patch,16,8,0.125,0.984375
yue,sequential|file_rr_vs_voice_fake+music_fake,FILE,fused05,16,8,0.0,1.0
yue,sequential|file_rr_vs_voice_fake+music_fake,FILE,fused15,16,8,0.0,1.0
