DATASET,TASK,GENERATOR,MODEL,POS_N,REAL_N,MATCHED_STRATA,MATCHED_PAIRS,CONDITIONAL_MACRO_AUC,N,POS,EER,AUC
phone,VOICE,A19,v18,8,400,2,1200,0.9325,408,8,0.10875,0.9409375
phone,VOICE,A19,patch,8,400,2,1200,0.414375,408,8,0.51125,0.435625
phone,VOICE,A19,fused05,8,400,2,1200,0.9325,408,8,0.10875,0.9409375
phone,VOICE,A19,fused15,8,400,2,1200,0.9325,408,8,0.10875,0.9409375
phone,VOICE,HUB-B00,v18,4,400,1,800,0.98375,404,4,0.01875,0.990625
phone,VOICE,HUB-B00,patch,4,400,1,800,0.5725,404,4,0.54375,0.44375
phone,VOICE,HUB-B00,fused05,4,400,1,800,0.98375,404,4,0.01875,0.990625
phone,VOICE,HUB-B00,fused15,4,400,1,800,0.98375,404,4,0.01875,0.990625
phone,VOICE,HUB-B01,v18,8,400,2,1200,0.9668749999999999,408,8,0.125,0.963125
phone,VOICE,HUB-B01,patch,8,400,2,1200,0.68625,408,8,0.375,0.7225
phone,VOICE,HUB-B01,fused05,8,400,2,1200,0.9668749999999999,408,8,0.125,0.963125
phone,VOICE,HUB-B01,fused15,8,400,2,1200,0.9668749999999999,408,8,0.125,0.963125
phone,VOICE,HUB-D01,v18,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,HUB-D01,patch,4,400,1,800,0.915,404,4,0.02625,0.9565625
phone,VOICE,HUB-D01,fused05,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,HUB-D01,fused15,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,HUB-D02,v18,4,400,1,400,0.9275,404,4,0.20124999999999998,0.9175
phone,VOICE,HUB-D02,patch,4,400,1,400,0.695,404,4,0.27625,0.68875
phone,VOICE,HUB-D02,fused05,4,400,1,400,0.9275,404,4,0.20124999999999998,0.9175
phone,VOICE,HUB-D02,fused15,4,400,1,400,0.9275,404,4,0.20124999999999998,0.9175
phone,VOICE,HUB-D04,v18,16,400,2,2800,0.9395833333333333,416,16,0.125,0.96578125
phone,VOICE,HUB-D04,patch,16,400,2,2800,0.7602083333333334,416,16,0.3,0.7396093749999999
phone,VOICE,HUB-D04,fused05,16,400,2,2800,0.9395833333333333,416,16,0.125,0.96578125
phone,VOICE,HUB-D04,fused15,16,400,2,2800,0.9395833333333333,416,16,0.125,0.96578125
phone,VOICE,HUB-N03,v18,16,400,3,2000,0.9445833333333334,416,16,0.1375,0.9490624999999999
phone,VOICE,HUB-N03,patch,16,400,3,2000,0.7620833333333333,416,16,0.25,0.794453125
phone,VOICE,HUB-N03,fused05,16,400,3,2000,0.9445833333333334,416,16,0.1375,0.9490624999999999
phone,VOICE,HUB-N03,fused15,16,400,3,2000,0.9445833333333334,416,16,0.1375,0.9490624999999999
phone,VOICE,HUB-N04,v18,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,HUB-N04,patch,4,400,1,800,0.825,404,4,0.06,0.8975
phone,VOICE,HUB-N04,fused05,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,HUB-N04,fused15,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,HUB-N06,v18,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,HUB-N06,patch,4,400,1,800,0.96,404,4,0.01375,0.986875
phone,VOICE,HUB-N06,fused05,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,HUB-N06,fused15,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,HUB-N07,v18,4,400,1,400,0.94,404,4,0.22625,0.930625
phone,VOICE,HUB-N07,patch,4,400,1,400,0.3175,404,4,0.50875,0.41312499999999996
phone,VOICE,HUB-N07,fused05,4,400,1,400,0.94,404,4,0.22625,0.930625
phone,VOICE,HUB-N07,fused15,4,400,1,400,0.94,404,4,0.22625,0.930625
phone,VOICE,HUB-N08,v18,8,400,2,1200,0.96,408,8,0.14750000000000002,0.9512499999999999
phone,VOICE,HUB-N08,patch,8,400,2,1200,0.785625,408,8,0.2225,0.82328125
phone,VOICE,HUB-N08,fused05,8,400,2,1200,0.96,408,8,0.14750000000000002,0.9512499999999999
phone,VOICE,HUB-N08,fused15,8,400,2,1200,0.96,408,8,0.14750000000000002,0.9512499999999999
phone,VOICE,HUB-N09,v18,8,400,2,1200,0.94,408,8,0.22125,0.9228125
phone,VOICE,HUB-N09,patch,8,400,2,1200,0.669375,408,8,0.38125,0.74734375
phone,VOICE,HUB-N09,fused05,8,400,2,1200,0.94,408,8,0.22125,0.9228125
phone,VOICE,HUB-N09,fused15,8,400,2,1200,0.94,408,8,0.22125,0.9228125
phone,VOICE,HUB-N10,v18,4,400,1,400,0.96,404,4,0.19125,0.939375
phone,VOICE,HUB-N10,patch,4,400,1,400,0.66,404,4,0.2825,0.661875
phone,VOICE,HUB-N10,fused05,4,400,1,400,0.96,404,4,0.19125,0.939375
phone,VOICE,HUB-N10,fused15,4,400,1,400,0.96,404,4,0.19125,0.939375
phone,VOICE,HUB-N13,v18,24,400,3,3600,0.9726388888888889,424,24,0.11624999999999999,0.9669791666666666
phone,VOICE,HUB-N13,patch,24,400,3,3600,0.5875,424,24,0.4095833333333333,0.68125
phone,VOICE,HUB-N13,fused05,24,400,3,3600,0.9726388888888889,424,24,0.11624999999999999,0.9669791666666666
phone,VOICE,HUB-N13,fused15,24,400,3,3600,0.9726388888888889,424,24,0.11624999999999999,0.9669791666666666
phone,VOICE,HUB-N15,v18,20,400,2,2000,0.68,420,20,0.25,0.8105
phone,VOICE,HUB-N15,patch,20,400,2,2000,0.7071875,420,20,0.23875000000000002,0.8065625
phone,VOICE,HUB-N15,fused05,20,400,2,2000,0.68,420,20,0.25,0.8105
phone,VOICE,HUB-N15,fused15,20,400,2,2000,0.68,420,20,0.25,0.8105
phone,VOICE,SPO-N05,v18,4,400,1,800,0.9475,404,4,0.02375,0.96875
phone,VOICE,SPO-N05,patch,4,400,1,800,0.785,404,4,0.22875,0.8574999999999999
phone,VOICE,SPO-N05,fused05,4,400,1,800,0.9475,404,4,0.02375,0.96875
phone,VOICE,SPO-N05,fused15,4,400,1,800,0.9475,404,4,0.02375,0.96875
phone,VOICE,SPO-N06,v18,4,400,1,800,0.9725,404,4,0.01625,0.985
phone,VOICE,SPO-N06,patch,4,400,1,800,0.785,404,4,0.2225,0.8587499999999999
phone,VOICE,SPO-N06,fused05,4,400,1,800,0.9725,404,4,0.01625,0.985
phone,VOICE,SPO-N06,fused15,4,400,1,800,0.9725,404,4,0.01625,0.985
phone,VOICE,SPO-N10,v18,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,SPO-N10,patch,4,400,1,800,0.9675,404,4,0.01375,0.9903124999999999
phone,VOICE,SPO-N10,fused05,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,SPO-N10,fused15,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,SPO-N12,v18,4,400,1,400,0.7125,404,4,0.26375000000000004,0.7424999999999999
phone,VOICE,SPO-N12,patch,4,400,1,400,0.435,404,4,0.5,0.54375
phone,VOICE,SPO-N12,fused05,4,400,1,400,0.7125,404,4,0.26375000000000004,0.7424999999999999
phone,VOICE,SPO-N12,fused15,4,400,1,400,0.7125,404,4,0.26375000000000004,0.7424999999999999
phone,VOICE,SPO-N13,v18,8,400,2,1200,0.8875,408,8,0.25,0.8953125
phone,VOICE,SPO-N13,patch,8,400,2,1200,0.934375,408,8,0.25,0.888125
phone,VOICE,SPO-N13,fused05,8,400,2,1200,0.8875,408,8,0.25,0.8953125
phone,VOICE,SPO-N13,fused15,8,400,2,1200,0.8875,408,8,0.25,0.8953125
phone,VOICE,SPO-N17,v18,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,SPO-N17,patch,4,400,1,800,0.87375,404,4,0.05,0.9306250000000001
phone,VOICE,SPO-N17,fused05,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,SPO-N17,fused15,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,SPO-N18,v18,20,400,2,3600,0.9957812500000001,420,20,0.0125,0.996375
phone,VOICE,SPO-N18,patch,20,400,2,3600,0.9295312499999999,420,20,0.19749999999999998,0.914875
phone,VOICE,SPO-N18,fused05,20,400,2,3600,0.9957812500000001,420,20,0.0125,0.996375
phone,VOICE,SPO-N18,fused15,20,400,2,3600,0.9957812500000001,420,20,0.0125,0.996375
phone,VOICE,Task1-team03,v18,8,400,1,1600,1.0,408,8,0.0,1.0
phone,VOICE,Task1-team03,patch,8,400,1,1600,0.94375,408,8,0.10375000000000001,0.97625
phone,VOICE,Task1-team03,fused05,8,400,1,1600,1.0,408,8,0.0,1.0
phone,VOICE,Task1-team03,fused15,8,400,1,1600,1.0,408,8,0.0,1.0
phone,VOICE,Task1-team07,v18,4,400,1,400,0.7625,404,4,0.25875000000000004,0.7818749999999999
phone,VOICE,Task1-team07,patch,4,400,1,400,0.8175,404,4,0.25,0.78875
phone,VOICE,Task1-team07,fused05,4,400,1,400,0.7625,404,4,0.25875000000000004,0.7818749999999999
phone,VOICE,Task1-team07,fused15,4,400,1,400,0.7625,404,4,0.25875000000000004,0.7818749999999999
phone,VOICE,Task1-team10,v18,8,400,2,1200,0.85375,408,8,0.25,0.8646875
phone,VOICE,Task1-team10,patch,8,400,2,1200,0.7925,408,8,0.25,0.8171875000000001
phone,VOICE,Task1-team10,fused05,8,400,2,1200,0.85375,408,8,0.25,0.8646875
phone,VOICE,Task1-team10,fused15,8,400,2,1200,0.85375,408,8,0.25,0.8646875
phone,VOICE,Task1-team18,v18,4,400,1,800,0.995,404,4,0.005,0.9974999999999999
phone,VOICE,Task1-team18,patch,4,400,1,800,0.87,404,4,0.20625,0.9237500000000001
phone,VOICE,Task1-team18,fused05,4,400,1,800,0.995,404,4,0.005,0.9974999999999999
phone,VOICE,Task1-team18,fused15,4,400,1,800,0.995,404,4,0.005,0.9974999999999999
phone,VOICE,Task1-team20,v18,4,400,1,400,1.0,404,4,0.0075,0.9925
phone,VOICE,Task1-team20,patch,4,400,1,400,0.95,404,4,0.23249999999999998,0.808125
phone,VOICE,Task1-team20,fused05,4,400,1,400,1.0,404,4,0.0075,0.9925
phone,VOICE,Task1-team20,fused15,4,400,1,400,1.0,404,4,0.0075,0.9925
phone,VOICE,Task1-team22,v18,8,400,2,1200,0.905,408,8,0.25,0.9065625
phone,VOICE,Task1-team22,patch,8,400,2,1200,0.896875,408,8,0.22,0.860625
phone,VOICE,Task1-team22,fused05,8,400,2,1200,0.905,408,8,0.25,0.9065625
phone,VOICE,Task1-team22,fused15,8,400,2,1200,0.905,408,8,0.25,0.9065625
phone,VOICE,Task1-team24,v18,12,400,2,1600,0.870625,412,12,0.25,0.8485416666666666
phone,VOICE,Task1-team24,patch,12,400,2,1600,0.571875,412,12,0.4270833333333333,0.6059375
phone,VOICE,Task1-team24,fused05,12,400,2,1600,0.870625,412,12,0.25,0.8485416666666666
phone,VOICE,Task1-team24,fused15,12,400,2,1600,0.870625,412,12,0.25,0.8485416666666666
phone,VOICE,Task1-team25,v18,4,400,1,400,0.9325,404,4,0.22625,0.915
phone,VOICE,Task1-team25,patch,4,400,1,400,0.7325,404,4,0.28875,0.669375
phone,VOICE,Task1-team25,fused05,4,400,1,400,0.9325,404,4,0.22625,0.915
phone,VOICE,Task1-team25,fused15,4,400,1,400,0.9325,404,4,0.22625,0.915
phone,VOICE,Task1-team28,v18,4,400,1,400,0.965,404,4,0.1875,0.940625
phone,VOICE,Task1-team28,patch,4,400,1,400,0.9975,404,4,0.06,0.891875
phone,VOICE,Task1-team28,fused05,4,400,1,400,0.965,404,4,0.1875,0.940625
phone,VOICE,Task1-team28,fused15,4,400,1,400,0.965,404,4,0.1875,0.940625
phone,VOICE,Task1-team30,v18,8,400,1,800,0.73375,408,8,0.34875,0.7490625
phone,VOICE,Task1-team30,patch,8,400,1,800,0.88,408,8,0.25,0.7634375
phone,VOICE,Task1-team30,fused05,8,400,1,800,0.73375,408,8,0.34875,0.7490625
phone,VOICE,Task1-team30,fused15,8,400,1,800,0.73375,408,8,0.34875,0.7490625
phone,VOICE,Task1-team32,v18,8,400,1,1600,0.965625,408,8,0.09625,0.978125
phone,VOICE,Task1-team32,patch,8,400,1,1600,0.92375,408,8,0.0975,0.96546875
phone,VOICE,Task1-team32,fused05,8,400,1,1600,0.965625,408,8,0.09625,0.978125
phone,VOICE,Task1-team32,fused15,8,400,1,1600,0.965625,408,8,0.09625,0.978125
phone,VOICE,Task2-team03,v18,16,400,2,2400,1.0,416,16,0.01125,0.9985937500000001
phone,VOICE,Task2-team03,patch,16,400,2,2400,0.9146875,416,16,0.2025,0.8724218749999999
phone,VOICE,Task2-team03,fused05,16,400,2,2400,1.0,416,16,0.01125,0.9985937500000001
phone,VOICE,Task2-team03,fused15,16,400,2,2400,1.0,416,16,0.01125,0.9985937500000001
phone,VOICE,Task2-team10,v18,4,400,1,800,0.87125,404,4,0.25,0.8781249999999999
phone,VOICE,Task2-team10,patch,4,400,1,800,0.91625,404,4,0.03,0.9584374999999999
phone,VOICE,Task2-team10,fused05,4,400,1,800,0.87125,404,4,0.25,0.8781249999999999
phone,VOICE,Task2-team10,fused15,4,400,1,800,0.87125,404,4,0.25,0.8781249999999999
phone,VOICE,Task2-team11,v18,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,Task2-team11,patch,4,400,1,800,0.955,404,4,0.01875,0.9824999999999999
phone,VOICE,Task2-team11,fused05,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,Task2-team11,fused15,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,Task2-team12,v18,8,400,2,1200,0.9475,408,8,0.125,0.9496875
phone,VOICE,Task2-team12,patch,8,400,2,1200,0.7424999999999999,408,8,0.275,0.74296875
phone,VOICE,Task2-team12,fused05,8,400,2,1200,0.9475,408,8,0.125,0.9496875
phone,VOICE,Task2-team12,fused15,8,400,2,1200,0.9475,408,8,0.125,0.9496875
phone,VOICE,Task2-team13,v18,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,Task2-team13,patch,4,400,1,800,0.91375,404,4,0.02625,0.9559375
phone,VOICE,Task2-team13,fused05,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,Task2-team13,fused15,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,Task2-team16,v18,8,400,2,1200,0.875,408,8,0.25,0.87875
phone,VOICE,Task2-team16,patch,8,400,2,1200,0.8,408,8,0.35250000000000004,0.814375
phone,VOICE,Task2-team16,fused05,8,400,2,1200,0.875,408,8,0.25,0.87875
phone,VOICE,Task2-team16,fused15,8,400,2,1200,0.875,408,8,0.25,0.87875
phone,VOICE,Task2-team20,v18,8,400,2,1200,0.995,408,8,0.1,0.9890625000000001
phone,VOICE,Task2-team20,patch,8,400,2,1200,0.675625,408,8,0.375,0.71984375
phone,VOICE,Task2-team20,fused05,8,400,2,1200,0.995,408,8,0.1,0.9890625000000001
phone,VOICE,Task2-team20,fused15,8,400,2,1200,0.995,408,8,0.1,0.9890625000000001
phone,VOICE,Task2-team22,v18,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,Task2-team22,patch,4,400,1,800,0.75125,404,4,0.25,0.82875
phone,VOICE,Task2-team22,fused05,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,Task2-team22,fused15,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,Task2-team23,v18,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,Task2-team23,patch,4,400,1,800,0.785,404,4,0.21000000000000002,0.8581249999999999
phone,VOICE,Task2-team23,fused05,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,Task2-team23,fused15,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,Task2-team25,v18,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,Task2-team25,patch,4,400,1,800,0.91375,404,4,0.03,0.9559375
phone,VOICE,Task2-team25,fused05,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,Task2-team25,fused15,4,400,1,800,1.0,404,4,0.0,1.0
phone,VOICE,Task2-team27,v18,8,400,1,800,0.85,408,8,0.25625,0.8496875
phone,VOICE,Task2-team27,patch,8,400,1,800,0.335,408,8,0.625,0.4125
phone,VOICE,Task2-team27,fused05,8,400,1,800,0.85,408,8,0.25625,0.8496875
phone,VOICE,Task2-team27,fused15,8,400,1,800,0.85,408,8,0.25625,0.8496875
phone,VOICE,Task2-team28,v18,8,400,2,1200,1.0,408,8,0.005,0.99875
phone,VOICE,Task2-team28,patch,8,400,2,1200,0.579375,408,8,0.5,0.4846875
phone,VOICE,Task2-team28,fused05,8,400,2,1200,1.0,408,8,0.005,0.99875
phone,VOICE,Task2-team28,fused15,8,400,2,1200,1.0,408,8,0.005,0.99875
phone,VOICE,Task2-team33,v18,16,400,2,2400,0.9525,416,16,0.17875000000000002,0.943125
phone,VOICE,Task2-team33,patch,16,400,2,2400,0.7221875,416,16,0.3125,0.7409375
phone,VOICE,Task2-team33,fused05,16,400,2,2400,0.9525,416,16,0.17875000000000002,0.943125
phone,VOICE,Task2-team33,fused15,16,400,2,2400,0.9525,416,16,0.17875000000000002,0.943125
phone,MUSIC,chirp-v3.5,v18,224,400,3,33600,0.7360821886446886,624,224,0.3159821428571429,0.7879910714285715
phone,MUSIC,chirp-v3.5,patch,224,400,3,33600,0.9856786477411478,624,224,0.05776785714285715,0.9893805803571428
phone,MUSIC,chirp-v3.5,fused05,224,400,3,33600,0.8519803876678876,624,224,0.18276785714285715,0.8927901785714286
phone,MUSIC,chirp-v3.5,fused15,224,400,3,33600,0.9538862942612942,624,224,0.08964285714285715,0.9678683035714286
phone,MUSIC,udio-120s,v18,176,400,3,26400,0.6224330808080808,576,176,0.40295454545454545,0.6226420454545455
phone,MUSIC,udio-120s,patch,176,400,3,26400,0.9588131313131313,576,176,0.11306818181818182,0.9519105113636364
phone,MUSIC,udio-120s,fused05,176,400,3,26400,0.7517424242424241,576,176,0.3005681818181818,0.7455539772727273
phone,MUSIC,udio-120s,fused15,176,400,3,26400,0.8959709595959596,576,176,0.18215909090909088,0.8815340909090909
yue,VOICE,YuE,v18,12,48,0,0,,60,12,0.15625,0.8784722222222222
yue,VOICE,YuE,patch,12,48,0,0,,60,12,0.8333333333333334,0.12152777777777776
