BASE_ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,MIX_MODE,COMPONENT_CASE,EVAL_CELL,VOICE_SOURCE_ID,VOICE_SPEAKER,VOICE_CONTENT_ID,VOICE_REFERENCE_ID,VOICE_REFERENCE_SPEAKER,VOICE_GENERATOR,VOICE_ARCHIVE_ID,VOICE_ARCHIVE_MEMBER,VOICE_PARQUET_SHARD,MUSIC_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,MUSIC_VOCAL_SCREEN,MUSIC_ARCHIVE_ID,MUSIC_ARCHIVE_MEMBER,SNR_DB,OVERLAP_FRACTION,ORDER,GAP_SECONDS,SOURCE_DATASET,PROVENANCE_MODE
cmbv7_0010,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,echofake:EF_O_02840,17f32f9f15bab6cf57af6fb7a5daf0747f6b79c0361fdcf880635e204dbccd77f2dbf651b3bbf5f75010c857a307bc6046fcc6f8db9ad449a91f5e2293d88aa5,common_voice_en_32756665.mp3,,,bonafide,EF_O_02840,echofake_voice/EF_O_02840.flac,open_set_eval-00000-of-00003.parquet,FM_musicldm_IUjzBX2Qm4k,fmc:IUjzBX2Qm4k,musicldm,panns_demucs_semantic_screen_pending_v7,FM_musicldm_IUjzBX2Qm4k,unmixed_dataset/eval/FM_musicldm_IUjzBX2Qm4k.wav,-5,1.0,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0011,1,0,1,1,1,mixed,concurrent,RF,concurrent__RF,echofake:EF_O_02569,4b72eeb0fbb01626e63078dae2108002501fd878854c91c77e07539aff0a246f9a54a59db17b6bcad11d925db59529da0123dcf229caa15ab658b926d19f419e,common_voice_en_27664626.mp3,,,bonafide,EF_O_02569,echofake_voice/EF_O_02569.flac,open_set_eval-00000-of-00003.parquet,FM_mustango_4yJZ4VX8XQI,fmc:4yJZ4VX8XQI,mustango,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_mustango_4yJZ4VX8XQI,unmixed_dataset/eval/FM_mustango_4yJZ4VX8XQI.wav,-5,1.0,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0012,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,echofake:EF_T_02067,5cca7be108fa946f0adb7a7cd1ff5c77fa151359f1a2e5cf4a853c4a3e4f61b1469857888c39926e913a9d62cda372cd9a0bffdab88f2644930159076eaf0036,common_voice_en_30543153.mp3,common_voice_en_30543153.mp3,2a3f77ca432e0ceaa318c29163cb80973e027f093d94194135568b84e747aa7d44d7523155d98fdc17395880d72c17e77a4b0d5cec5d19c15a104f7688f5cce4,XTTS-v2,EF_T_02067,echofake_voice/EF_T_02067.flac,dev-00000-of-00001.parquet,124176,fma:124176,FMA,panns_demucs_semantic_screen_pending_v7,RM_124_124176,unmixed_dataset/eval/RM_124_124176.wav,-5,1.0,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0013,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,echofake:EF_T_02919,9ed3a5e0e708824b0cbdc359c53cd3ba9f9f6d38123e25b71b9cba82871ac2484e071dd49ebd73f36fb2c44289be1be562d441287b3af4653b773843596b4eb8,common_voice_en_20052141.mp3,common_voice_en_20052141.mp3,9156ba40a73902275bd06dc62275d8eb40705db1b7e8628544371ec4c1ff1f61c12053df2e40790ef75b2e8a2e49a5aefb2a8345cae3e22e029b92b695cc1516,StyleTTS2,EF_T_02919,echofake_voice/EF_T_02919.flac,dev-00000-of-00001.parquet,084790,fma:84790,FMA,panns_demucs_semantic_screen_pending_v7,RM_084_084790,unmixed_dataset/eval/RM_084_084790.wav,5,1.0,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0014,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,echofake:EF_T_02213,762e1975fbda65fb3677d58ca2d21e36373950a99f8c16478394ab8a3823dbb9e6fc232373f353a186cf742026b6d7b210a01f33213464f2c2a2f92a15da9b43,common_voice_en_20838913.mp3,common_voice_en_20838913.mp3,1045835d50bedad82c5c5bcb6196371734f3dd17e48093a6454b82abf9d9b33ba1f2ba1afa764afca731dc6560bdc5b8ac13c0bbd28b8d8a766c4163ba6d0817,F5-TTS,EF_T_02213,echofake_voice/EF_T_02213.flac,dev-00000-of-00001.parquet,121278,fma:121278,FMA,panns_demucs_semantic_screen_pending_v7,RM_121_121278,unmixed_dataset/eval/RM_121_121278.wav,5,1.0,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0015,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,echofake:EF_O_16428,01f865013c665c988b04d79ec240f5b759eafb23d9f7870d443f26438a8672f9b4404ce3c6af227f61ac865b74456f5d32ebde27fd681dc807d01e1c28ca7be8,common_voice_en_31095467.mp3,common_voice_en_31095467.mp3,09be020786a46cfc9b8446dedb9303a0f5ee5c9232a53b8608116321a8fa7c6abb771e877f0384613a7037bdce397a36f0fcd8a652bee400112e04468416daf2,IndexTTS,EF_O_16428,echofake_voice/EF_O_16428.flac,open_set_eval-00001-of-00003.parquet,108533,fma:108533,FMA,panns_demucs_semantic_screen_pending_v7,RM_108_108533,unmixed_dataset/eval/RM_108_108533.wav,10,1.0,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0016,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,echofake:EF_T_02476,30f51ddd347ed98c92191b4651b9a7ddf80607b5686c3b4eb2070a4a044ee50a9590505f3272ddbc098b970261ebc36d2581f3af4ccb988964c9c8e19cdc4821,common_voice_en_20650457.mp3,common_voice_en_20650457.mp3,f7dac07ed608cba31b765effaccdf10aaa65704bf32665f6ea7ded4eee5cd8e73cbe4af9a700ad3efcb3922bada5e257c2211c8824fbc73b8ddf039e30ed30ec,SpeechT5,EF_T_02476,echofake_voice/EF_T_02476.flac,dev-00000-of-00001.parquet,093518,fma:93518,FMA,panns_demucs_semantic_screen_pending_v7,RM_093_093518,unmixed_dataset/eval/RM_093_093518.wav,-5,1.0,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0017,1,1,0,1,1,mixed,concurrent,FR,concurrent__FR,echofake:EF_O_15854,e10f6e9bdcdf8c51f579683eed01a08a9541489cba704706891f95b95c5d83c6172993e76bf3fa1539b6c3d484bbe823032d538b37b95e58a73eb834441a69c8,common_voice_en_18942543.mp3,common_voice_en_18942543.mp3,41dba35c1cf2be1e719ce7b018a0206a7481f5d2d80bf9ddddd45a2ed4db9a86d30fbf03fd56d74d0043b648bd29abbce0331338ee6f577d685dc241292ec737,MaskGCT,EF_O_15854,echofake_voice/EF_O_15854.flac,open_set_eval-00001-of-00003.parquet,116754,fma:116754,FMA,panns_demucs_semantic_screen_pending_v7,RM_116_116754,unmixed_dataset/eval/RM_116_116754.wav,10,1.0,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0018,1,1,1,1,1,mixed,concurrent,FF,concurrent__FF,echofake:EF_O_14116,7af4e22e90bce9b4286c0deb6dfaf511ffe894b32d564e69044ae2b5d3ffc424cd5887a20fbb34888ecae4984d15571b02cb3fdb59d25d9a3db52615a31d0724,common_voice_en_23813102.mp3,common_voice_en_23813102.mp3,3e958d68bdb4e53eda8db69ddba788bee3b7cf8f5ca3f009ab2227c041dc4dacbe7a985904ea49cddcce1feafb55f4964b161160282bb05429d5c27f8fd43061,OpenVoice-V2,EF_O_14116,echofake_voice/EF_O_14116.flac,open_set_eval-00001-of-00003.parquet,FM_stable_audio_open_JL9Xxzf9e2A,fmc:JL9Xxzf9e2A,stable_audio_open,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_stable_audio_open_JL9Xxzf9e2A,unmixed_dataset/eval/FM_stable_audio_open_JL9Xxzf9e2A.wav,10,1.0,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0019,1,1,1,1,1,mixed,concurrent,FF,concurrent__FF,echofake:EF_T_02798,6300aa02b543491b1978ffaabe484f99c7e088aa77b7ce63091793742dc7af8179a4e72d7d3d5b7b1598647fc6d6740360e077b1d3fdcc375c1443b7cf57810a,common_voice_en_19592141.mp3,common_voice_en_19592141.mp3,93edbadb50b273a7a0bd9de45b9278a6594b3a4c2718b66f607a1dab2f05e53589f997023de3f0fd6b176d2a3c9345afef94389ecca6f0a54c43f7f4cdf23fe1,OpenAudio-S1-mini,EF_T_02798,echofake_voice/EF_T_02798.flac,dev-00000-of-00001.parquet,FM_audioldm2_8q0An6WY7_c,fmc:8q0An6WY7_c,audioldm2,panns_demucs_semantic_screen_pending_v7,FM_audioldm2_8q0An6WY7_c,unmixed_dataset/eval/FM_audioldm2_8q0An6WY7_c.wav,-10,1.0,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0020,1,1,1,1,1,mixed,concurrent,FF,concurrent__FF,echofake:EF_T_02644,3df789eb6659356886bcd8590150de0c5c2d4285db1685b039033938dedaa1b1e361eb196e73eecb81c6917aaf1ea41fa16e3075ba14a457ab5b08b08d0cc0e2,common_voice_en_18645165.mp3,common_voice_en_18645165.mp3,7e5c6753ff365a43d15f523fee0f14994d36dec3d720e8a2fa0ebd4ee30e3d5a86e947bf28a91119320194c3d69f214d3bb375f8dbd850edcaf53d56b07e7467,LLaSA,EF_T_02644,echofake_voice/EF_T_02644.flac,dev-00000-of-00001.parquet,FM_MusicGen_medium_sDoV3sMgDhE,fmc:sDoV3sMgDhE,MusicGen_medium,panns_demucs_semantic_screen_pending_v7,FM_MusicGen_medium_sDoV3sMgDhE,unmixed_dataset/eval/FM_MusicGen_medium_sDoV3sMgDhE.wav,-5,1.0,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0021,1,1,1,1,1,mixed,concurrent,FF,concurrent__FF,echofake:EF_O_12968,268b0cb36e8a65ab478ddf8dc74904d5f07a6e62511f3d1a537bd966cf51c64a9a37b71c8954f88ab563a667a76dc9f53a6668d0271548de30817e538edb50ad,common_voice_en_28064519.mp3,common_voice_en_28064519.mp3,b94e2e771178b8201f5058eb15bab83231aaa0c9a21d0e18ac59b14e8b98499bc4875bfcf3478bc38d49ff850f4245db12dd78258e4e9542cb9f18f42cea4758,CosyVoice2,EF_O_12968,echofake_voice/EF_O_12968.flac,open_set_eval-00001-of-00003.parquet,FM_musicldm_emP2Sg9QEg4,fmc:emP2Sg9QEg4,musicldm,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_musicldm_emP2Sg9QEg4,unmixed_dataset/eval/FM_musicldm_emP2Sg9QEg4.wav,0,1.0,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0022,1,1,1,1,1,mixed,concurrent,FF,concurrent__FF,echofake:EF_O_13219,13868b0f090c5b0ce4f8e8111d4f32f49f7c03dfdd4ee0f1bbbd5b6a30e8c557c719af594a7974bfe94ffc83b097903f4e36f733614f3978a623a04989631770,common_voice_en_18671592.mp3,common_voice_en_18671592.mp3,bd8fde1c5e7b0891e3740031d254efecbb60977cd44e53a1953507067c6c90c322c62cda4d993a224065915680ab8ec210a382cb667de683a240c863c6796f87,FireRedTTS,EF_O_13219,echofake_voice/EF_O_13219.flac,open_set_eval-00001-of-00003.parquet,FM_mustango_tw8-TlQBcBA,fmc:tw8-TlQBcBA,mustango,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_mustango_tw8-TlQBcBA,unmixed_dataset/eval/FM_mustango_tw8-TlQBcBA.wav,-5,1.0,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0023,1,1,1,1,1,mixed,concurrent,FF,concurrent__FF,echofake:EF_T_02082,dcb688237f6f87c6abf15faccbbfdeb54743d7b6ce96d84cf5e58f141ef2abdcdac4bdc02cba529c9d666861196ca3042ef6aecab493eed3d233029f00f2c4ca,common_voice_en_32642053.mp3,common_voice_en_32642053.mp3,17debe1b492f0040da69c217dd25755535ac460ae597bada49b126924ba8c4e8f830a0ba64461aa1acd52223633601ce655dc88c78493358a10a71dd2cc6cad4,XTTS-v2,EF_T_02082,echofake_voice/EF_T_02082.flac,dev-00000-of-00001.parquet,FM_stable_audio_open_ftaHv79hRoY,fmc:ftaHv79hRoY,stable_audio_open,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_stable_audio_open_ftaHv79hRoY,unmixed_dataset/eval/FM_stable_audio_open_ftaHv79hRoY.wav,-10,1.0,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0024,0,0,0,1,1,mixed,partial_overlap,RR,partial_overlap__RR,echofake:EF_O_01595,ab089ddfecaf56da0bfac0e43cc702368f274394f40ace9fb190c776489219bbc16d0e3fdfdc6773dadda139028774445ec93247649a5303d7166855b4e0c37a,common_voice_en_19864821.mp3,,,bonafide,EF_O_01595,echofake_voice/EF_O_01595.flac,open_set_eval-00000-of-00003.parquet,151045,fma:151045,FMA,panns_demucs_semantic_screen_pending_v7,RM_151_151045,unmixed_dataset/eval/RM_151_151045.wav,-10,0.5,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0025,0,0,0,1,1,mixed,partial_overlap,RR,partial_overlap__RR,echofake:EF_O_06026,65330ca8a80c964885306d52604f8a9db2221fd65fc0e431a71784fc08e4c1a39dd03e0bc47f45f59ed558f1560a255727ab219bc6b9849bcef4cc531c8a622b,common_voice_en_19857296.mp3,,,bonafide,EF_O_06026,echofake_voice/EF_O_06026.flac,open_set_eval-00000-of-00003.parquet,068343,fma:68343,FMA,panns_demucs_semantic_screen_pending_v7,RM_068_068343,unmixed_dataset/eval/RM_068_068343.wav,-5,0.5,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0026,0,0,0,1,1,mixed,partial_overlap,RR,partial_overlap__RR,echofake:EF_O_01560,2f9ccd924de86d1165bfc301f4da9c50b16ce762c4222ec78f12cc032ec1344f5895dc029faae6db4672b17b07ce7a659a95af2bfcd431714dc49a13685323a5,common_voice_en_27638220.mp3,,,bonafide,EF_O_01560,echofake_voice/EF_O_01560.flac,open_set_eval-00000-of-00003.parquet,107657,fma:107657,FMA,panns_demucs_semantic_screen_pending_v7,RM_107_107657,unmixed_dataset/eval/RM_107_107657.wav,0,0.25,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0027,0,0,0,1,1,mixed,partial_overlap,RR,partial_overlap__RR,echofake:EF_O_05350,abdc1a6093246f75ed6a5da13a20d8f3b582a23e8a8159e8ebe00429282014a684c2c888400bb900f447b789f75ecb2c6242d7b5fcd261865d650db2b083df59,common_voice_en_22189864.mp3,,,bonafide,EF_O_05350,echofake_voice/EF_O_05350.flac,open_set_eval-00000-of-00003.parquet,036141,fma:36141,FMA,panns_demucs_semantic_screen_pending_v7,RM_036_036141,unmixed_dataset/eval/RM_036_036141.wav,5,0.5,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0028,0,0,0,1,1,mixed,partial_overlap,RR,partial_overlap__RR,echofake:EF_O_03982,ad736a5dc9a6197fad26b98be99bd7a287acafdc16e657c8073ba27e318d14b0fdb77d6b1548998130938cc2bdf4bb0d1378fb28b2aaa12b88844253affb9318,common_voice_en_20676715.mp3,,,bonafide,EF_O_03982,echofake_voice/EF_O_03982.flac,open_set_eval-00000-of-00003.parquet,040646,fma:40646,FMA,panns_demucs_semantic_screen_pending_v7,RM_040_040646,unmixed_dataset/eval/RM_040_040646.wav,-5,0.5,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0029,0,0,0,1,1,mixed,partial_overlap,RR,partial_overlap__RR,echofake:EF_O_00509,34147195b6524fa320689ee0cb47c15abc9448129b2768c7dd02f119716d14ffbb0d4603396f9fe09cfd064b894e25132e04cdc2e8b80f39f82d7337a3f721e9,common_voice_en_32639914.mp3,,,bonafide,EF_O_00509,echofake_voice/EF_O_00509.flac,open_set_eval-00000-of-00003.parquet,116733,fma:116733,FMA,panns_demucs_semantic_screen_pending_v7,RM_116_116733,unmixed_dataset/eval/RM_116_116733.wav,-5,0.75,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0030,1,0,1,1,1,mixed,partial_overlap,RF,partial_overlap__RF,echofake:EF_O_03302,faa00ac4fc9d5b91f82c288e097fccec54c3ffe517a1e914d44b61e84a98fca7778f13a6f570422b79135fd52d4708807910af377fe1bfcafa1539a92f8ee5c1,common_voice_en_23749720.mp3,,,bonafide,EF_O_03302,echofake_voice/EF_O_03302.flac,open_set_eval-00000-of-00003.parquet,FM_audioldm2_XvN-qr-WYmw,fmc:XvN-qr-WYmw,audioldm2,panns_demucs_semantic_screen_pending_v7,FM_audioldm2_XvN-qr-WYmw,unmixed_dataset/eval/FM_audioldm2_XvN-qr-WYmw.wav,-5,0.75,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0031,1,0,1,1,1,mixed,partial_overlap,RF,partial_overlap__RF,echofake:EF_O_02049,79d7c5e97cc7eabc116aa40af2662d1e3876e2b1061c33699bbbfddfda36f6c4beb784bfe7dc82d1690f24eefae344345df3551cba7393e45d8089f259e5dd4b,common_voice_en_22918685.mp3,,,bonafide,EF_O_02049,echofake_voice/EF_O_02049.flac,open_set_eval-00000-of-00003.parquet,FM_MusicGen_medium_PKJMsnUJ994,fmc:PKJMsnUJ994,MusicGen_medium,panns_demucs_semantic_screen_pending_v7,FM_MusicGen_medium_PKJMsnUJ994,unmixed_dataset/eval/FM_MusicGen_medium_PKJMsnUJ994.wav,0,0.75,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0032,1,0,1,1,1,mixed,partial_overlap,RF,partial_overlap__RF,echofake:EF_O_03734,8957fee35759336343d9d3f448f3740e8d9d29032e6760a9d1956029d9212d611c2d3f4ced73f707c58eb4239a115c54c4b342618b4626da84c12e21d1352613,common_voice_en_23720529.mp3,,,bonafide,EF_O_03734,echofake_voice/EF_O_03734.flac,open_set_eval-00000-of-00003.parquet,FM_musicldm_KnZeEWVHaLc,fmc:KnZeEWVHaLc,musicldm,panns_demucs_semantic_screen_pending_v7,FM_musicldm_KnZeEWVHaLc,unmixed_dataset/eval/FM_musicldm_KnZeEWVHaLc.wav,5,0.5,music_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
cmbv7_0033,1,0,1,1,1,mixed,partial_overlap,RF,partial_overlap__RF,echofake:EF_O_00449,b163c003a73feec6c896ec0b224524b0733bad3d7a9384b671a05f3a1a6e342061c6f058c4e40f167732a13ebd04800ef67639b299889f8d7de3ceac6d269b4d,common_voice_en_28878286.mp3,,,bonafide,EF_O_00449,echofake_voice/EF_O_00449.flac,open_set_eval-00000-of-00003.parquet,FM_mustango_QNQ3sAMxZPY,fmc:QNQ3sAMxZPY,mustango,musiccaps_explicit_instrumental_or_no_vocal_no_positive_voice_v1,FM_mustango_QNQ3sAMxZPY,unmixed_dataset/eval/FM_mustango_QNQ3sAMxZPY.wav,10,0.5,voice_first,0.0,EchoFake+MixFake_official_eval,all_existing_truth_source_speaker_song_disjoint
