DATASET,WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,DELTA
factorial,0.025,400,400,350,350,0.25527272727272726,0.22285714285714286,0.26857142857142857,0.9928,0.9989142857142856,0.7472207792207792,0.9958571428571428,0.7720844155844157,0.0017142857142856682
factorial,0.05,400,400,350,350,0.25527272727272726,0.22285714285714286,0.26857142857142857,0.9928,0.9989142857142856,0.7472207792207792,0.9958571428571428,0.7720844155844157,0.0017142857142856682
factorial,0.075,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,0.9928,0.9989142857142856,0.7455064935064936,0.9958571428571428,0.7705415584415585,0.0
factorial,0.1,400,400,350,350,0.25527272727272726,0.22285714285714286,0.2628571428571429,0.9928,0.9989142857142856,0.7489350649350649,0.9958571428571428,0.7736272727272727,0.0034285714285713365
factorial,0.125,400,400,350,350,0.25527272727272726,0.22285714285714286,0.26857142857142857,0.9928,0.9989142857142856,0.7472207792207792,0.9958571428571428,0.7720844155844157,0.0017142857142856682
factorial,0.15,400,400,350,350,0.25527272727272726,0.22285714285714286,0.26857142857142857,0.9928,0.9989142857142856,0.7472207792207792,0.9958571428571428,0.7720844155844157,0.0017142857142856682
factorial,0.2,400,400,350,350,0.25527272727272726,0.22285714285714286,0.27428571428571424,0.9928,0.9989142857142856,0.7455064935064936,0.9958571428571428,0.7705415584415585,0.0
factorial,0.25,400,400,350,350,0.25527272727272726,0.22285714285714286,0.2571428571428571,0.9928,0.9989142857142856,0.7506493506493507,0.9958571428571428,0.7751701298701299,0.005142857142857116
factorial,0.3,400,400,350,350,0.25527272727272726,0.22285714285714286,0.25142857142857145,0.9928,0.9989142857142856,0.7523636363636363,0.9958571428571428,0.776712987012987,0.006857142857142784
factorial,0.35,400,400,350,350,0.25527272727272726,0.22285714285714286,0.24,0.9928,0.9989142857142856,0.7557922077922078,0.9958571428571428,0.7797987012987013,0.010285714285714231
factorial,0.4,400,400,350,350,0.25527272727272726,0.22285714285714286,0.24,0.9928,0.9989142857142856,0.7557922077922078,0.9958571428571428,0.7797987012987013,0.010285714285714231
factorial,0.5,400,400,350,350,0.25527272727272726,0.22285714285714286,0.23428571428571432,0.9928,0.9989142857142856,0.7575064935064935,0.9958571428571428,0.7813415584415584,0.0119999999999999
phone,0.0,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.345,0.956603125,0.9840593750000001,0.7338571428571429,0.9703312500000001,0.7575045535714287,0.0
phone,0.025,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.33499999999999996,0.956603125,0.9840593750000001,0.7368571428571429,0.9703312500000001,0.7602045535714287,0.0030000000000000027
phone,0.05,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.31499999999999995,0.956603125,0.9840593750000001,0.7428571428571429,0.9703312500000001,0.7656045535714286,0.009000000000000008
phone,0.075,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.3025,0.956603125,0.9840593750000001,0.7466071428571428,0.9703312500000001,0.7689795535714286,0.012749999999999928
phone,0.1,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.29500000000000004,0.956603125,0.9840593750000001,0.7488571428571429,0.9703312500000001,0.7710045535714287,0.015000000000000013
phone,0.125,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.2875,0.956603125,0.9840593750000001,0.7511071428571429,0.9703312500000001,0.7730295535714287,0.017249999999999988
phone,0.15,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.2825,0.956603125,0.9840593750000001,0.7526071428571428,0.9703312500000001,0.7743795535714286,0.018749999999999933
phone,0.2,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.255,0.956603125,0.9840593750000001,0.7608571428571429,0.9703312500000001,0.7818045535714286,0.027000000000000024
phone,0.25,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.235,0.956603125,0.9840593750000001,0.7668571428571429,0.9703312500000001,0.7872045535714287,0.03300000000000003
phone,0.3,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.22250000000000003,0.956603125,0.9840593750000001,0.7706071428571428,0.9703312500000001,0.7905795535714286,0.03674999999999995
phone,0.35,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.20750000000000002,0.956603125,0.9840593750000001,0.7751071428571429,0.9703312500000001,0.7946295535714286,0.04125000000000001
phone,0.4,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.2025,0.956603125,0.9840593750000001,0.7766071428571428,0.9703312500000001,0.7959795535714286,0.042749999999999955
phone,0.5,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.1775,0.956603125,0.9840593750000001,0.7841071428571429,0.9703312500000001,0.8027295535714287,0.05025000000000002
yue,0.0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,0.9837962962962963,,0.828448165030388,,,0.0
yue,0.025,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,0.9837962962962963,,0.828448165030388,,,0.0
yue,0.05,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,0.9837962962962963,,0.828448165030388,,,0.0
yue,0.075,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,0.9837962962962963,,0.828448165030388,,,0.0
yue,0.1,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,0.9837962962962963,,0.828448165030388,,,0.0
yue,0.125,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,0.9837962962962963,,0.828448165030388,,,0.0
yue,0.15,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,0.9837962962962963,,0.828448165030388,,,0.0
yue,0.2,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,0.9837962962962963,,0.828448165030388,,,0.0
yue,0.25,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,0.9837962962962963,,0.828448165030388,,,0.0
yue,0.3,124,124,108,124,0.1861413043478261,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8332868747078073,,,0.004838709677419284
yue,0.35,124,124,108,124,0.1861413043478261,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8381255843852267,,,0.009677419354838679
yue,0.4,124,124,108,124,0.1861413043478261,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8381255843852267,,,0.009677419354838679
yue,0.5,124,124,108,124,0.1861413043478261,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8381255843852267,,,0.009677419354838679
