MIX,FILE_W,VOICE_W,DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
s09,0.0,0.075,phone,1200,1200,800,800,0.16828571428571432,0.16000000000000003,0.13749999999999998,0.956603125,0.9840593750000001,0.8426071428571429,0.9703312500000001,0.8553795535714287
s09,0.0,0.075,yue,124,124,108,124,0.10122282608695654,0.12083333333333335,0.14516129032258063,0.9837962962962963,,0.8816735331930808,,
s09,0.0,0.075,combined,1600,1600,1150,1150,0.18065641025641022,0.18608695652173912,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.824454403567447,0.9742396135265701,0.8394329245633594
s09,0.0,0.1,dev,400,400,350,350,0.21709090909090906,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7794545454545455,0.9947428571428572,0.8009833766233767
s09,0.0,0.1,factorial,400,400,350,350,0.21709090909090906,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7851688311688312,0.9958571428571428,0.8062376623376624
s09,0.0,0.1,phone,1200,1200,800,800,0.16828571428571432,0.16000000000000003,0.13749999999999998,0.956603125,0.9840593750000001,0.8426071428571429,0.9703312500000001,0.8553795535714287
s09,0.0,0.1,yue,124,124,108,124,0.10122282608695654,0.12083333333333335,0.14516129032258063,0.9837962962962963,,0.8816735331930808,,
s09,0.0,0.1,combined,1600,1600,1150,1150,0.18065641025641022,0.18608695652173912,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.824454403567447,0.9742396135265701,0.8394329245633594
s09,0.0,0.15,dev,400,400,350,350,0.21709090909090906,0.28,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7805974025974026,0.9947428571428572,0.8020119480519481
s09,0.0,0.15,factorial,400,400,350,350,0.21709090909090906,0.2114285714285714,0.20571428571428574,0.9928,0.9989142857142856,0.7874545454545454,0.9958571428571428,0.8082948051948051
s09,0.0,0.15,phone,1200,1200,800,800,0.16828571428571432,0.15500000000000003,0.13749999999999998,0.956603125,0.9840593750000001,0.8436071428571428,0.9703312500000001,0.8562795535714286
s09,0.0,0.15,yue,124,124,108,124,0.10122282608695654,0.12083333333333335,0.14516129032258063,0.9837962962962963,,0.8816735331930808,,
s09,0.0,0.15,combined,1600,1600,1150,1150,0.18065641025641022,0.1878260869565217,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8241065774804905,0.9742396135265701,0.8391198810850986
s09,0.0,0.2,dev,400,400,350,350,0.21709090909090906,0.27428571428571424,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7817402597402597,0.9947428571428572,0.8030405194805195
s09,0.0,0.2,factorial,400,400,350,350,0.21709090909090906,0.20571428571428574,0.20571428571428574,0.9928,0.9989142857142856,0.7885974025974025,0.9958571428571428,0.8093233766233766
s09,0.0,0.2,phone,1200,1200,800,800,0.16828571428571432,0.15249999999999997,0.13749999999999998,0.956603125,0.9840593750000001,0.8441071428571427,0.9703312500000001,0.8567295535714285
s09,0.0,0.2,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.0,0.2,combined,1600,1600,1150,1150,0.18065641025641022,0.18434782608695655,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8248022296544035,0.9742396135265701,0.8397459680416202
s09,0.0,0.25,dev,400,400,350,350,0.21709090909090906,0.2628571428571429,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7840259740259741,0.9947428571428572,0.8050976623376624
s09,0.0,0.25,factorial,400,400,350,350,0.21709090909090906,0.20571428571428574,0.20571428571428574,0.9928,0.9989142857142856,0.7885974025974025,0.9958571428571428,0.8093233766233766
s09,0.0,0.25,phone,1200,1200,800,800,0.16828571428571432,0.15249999999999997,0.13749999999999998,0.956603125,0.9840593750000001,0.8441071428571427,0.9703312500000001,0.8567295535714285
s09,0.0,0.25,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.0,0.25,combined,1600,1600,1150,1150,0.18065641025641022,0.18260869565217389,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8251500557413601,0.9742396135265701,0.8400590115198812
s09,0.0,0.3,dev,400,400,350,350,0.21709090909090906,0.26857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.782883116883117,0.9947428571428572,0.8040690909090911
s09,0.0,0.3,factorial,400,400,350,350,0.21709090909090906,0.19999999999999998,0.20571428571428574,0.9928,0.9989142857142856,0.7897402597402599,0.9958571428571428,0.8103519480519482
s09,0.0,0.3,phone,1200,1200,800,800,0.16828571428571432,0.14749999999999996,0.13749999999999998,0.956603125,0.9840593750000001,0.8451071428571428,0.9703312500000001,0.8576295535714287
s09,0.0,0.3,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.0,0.3,combined,1600,1600,1150,1150,0.18065641025641022,0.18086956521739128,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8254978818283166,0.9742396135265701,0.8403720549981419
s09,0.0,0.35,dev,400,400,350,350,0.21709090909090906,0.2628571428571429,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7840259740259741,0.9947428571428572,0.8050976623376624
s09,0.0,0.35,factorial,400,400,350,350,0.21709090909090906,0.2114285714285714,0.20571428571428574,0.9928,0.9989142857142856,0.7874545454545454,0.9958571428571428,0.8082948051948051
s09,0.0,0.35,phone,1200,1200,800,800,0.16828571428571432,0.14749999999999996,0.13749999999999998,0.956603125,0.9840593750000001,0.8451071428571428,0.9703312500000001,0.8576295535714287
s09,0.0,0.35,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.0,0.35,combined,1600,1600,1150,1150,0.18065641025641022,0.1791304347826087,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8258457079152732,0.9742396135265701,0.8406850984764029
s09,0.0,0.4,dev,400,400,350,350,0.21709090909090906,0.26857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.782883116883117,0.9947428571428572,0.8040690909090911
s09,0.0,0.4,factorial,400,400,350,350,0.21709090909090906,0.2114285714285714,0.20571428571428574,0.9928,0.9989142857142856,0.7874545454545454,0.9958571428571428,0.8082948051948051
s09,0.0,0.4,phone,1200,1200,800,800,0.16828571428571432,0.14500000000000002,0.13749999999999998,0.956603125,0.9840593750000001,0.8456071428571428,0.9703312500000001,0.8580795535714286
s09,0.0,0.4,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.0,0.4,combined,1600,1600,1150,1150,0.18065641025641022,0.17391304347826086,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8268891861761427,0.9742396135265701,0.8416242289111855
s09,0.025,0.0,dev,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,0.025,0.0,factorial,400,400,350,350,0.22472727272727272,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7813506493506495,0.9958571428571428,0.8028012987012988
s09,0.025,0.0,phone,1200,1200,800,800,0.16585714285714287,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8423214285714284,0.9703312500000001,0.8551224107142856
s09,0.025,0.0,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.025,0.0,combined,1600,1600,1150,1150,0.17934358974358977,0.18956521739130439,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8244151616499442,0.9742396135265701,0.8393976068376068
s09,0.025,0.025,dev,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,0.025,0.025,factorial,400,400,350,350,0.22472727272727272,0.22857142857142854,0.20571428571428574,0.9928,0.9989142857142856,0.7802077922077921,0.9958571428571428,0.8017727272727272
s09,0.025,0.025,phone,1200,1200,800,800,0.16585714285714287,0.16500000000000004,0.13749999999999998,0.956603125,0.9840593750000001,0.8428214285714286,0.9703312500000001,0.8555724107142858
s09,0.025,0.025,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.025,0.025,combined,1600,1600,1150,1150,0.17934358974358977,0.18956521739130439,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8244151616499442,0.9742396135265701,0.8393976068376068
s09,0.025,0.05,dev,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,0.025,0.05,factorial,400,400,350,350,0.22472727272727272,0.21714285714285717,0.20571428571428574,0.9928,0.9989142857142856,0.7824935064935066,0.9958571428571428,0.8038298701298702
s09,0.025,0.05,phone,1200,1200,800,800,0.16585714285714287,0.16500000000000004,0.13749999999999998,0.956603125,0.9840593750000001,0.8428214285714286,0.9703312500000001,0.8555724107142858
s09,0.025,0.05,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.025,0.05,combined,1600,1600,1150,1150,0.17934358974358977,0.1878260869565217,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8247629877369008,0.9742396135265701,0.8397106503158678
s09,0.025,0.075,dev,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,0.025,0.075,factorial,400,400,350,350,0.22472727272727272,0.21714285714285717,0.20571428571428574,0.9928,0.9989142857142856,0.7824935064935066,0.9958571428571428,0.8038298701298702
s09,0.025,0.075,phone,1200,1200,800,800,0.16585714285714287,0.16000000000000003,0.13749999999999998,0.956603125,0.9840593750000001,0.8438214285714285,0.9703312500000001,0.8564724107142857
s09,0.025,0.075,yue,124,124,108,124,0.10122282608695654,0.12083333333333335,0.14516129032258063,0.9837962962962963,,0.8816735331930808,,
s09,0.025,0.075,combined,1600,1600,1150,1150,0.17934358974358977,0.18608695652173912,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8251108138238573,0.9742396135265701,0.8400236937941286
s09,0.025,0.1,dev,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,0.025,0.1,factorial,400,400,350,350,0.22472727272727272,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7813506493506495,0.9958571428571428,0.8028012987012988
s09,0.025,0.1,phone,1200,1200,800,800,0.16585714285714287,0.16000000000000003,0.13749999999999998,0.956603125,0.9840593750000001,0.8438214285714285,0.9703312500000001,0.8564724107142857
s09,0.025,0.1,yue,124,124,108,124,0.10122282608695654,0.12083333333333335,0.14516129032258063,0.9837962962962963,,0.8816735331930808,,
s09,0.025,0.1,combined,1600,1600,1150,1150,0.17934358974358977,0.18608695652173912,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8251108138238573,0.9742396135265701,0.8400236937941286
s09,0.025,0.15,dev,400,400,350,350,0.21527272727272728,0.28,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7815064935064935,0.9947428571428572,0.8028301298701299
s09,0.025,0.15,factorial,400,400,350,350,0.22472727272727272,0.2114285714285714,0.20571428571428574,0.9928,0.9989142857142856,0.7836363636363637,0.9958571428571428,0.8048584415584417
s09,0.025,0.15,phone,1200,1200,800,800,0.16585714285714287,0.15500000000000003,0.13749999999999998,0.956603125,0.9840593750000001,0.8448214285714286,0.9703312500000001,0.8573724107142858
s09,0.025,0.15,yue,124,124,108,124,0.10122282608695654,0.12083333333333335,0.14516129032258063,0.9837962962962963,,0.8816735331930808,,
s09,0.025,0.15,combined,1600,1600,1150,1150,0.17934358974358977,0.1878260869565217,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8247629877369008,0.9742396135265701,0.8397106503158678
s09,0.025,0.2,dev,400,400,350,350,0.21527272727272728,0.27428571428571424,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7826493506493506,0.9947428571428572,0.8038587012987013
s09,0.025,0.2,factorial,400,400,350,350,0.22472727272727272,0.20571428571428574,0.20571428571428574,0.9928,0.9989142857142856,0.7847792207792208,0.9958571428571428,0.805887012987013
s09,0.025,0.2,phone,1200,1200,800,800,0.16585714285714287,0.15249999999999997,0.13749999999999998,0.956603125,0.9840593750000001,0.8453214285714286,0.9703312500000001,0.8578224107142858
s09,0.025,0.2,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.025,0.2,combined,1600,1600,1150,1150,0.17934358974358977,0.18434782608695655,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8254586399108138,0.9742396135265701,0.8403367372723896
s09,0.025,0.25,dev,400,400,350,350,0.21527272727272728,0.2628571428571429,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7849350649350649,0.9947428571428572,0.8059158441558442
s09,0.025,0.25,factorial,400,400,350,350,0.22472727272727272,0.20571428571428574,0.20571428571428574,0.9928,0.9989142857142856,0.7847792207792208,0.9958571428571428,0.805887012987013
s09,0.025,0.25,phone,1200,1200,800,800,0.16585714285714287,0.15249999999999997,0.13749999999999998,0.956603125,0.9840593750000001,0.8453214285714286,0.9703312500000001,0.8578224107142858
s09,0.025,0.25,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.025,0.25,combined,1600,1600,1150,1150,0.17934358974358977,0.18260869565217389,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8258064659977704,0.9742396135265701,0.8406497807506503
s09,0.025,0.3,dev,400,400,350,350,0.21527272727272728,0.26857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7837922077922077,0.9947428571428572,0.8048872727272727
s09,0.025,0.3,factorial,400,400,350,350,0.22472727272727272,0.19999999999999998,0.20571428571428574,0.9928,0.9989142857142856,0.7859220779220779,0.9958571428571428,0.8069155844155844
s09,0.025,0.3,phone,1200,1200,800,800,0.16585714285714287,0.14749999999999996,0.13749999999999998,0.956603125,0.9840593750000001,0.8463214285714284,0.9703312500000001,0.8587224107142857
s09,0.025,0.3,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.025,0.3,combined,1600,1600,1150,1150,0.17934358974358977,0.18086956521739128,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8261542920847269,0.9742396135265701,0.8409628242289113
s09,0.025,0.35,dev,400,400,350,350,0.21527272727272728,0.2628571428571429,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7849350649350649,0.9947428571428572,0.8059158441558442
s09,0.025,0.35,factorial,400,400,350,350,0.22472727272727272,0.2114285714285714,0.20571428571428574,0.9928,0.9989142857142856,0.7836363636363637,0.9958571428571428,0.8048584415584417
s09,0.025,0.35,phone,1200,1200,800,800,0.16585714285714287,0.14749999999999996,0.13749999999999998,0.956603125,0.9840593750000001,0.8463214285714284,0.9703312500000001,0.8587224107142857
s09,0.025,0.35,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.025,0.35,combined,1600,1600,1150,1150,0.17934358974358977,0.1791304347826087,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8265021181716834,0.9742396135265701,0.8412758677071721
s09,0.025,0.4,dev,400,400,350,350,0.21527272727272728,0.26857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7837922077922077,0.9947428571428572,0.8048872727272727
s09,0.025,0.4,factorial,400,400,350,350,0.22472727272727272,0.2114285714285714,0.20571428571428574,0.9928,0.9989142857142856,0.7836363636363637,0.9958571428571428,0.8048584415584417
s09,0.025,0.4,phone,1200,1200,800,800,0.16585714285714287,0.14500000000000002,0.13749999999999998,0.956603125,0.9840593750000001,0.8468214285714286,0.9703312500000001,0.8591724107142859
s09,0.025,0.4,yue,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
s09,0.025,0.4,combined,1600,1600,1150,1150,0.17934358974358977,0.17391304347826086,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.827545596432553,0.9742396135265701,0.8422149981419547
s09,0.05,0.0,dev,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,0.05,0.0,factorial,400,400,350,350,0.21527272727272728,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7860779220779222,0.9958571428571428,0.8070558441558442
s09,0.05,0.0,phone,1200,1200,800,800,0.16414285714285715,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8431785714285713,0.9703312500000001,0.8558938392857143
s09,0.05,0.0,yue,124,124,108,124,0.09578804347826086,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8881409244974288,,
s09,0.05,0.0,combined,1600,1600,1150,1150,0.17751794871794868,0.18956521739130439,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8253279821627648,0.9742396135265701,0.8402191452991454
s09,0.05,0.025,dev,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,0.05,0.025,factorial,400,400,350,350,0.21527272727272728,0.22857142857142854,0.20571428571428574,0.9928,0.9989142857142856,0.7849350649350648,0.9958571428571428,0.8060272727272726
s09,0.05,0.025,phone,1200,1200,800,800,0.16414285714285715,0.16500000000000004,0.13749999999999998,0.956603125,0.9840593750000001,0.8436785714285715,0.9703312500000001,0.8563438392857144
s09,0.05,0.025,yue,124,124,108,124,0.09578804347826086,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8881409244974288,,
s09,0.05,0.025,combined,1600,1600,1150,1150,0.17751794871794868,0.18956521739130439,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8253279821627648,0.9742396135265701,0.8402191452991454
s09,0.05,0.05,dev,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,0.05,0.05,factorial,400,400,350,350,0.21527272727272728,0.21714285714285717,0.20571428571428574,0.9928,0.9989142857142856,0.7872207792207793,0.9958571428571428,0.8080844155844157
s09,0.05,0.05,phone,1200,1200,800,800,0.16414285714285715,0.16500000000000004,0.13749999999999998,0.956603125,0.9840593750000001,0.8436785714285715,0.9703312500000001,0.8563438392857144
s09,0.05,0.05,yue,124,124,108,124,0.09578804347826086,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8881409244974288,,
s09,0.05,0.05,combined,1600,1600,1150,1150,0.17751794871794868,0.1878260869565217,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8256758082497213,0.9742396135265701,0.8405321887774062
s09,0.05,0.075,dev,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,0.05,0.075,factorial,400,400,350,350,0.21527272727272728,0.21714285714285717,0.20571428571428574,0.9928,0.9989142857142856,0.7872207792207793,0.9958571428571428,0.8080844155844157
s09,0.05,0.075,phone,1200,1200,800,800,0.16414285714285715,0.16000000000000003,0.13749999999999998,0.956603125,0.9840593750000001,0.8446785714285714,0.9703312500000001,0.8572438392857143
s09,0.05,0.075,yue,124,124,108,124,0.09578804347826086,0.12083333333333335,0.14516129032258063,0.9837962962962963,,0.8843909244974287,,
s09,0.05,0.075,combined,1600,1600,1150,1150,0.17751794871794868,0.18608695652173912,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8260236343366778,0.9742396135265701,0.840845232255667
s09,0.05,0.1,dev,400,400,350,350,0.21527272727272728,0.2857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7803636363636364,0.9947428571428572,0.8018015584415585
s09,0.05,0.1,factorial,400,400,350,350,0.21527272727272728,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7860779220779222,0.9958571428571428,0.8070558441558442
s09,0.05,0.1,phone,1200,1200,800,800,0.16414285714285715,0.16000000000000003,0.13749999999999998,0.956603125,0.9840593750000001,0.8446785714285714,0.9703312500000001,0.8572438392857143
s09,0.05,0.1,yue,124,124,108,124,0.09578804347826086,0.12083333333333335,0.14516129032258063,0.9837962962962963,,0.8843909244974287,,
s09,0.05,0.1,combined,1600,1600,1150,1150,0.17751794871794868,0.18608695652173912,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8260236343366778,0.9742396135265701,0.840845232255667
s09,0.05,0.15,dev,400,400,350,350,0.21527272727272728,0.28,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7815064935064935,0.9947428571428572,0.8028301298701299
s09,0.05,0.15,factorial,400,400,350,350,0.21527272727272728,0.2114285714285714,0.20571428571428574,0.9928,0.9989142857142856,0.7883636363636364,0.9958571428571428,0.8091129870129871
s09,0.05,0.15,phone,1200,1200,800,800,0.16414285714285715,0.15500000000000003,0.13749999999999998,0.956603125,0.9840593750000001,0.8456785714285715,0.9703312500000001,0.8581438392857145
s09,0.05,0.15,yue,124,124,108,124,0.09578804347826086,0.12083333333333335,0.14516129032258063,0.9837962962962963,,0.8843909244974287,,
s09,0.05,0.15,combined,1600,1600,1150,1150,0.17751794871794868,0.1878260869565217,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8256758082497213,0.9742396135265701,0.8405321887774062
s09,0.05,0.2,dev,400,400,350,350,0.21527272727272728,0.27428571428571424,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7826493506493506,0.9947428571428572,0.8038587012987013
s09,0.05,0.2,factorial,400,400,350,350,0.21527272727272728,0.20571428571428574,0.20571428571428574,0.9928,0.9989142857142856,0.7895064935064935,0.9958571428571428,0.8101415584415584
s09,0.05,0.2,phone,1200,1200,800,800,0.16414285714285715,0.15249999999999997,0.13749999999999998,0.956603125,0.9840593750000001,0.8461785714285714,0.9703312500000001,0.8585938392857144
s09,0.05,0.2,yue,124,124,108,124,0.09578804347826086,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8881409244974288,,
s09,0.05,0.2,combined,1600,1600,1150,1150,0.17751794871794868,0.18434782608695655,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8263714604236343,0.9742396135265701,0.841158275733928
s09,0.05,0.25,dev,400,400,350,350,0.21527272727272728,0.2628571428571429,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7849350649350649,0.9947428571428572,0.8059158441558442
s09,0.05,0.25,factorial,400,400,350,350,0.21527272727272728,0.20571428571428574,0.20571428571428574,0.9928,0.9989142857142856,0.7895064935064935,0.9958571428571428,0.8101415584415584
s09,0.05,0.25,phone,1200,1200,800,800,0.16414285714285715,0.15249999999999997,0.13749999999999998,0.956603125,0.9840593750000001,0.8461785714285714,0.9703312500000001,0.8585938392857144
s09,0.05,0.25,yue,124,124,108,124,0.09578804347826086,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8881409244974288,,
s09,0.05,0.25,combined,1600,1600,1150,1150,0.17751794871794868,0.18260869565217389,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8267192865105909,0.9742396135265701,0.8414713192121888
s09,0.05,0.3,dev,400,400,350,350,0.21527272727272728,0.26857142857142857,0.18285714285714283,0.9962285714285715,0.993257142857143,0.7837922077922077,0.9947428571428572,0.8048872727272727
s09,0.05,0.3,factorial,400,400,350,350,0.21527272727272728,0.19999999999999998,0.20571428571428574,0.9928,0.9989142857142856,0.7906493506493506,0.9958571428571428,0.8111701298701298
s09,0.05,0.3,phone,1200,1200,800,800,0.16414285714285715,0.14749999999999996,0.13749999999999998,0.956603125,0.9840593750000001,0.8471785714285713,0.9703312500000001,0.8594938392857143
s09,0.05,0.3,yue,124,124,108,124,0.09578804347826086,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8881409244974288,,
s09,0.05,0.3,combined,1600,1600,1150,1150,0.17751794871794868,0.18086956521739128,0.16000000000000003,0.9602415458937198,0.9882376811594205,0.8270671125975474,0.9742396135265701,0.8417843626904498
