DATASET,MUSIC_WEIGHT,FILE_RATIO,FILE_UPDATE_WEIGHT,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,0.8,0.0,0.75,400,400,350,350,0.23054545454545455,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7767272727272727,0.9958571428571428,0.7986402597402598
factorial,0.9,0.0,0.75,400,400,350,350,0.23054545454545455,0.22285714285714286,0.20571428571428574,0.9928,0.9989142857142856,0.7784415584415585,0.9958571428571428,0.8001831168831169
factorial,1.0,0.0,0.75,400,400,350,350,0.23236363636363638,0.22285714285714286,0.2114285714285714,0.9928,0.9989142857142856,0.7758181818181819,0.9958571428571428,0.7978220779220779
phone,0.0,0.0,0.75,1200,1200,800,800,0.17585714285714285,0.16749999999999998,0.17500000000000002,0.956603125,0.9840593750000001,0.8260714285714286,0.9703312500000001,0.8404974107142857
phone,0.1,0.0,0.75,1200,1200,800,800,0.17171428571428568,0.16749999999999998,0.16500000000000004,0.956603125,0.9840593750000001,0.8311428571428572,0.9703312500000001,0.8450616964285715
phone,0.2,0.0,0.75,1200,1200,800,800,0.17171428571428568,0.16749999999999998,0.15500000000000003,0.956603125,0.9840593750000001,0.8341428571428571,0.9703312500000001,0.8477616964285715
phone,0.3,0.0,0.75,1200,1200,800,800,0.17171428571428568,0.16749999999999998,0.15000000000000002,0.956603125,0.9840593750000001,0.8356428571428571,0.9703312500000001,0.8491116964285715
phone,0.4,0.0,0.75,1200,1200,800,800,0.16828571428571432,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8411071428571428,0.9703312500000001,0.8540295535714286
phone,0.5,0.0,0.75,1200,1200,800,800,0.16585714285714287,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8423214285714284,0.9703312500000001,0.8551224107142856
phone,0.6,0.0,0.75,1200,1200,800,800,0.16414285714285715,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8431785714285713,0.9703312500000001,0.8558938392857143
phone,0.7,0.0,0.75,1200,1200,800,800,0.16171428571428575,0.16749999999999998,0.13749999999999998,0.956603125,0.9840593750000001,0.8443928571428572,0.9703312500000001,0.8569866964285715
phone,0.8,0.0,0.75,1200,1200,800,800,0.16171428571428575,0.16749999999999998,0.14249999999999996,0.956603125,0.9840593750000001,0.8428928571428571,0.9703312500000001,0.8556366964285714
phone,0.9,0.0,0.75,1200,1200,800,800,0.16171428571428575,0.16749999999999998,0.14749999999999996,0.956603125,0.9840593750000001,0.841392857142857,0.9703312500000001,0.8542866964285715
phone,1.0,0.0,0.75,1200,1200,800,800,0.16000000000000003,0.16749999999999998,0.15500000000000003,0.956603125,0.9840593750000001,0.8400000000000001,0.9703312500000001,0.8530331250000002
yue,0.0,0.0,0.75,124,124,108,124,0.10122282608695654,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8805848235156615,,
yue,0.1,0.0,0.75,124,124,108,124,0.10122282608695654,0.10208333333333333,0.17741935483870966,0.9837962962962963,,0.8757461138382421,,
yue,0.2,0.0,0.75,124,124,108,124,0.10122282608695654,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8805848235156615,,
yue,0.3,0.0,0.75,124,124,108,124,0.10122282608695654,0.10208333333333333,0.16129032258064513,0.9837962962962963,,0.8805848235156615,,
yue,0.4,0.0,0.75,124,124,108,124,0.10122282608695654,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8854235331930809,,
yue,0.5,0.0,0.75,124,124,108,124,0.12228260869565216,0.10208333333333333,0.14516129032258063,0.9837962962962963,,0.8748936418887331,,
yue,0.6,0.0,0.75,124,124,108,124,0.12228260869565216,0.10208333333333333,0.12903225806451613,0.9837962962962963,,0.8797323515661524,,
yue,0.7,0.0,0.75,124,124,108,124,0.12228260869565216,0.10208333333333333,0.12903225806451613,0.9837962962962963,,0.8797323515661524,,
yue,0.8,0.0,0.75,124,124,108,124,0.12228260869565216,0.10208333333333333,0.11290322580645162,0.9837962962962963,,0.8845710612435718,,
yue,0.9,0.0,0.75,124,124,108,124,0.12228260869565216,0.10208333333333333,0.11290322580645162,0.9837962962962963,,0.8845710612435718,,
yue,1.0,0.0,0.75,124,124,108,124,0.10122282608695654,0.10208333333333333,0.09677419354838711,0.9837962962962963,,0.8999396622253388,,
