KIND,CANONICAL_GROUP,SOURCE_ID,ARCHIVE_ID,ARCHIVE_MEMBER,ARCHIVE_TARGET
music,fmc:KxVbdGPAfjE,FM_stable_audio_open_KxVbdGPAfjE,FM_stable_audio_open_KxVbdGPAfjE,unmixed_dataset/eval/FM_stable_audio_open_KxVbdGPAfjE.wav,MixFake/unmixed_dataset/eval/FM_stable_audio_open_KxVbdGPAfjE.wav
music,fmc:RV05BW-2WIc,FM_stable_audio_open_RV05BW-2WIc,FM_stable_audio_open_RV05BW-2WIc,unmixed_dataset/eval/FM_stable_audio_open_RV05BW-2WIc.wav,MixFake/unmixed_dataset/eval/FM_stable_audio_open_RV05BW-2WIc.wav
music,fmc:UcS5U1mpbAE,FM_stable_audio_open_UcS5U1mpbAE,FM_stable_audio_open_UcS5U1mpbAE,unmixed_dataset/eval/FM_stable_audio_open_UcS5U1mpbAE.wav,MixFake/unmixed_dataset/eval/FM_stable_audio_open_UcS5U1mpbAE.wav
music,fmc:_miAGxDX5FM,FM_stable_audio_open__miAGxDX5FM,FM_stable_audio_open__miAGxDX5FM,unmixed_dataset/eval/FM_stable_audio_open__miAGxDX5FM.wav,MixFake/unmixed_dataset/eval/FM_stable_audio_open__miAGxDX5FM.wav
music,fmc:xyco-5DC_K8,FM_stable_audio_open_xyco-5DC_K8,FM_stable_audio_open_xyco-5DC_K8,unmixed_dataset/eval/FM_stable_audio_open_xyco-5DC_K8.wav,MixFake/unmixed_dataset/eval/FM_stable_audio_open_xyco-5DC_K8.wav
music,fmc:yrme-KRBvzk,FM_stable_audio_open_yrme-KRBvzk,FM_stable_audio_open_yrme-KRBvzk,unmixed_dataset/eval/FM_stable_audio_open_yrme-KRBvzk.wav,MixFake/unmixed_dataset/eval/FM_stable_audio_open_yrme-KRBvzk.wav
music,fma:1836,001836,RM_001_001836,unmixed_dataset/eval/RM_001_001836.wav,MixFake/unmixed_dataset/eval/RM_001_001836.wav
music,fma:3942,003942,RM_003_003942,unmixed_dataset/eval/RM_003_003942.wav,MixFake/unmixed_dataset/eval/RM_003_003942.wav
music,fma:10883,010883,RM_010_010883,unmixed_dataset/eval/RM_010_010883.wav,MixFake/unmixed_dataset/eval/RM_010_010883.wav
music,fma:19459,019459,RM_019_019459,unmixed_dataset/eval/RM_019_019459.wav,MixFake/unmixed_dataset/eval/RM_019_019459.wav
music,fma:45021,045021,RM_045_045021,unmixed_dataset/eval/RM_045_045021.wav,MixFake/unmixed_dataset/eval/RM_045_045021.wav
music,fma:51689,051689,RM_051_051689,unmixed_dataset/eval/RM_051_051689.wav,MixFake/unmixed_dataset/eval/RM_051_051689.wav
music,fma:54486,054486,RM_054_054486,unmixed_dataset/eval/RM_054_054486.wav,MixFake/unmixed_dataset/eval/RM_054_054486.wav
music,fma:55773,055773,RM_055_055773,unmixed_dataset/eval/RM_055_055773.wav,MixFake/unmixed_dataset/eval/RM_055_055773.wav
music,fma:59905,059905,RM_059_059905,unmixed_dataset/eval/RM_059_059905.wav,MixFake/unmixed_dataset/eval/RM_059_059905.wav
music,fma:66813,066813,RM_066_066813,unmixed_dataset/eval/RM_066_066813.wav,MixFake/unmixed_dataset/eval/RM_066_066813.wav
music,fma:75206,075206,RM_075_075206,unmixed_dataset/eval/RM_075_075206.wav,MixFake/unmixed_dataset/eval/RM_075_075206.wav
music,fma:95548,095548,RM_095_095548,unmixed_dataset/eval/RM_095_095548.wav,MixFake/unmixed_dataset/eval/RM_095_095548.wav
music,fma:98487,098487,RM_098_098487,unmixed_dataset/eval/RM_098_098487.wav,MixFake/unmixed_dataset/eval/RM_098_098487.wav
music,fma:99261,099261,RM_099_099261,unmixed_dataset/eval/RM_099_099261.wav,MixFake/unmixed_dataset/eval/RM_099_099261.wav
music,fma:105890,105890,RM_105_105890,unmixed_dataset/eval/RM_105_105890.wav,MixFake/unmixed_dataset/eval/RM_105_105890.wav
music,fma:107953,107953,RM_107_107953,unmixed_dataset/eval/RM_107_107953.wav,MixFake/unmixed_dataset/eval/RM_107_107953.wav
music,fma:113818,113818,RM_113_113818,unmixed_dataset/eval/RM_113_113818.wav,MixFake/unmixed_dataset/eval/RM_113_113818.wav
music,fma:119564,119564,RM_119_119564,unmixed_dataset/eval/RM_119_119564.wav,MixFake/unmixed_dataset/eval/RM_119_119564.wav
music,fma:122001,122001,RM_122_122001,unmixed_dataset/eval/RM_122_122001.wav,MixFake/unmixed_dataset/eval/RM_122_122001.wav
music,fma:127754,127754,RM_127_127754,unmixed_dataset/eval/RM_127_127754.wav,MixFake/unmixed_dataset/eval/RM_127_127754.wav
music,fma:134064,134064,RM_134_134064,unmixed_dataset/eval/RM_134_134064.wav,MixFake/unmixed_dataset/eval/RM_134_134064.wav
music,fma:141619,141619,RM_141_141619,unmixed_dataset/eval/RM_141_141619.wav,MixFake/unmixed_dataset/eval/RM_141_141619.wav
music,fma:145043,145043,RM_145_145043,unmixed_dataset/eval/RM_145_145043.wav,MixFake/unmixed_dataset/eval/RM_145_145043.wav
music,fma:149717,149717,RM_149_149717,unmixed_dataset/eval/RM_149_149717.wav,MixFake/unmixed_dataset/eval/RM_149_149717.wav
