axis,group,N,FILE_EER_control,VOICE_EER_control,MUSIC_EER_control,ADS_control,FILE_EER_adapted,VOICE_EER_adapted,MUSIC_EER_adapted,ADS_adapted,FILE_EER_delta,VOICE_EER_delta,MUSIC_EER_delta,ADS_delta
DURATION|MIX_MODE|CHANNEL,10|sparse_music|opus_nb_8k,40,0.19999999999999998,0.25,0.4,0.73,0.19999999999999998,0.25,0.4,0.73,0.0,0.0,0.0,0.0
DURATION|MIX_MODE|CHANNEL,10|sparse_voice|clean,40,0.30000000000000004,0.44999999999999996,0.09999999999999999,0.73,0.21666666666666665,0.5,0.09999999999999999,0.7616666666666667,-0.0833333333333334,0.050000000000000044,0.0,0.03166666666666673
DURATION|MIX_MODE|CHANNEL,10|sparse_voice|g711_ulaw,40,0.30000000000000004,0.55,0.19999999999999998,0.6799999999999999,0.31666666666666665,0.5,0.15000000000000002,0.6966666666666667,0.016666666666666607,-0.050000000000000044,-0.04999999999999996,0.01666666666666672
DURATION|MIX_MODE|CHANNEL,10|sparse_voice|opus_nb_8k,40,0.38333333333333336,0.55,0.5,0.5483333333333333,0.4,0.44999999999999996,0.44999999999999996,0.5750000000000001,0.016666666666666663,-0.10000000000000009,-0.050000000000000044,0.026666666666666727
DURATION|MIX_MODE|CHANNEL,30|concurrent|clean,40,0.18333333333333332,0.15000000000000002,0.09999999999999999,0.8483333333333334,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.9,-0.08333333333333333,-0.05000000000000003,0.0,0.05166666666666664
DURATION|MIX_MODE|CHANNEL,30|concurrent|g711_ulaw,40,0.19999999999999998,0.09999999999999999,0.09999999999999999,0.8500000000000001,0.19999999999999998,0.15000000000000002,0.15000000000000002,0.8250000000000001,0.0,0.05000000000000003,0.05000000000000003,-0.025000000000000022
DURATION|MIX_MODE|CHANNEL,30|concurrent|opus_nb_8k,40,0.21666666666666665,0.25,0.4,0.7216666666666667,0.30000000000000004,0.30000000000000004,0.4,0.6699999999999999,0.0833333333333334,0.050000000000000044,0.0,-0.05166666666666675
DURATION|MIX_MODE|CHANNEL,30|fake_music|clean,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|fake_music|g711_ulaw,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|fake_music|opus_nb_8k,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|fake_voice|clean,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|fake_voice|g711_ulaw,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|fake_voice|opus_nb_8k,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|real_music|clean,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|real_music|g711_ulaw,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|real_music|opus_nb_8k,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|real_voice|clean,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|real_voice|g711_ulaw,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|real_voice|opus_nb_8k,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,30|sequential_music_first|clean,40,0.11666666666666665,0.09999999999999999,0.09999999999999999,0.8916666666666667,0.016666666666666663,0.0,0.0,0.9916666666666667,-0.09999999999999999,-0.09999999999999999,-0.09999999999999999,0.09999999999999998
DURATION|MIX_MODE|CHANNEL,30|sequential_music_first|g711_ulaw,40,0.18333333333333332,0.09999999999999999,0.19999999999999998,0.8283333333333334,0.18333333333333332,0.09999999999999999,0.15000000000000002,0.8433333333333334,0.0,0.0,-0.04999999999999996,0.015000000000000013
DURATION|MIX_MODE|CHANNEL,30|sequential_music_first|opus_nb_8k,40,0.09999999999999999,0.050000000000000024,0.35,0.835,0.18333333333333332,0.0,0.44999999999999996,0.7733333333333334,0.08333333333333333,-0.050000000000000024,0.09999999999999998,-0.061666666666666536
DURATION|MIX_MODE|CHANNEL,30|sequential_voice_first|clean,40,0.11666666666666665,0.09999999999999999,0.09999999999999999,0.8916666666666667,0.016666666666666663,0.09999999999999999,0.0,0.9716666666666667,-0.09999999999999999,0.0,-0.09999999999999999,0.07999999999999996
DURATION|MIX_MODE|CHANNEL,30|sequential_voice_first|g711_ulaw,40,0.09999999999999999,0.09999999999999999,0.19999999999999998,0.87,0.18333333333333332,0.19999999999999998,0.09999999999999999,0.8383333333333334,0.08333333333333333,0.09999999999999999,-0.09999999999999999,-0.03166666666666662
DURATION|MIX_MODE|CHANNEL,30|sequential_voice_first|opus_nb_8k,40,0.19999999999999998,0.09999999999999999,0.4,0.76,0.19999999999999998,0.09999999999999999,0.4,0.76,0.0,0.0,0.0,0.0
DURATION|MIX_MODE|CHANNEL,30|sparse_music|clean,40,0.31666666666666665,0.09999999999999999,0.44999999999999996,0.6866666666666668,0.31666666666666665,0.09999999999999999,0.44999999999999996,0.6866666666666668,0.0,0.0,0.0,0.0
DURATION|MIX_MODE|CHANNEL,30|sparse_music|g711_ulaw,40,0.30000000000000004,0.15000000000000002,0.44999999999999996,0.685,0.31666666666666665,0.09999999999999999,0.44999999999999996,0.6866666666666668,0.016666666666666607,-0.05000000000000003,0.0,0.0016666666666667052
DURATION|MIX_MODE|CHANNEL,30|sparse_music|opus_nb_8k,40,0.30000000000000004,0.25,0.4,0.6799999999999999,0.4,0.25,0.44999999999999996,0.615,0.09999999999999998,0.0,0.04999999999999993,-0.06499999999999995
DURATION|MIX_MODE|CHANNEL,30|sparse_voice|clean,40,0.21666666666666665,0.44999999999999996,0.09999999999999999,0.7716666666666667,0.30000000000000004,0.44999999999999996,0.09999999999999999,0.73,0.0833333333333334,0.0,0.0,-0.04166666666666674
DURATION|MIX_MODE|CHANNEL,30|sparse_voice|g711_ulaw,40,0.30000000000000004,0.44999999999999996,0.19999999999999998,0.7,0.31666666666666665,0.44999999999999996,0.19999999999999998,0.6916666666666667,0.016666666666666607,0.0,0.0,-0.008333333333333304
DURATION|MIX_MODE|CHANNEL,30|sparse_voice|opus_nb_8k,40,0.4,0.44999999999999996,0.4,0.5900000000000001,0.48333333333333334,0.5,0.4,0.5383333333333333,0.08333333333333331,0.050000000000000044,0.0,-0.05166666666666675
DURATION|MIX_MODE|CHANNEL,60|concurrent|clean,40,0.18333333333333332,0.19999999999999998,0.0,0.8683333333333334,0.08333333333333333,0.050000000000000024,0.0,0.9483333333333333,-0.09999999999999999,-0.14999999999999997,0.0,0.07999999999999985
DURATION|MIX_MODE|CHANNEL,60|concurrent|g711_ulaw,40,0.09999999999999999,0.15000000000000002,0.050000000000000024,0.905,0.09999999999999999,0.15000000000000002,0.0,0.9199999999999999,0.0,0.0,-0.050000000000000024,0.014999999999999902
DURATION|MIX_MODE|CHANNEL,60|concurrent|opus_nb_8k,40,0.30000000000000004,0.19999999999999998,0.25,0.735,0.21666666666666665,0.25,0.25,0.7666666666666667,-0.0833333333333334,0.05000000000000002,0.0,0.03166666666666673
DURATION|MIX_MODE|CHANNEL,60|fake_music|clean,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,60|fake_music|g711_ulaw,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,60|fake_music|opus_nb_8k,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,60|fake_voice|clean,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,60|fake_voice|g711_ulaw,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,60|fake_voice|opus_nb_8k,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,60|real_music|clean,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,60|real_music|g711_ulaw,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,60|real_music|opus_nb_8k,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,60|real_voice|clean,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,60|real_voice|g711_ulaw,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,60|real_voice|opus_nb_8k,10,,,,,,,,,,,,
DURATION|MIX_MODE|CHANNEL,60|sequential_music_first|clean,40,0.016666666666666663,0.0,0.050000000000000024,0.9766666666666666,0.0,0.0,0.0,1.0,-0.016666666666666663,0.0,-0.050000000000000024,0.023333333333333428
DURATION|MIX_MODE|CHANNEL,60|sequential_music_first|g711_ulaw,40,0.18333333333333332,0.0,0.09999999999999999,0.8783333333333334,0.18333333333333332,0.09999999999999999,0.15000000000000002,0.8433333333333334,0.0,0.09999999999999999,0.05000000000000003,-0.03500000000000003
DURATION|MIX_MODE|CHANNEL,60|sequential_music_first|opus_nb_8k,40,0.19999999999999998,0.0,0.5,0.7500000000000001,0.19999999999999998,0.0,0.4,0.78,0.0,0.0,-0.09999999999999998,0.029999999999999916
DURATION|MIX_MODE|CHANNEL,60|sequential_voice_first|clean,40,0.016666666666666663,0.050000000000000024,0.050000000000000024,0.9666666666666666,0.0,0.0,0.0,1.0,-0.016666666666666663,-0.050000000000000024,-0.050000000000000024,0.03333333333333344
DURATION|MIX_MODE|CHANNEL,60|sequential_voice_first|g711_ulaw,40,0.11666666666666665,0.0,0.09999999999999999,0.9116666666666666,0.11666666666666665,0.0,0.09999999999999999,0.9116666666666666,0.0,0.0,0.0,0.0
DURATION|MIX_MODE|CHANNEL,60|sequential_voice_first|opus_nb_8k,40,0.19999999999999998,0.0,0.55,0.7350000000000001,0.30000000000000004,0.0,0.35,0.7450000000000001,0.10000000000000006,0.0,-0.20000000000000007,0.010000000000000009
DURATION|MIX_MODE|CHANNEL,60|sparse_music|clean,40,0.38333333333333336,0.19999999999999998,0.44999999999999996,0.6333333333333334,0.2833333333333333,0.050000000000000024,0.44999999999999996,0.7133333333333334,-0.10000000000000003,-0.14999999999999997,0.0,0.07999999999999996
DURATION|MIX_MODE|CHANNEL,60|sparse_music|g711_ulaw,40,0.31666666666666665,0.19999999999999998,0.5,0.6516666666666667,0.38333333333333336,0.19999999999999998,0.5,0.6183333333333334,0.06666666666666671,0.0,0.0,-0.033333333333333326
DURATION|MIX_MODE|CHANNEL,60|sparse_music|opus_nb_8k,40,0.4,0.19999999999999998,0.5,0.61,0.4,0.25,0.5,0.6,0.0,0.05000000000000002,0.0,-0.010000000000000009
DURATION|MIX_MODE|CHANNEL,60|sparse_voice|clean,40,0.23333333333333336,0.5,0.0,0.7833333333333332,0.21666666666666665,0.5,0.0,0.7916666666666667,-0.01666666666666672,0.0,0.0,0.008333333333333526
DURATION|MIX_MODE|CHANNEL,60|sparse_voice|g711_ulaw,40,0.2833333333333333,0.5,0.0,0.7583333333333333,0.21666666666666665,0.5,0.0,0.7916666666666667,-0.06666666666666668,0.0,0.0,0.03333333333333344
DURATION|MIX_MODE|CHANNEL,60|sparse_voice|opus_nb_8k,40,0.31666666666666665,0.5,0.19999999999999998,0.6816666666666666,0.30000000000000004,0.55,0.25,0.6649999999999999,-0.016666666666666607,0.050000000000000044,0.05000000000000002,-0.01666666666666672
