ID,ARCHIVE_MEMBER,ROLE,FILE_FAKE,VOICE_PRESENT,MUSIC_PRESENT,VOICE_FAKE,MUSIC_FAKE,COMPONENT_CASE,VOICE_SOURCE_ID,MUSIC_GROUP_ID,MUSIC_GENERATOR,SNR_DB,SOURCE_SPLIT
FS-FM_LA_D_3165811_fake_40636_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_3165811_fake_40636_udio_0.wav,development,1,1,1,1,1,FF,LA_D_3165811,sonics:40636,SONICS:Udio,20.0,dev
FS-FM_LA_D_3229118_iFSaNmZyPQo,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_3229118_iFSaNmZyPQo.wav,development,1,1,1,1,1,FF,LA_D_3229118,fmc:iFSaNmZyPQo,FakeMusicCaps:MusicGen_medium,10.0,dev
FS-FM_LA_D_3312715_fake_52861_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_3312715_fake_52861_suno_0.wav,development,1,1,1,1,1,FF,LA_D_3312715,sonics:52861,SONICS:Suno,-5.0,dev
FS-FM_LA_D_3341294_fake_34903_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_3341294_fake_34903_udio_0.wav,development,1,1,1,1,1,FF,LA_D_3341294,sonics:34903,SONICS:Udio,0.0,dev
FS-FM_LA_D_3597706_fake_20328_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_3597706_fake_20328_suno_0.wav,development,1,1,1,1,1,FF,LA_D_3597706,sonics:20328,SONICS:Suno,15.0,dev
FS-FM_LA_D_3689557_fake_54274_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_3689557_fake_54274_suno_1.wav,development,1,1,1,1,1,FF,LA_D_3689557,sonics:54274,SONICS:Suno,-5.0,dev
FS-FM_LA_D_3803714_fake_18290_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_3803714_fake_18290_udio_1.wav,development,1,1,1,1,1,FF,LA_D_3803714,sonics:18290,SONICS:Udio,20.0,dev
FS-FM_LA_D_3858607_fake_09684_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_3858607_fake_09684_suno_0.wav,development,1,1,1,1,1,FF,LA_D_3858607,sonics:9684,SONICS:Suno,-5.0,dev
FS-FM_LA_D_3866706_fake_26167_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_3866706_fake_26167_suno_1.wav,development,1,1,1,1,1,FF,LA_D_3866706,sonics:26167,SONICS:Suno,-0.0,dev
FS-FM_LA_D_4058412_At5v5ZZQHmw,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_4058412_At5v5ZZQHmw.wav,development,1,1,1,1,1,FF,LA_D_4058412,fmc:At5v5ZZQHmw,FakeMusicCaps:audioldm2,5.0,dev
FS-FM_LA_D_4075891_fake_36507_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_4075891_fake_36507_udio_1.wav,development,1,1,1,1,1,FF,LA_D_4075891,sonics:36507,SONICS:Udio,-5.0,dev
FS-FM_LA_D_4249761_fake_27170_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_4249761_fake_27170_udio_0.wav,development,1,1,1,1,1,FF,LA_D_4249761,sonics:27170,SONICS:Udio,15.0,dev
FS-FM_LA_D_4541749_fake_48810_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_4541749_fake_48810_suno_1.wav,development,1,1,1,1,1,FF,LA_D_4541749,sonics:48810,SONICS:Suno,5.0,dev
FS-FM_LA_D_4708179_fake_11077_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_4708179_fake_11077_udio_0.wav,development,1,1,1,1,1,FF,LA_D_4708179,sonics:11077,SONICS:Udio,-5.0,dev
FS-FM_LA_D_4797539_fake_06611_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_4797539_fake_06611_suno_1.wav,development,1,1,1,1,1,FF,LA_D_4797539,sonics:6611,SONICS:Suno,0.0,dev
FS-FM_LA_D_4848136_fake_25061_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_4848136_fake_25061_suno_1.wav,development,1,1,1,1,1,FF,LA_D_4848136,sonics:25061,SONICS:Suno,15.0,dev
FS-FM_LA_D_4900313_fake_10913_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_4900313_fake_10913_udio_1.wav,development,1,1,1,1,1,FF,LA_D_4900313,sonics:10913,SONICS:Udio,5.0,dev
FS-FM_LA_D_4919707_fake_47127_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_4919707_fake_47127_udio_1.wav,development,1,1,1,1,1,FF,LA_D_4919707,sonics:47127,SONICS:Udio,0.0,dev
FS-FM_LA_D_5044120_4W3Ql8JbEN8,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_5044120_4W3Ql8JbEN8.wav,development,1,1,1,1,1,FF,LA_D_5044120,fmc:4W3Ql8JbEN8,FakeMusicCaps:mustango,15.0,dev
FS-FM_LA_D_5054258_fake_42208_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_5054258_fake_42208_suno_0.wav,development,1,1,1,1,1,FF,LA_D_5054258,sonics:42208,SONICS:Suno,0.0,dev
FS-FM_LA_D_5120421_fake_19384_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_5120421_fake_19384_udio_0.wav,development,1,1,1,1,1,FF,LA_D_5120421,sonics:19384,SONICS:Udio,20.0,dev
FS-FM_LA_D_5204212_fake_46367_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_5204212_fake_46367_suno_1.wav,development,1,1,1,1,1,FF,LA_D_5204212,sonics:46367,SONICS:Suno,0.0,dev
FS-FM_LA_D_5673238_fake_53099_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_5673238_fake_53099_udio_0.wav,development,1,1,1,1,1,FF,LA_D_5673238,sonics:53099,SONICS:Udio,-5.0,dev
FS-FM_LA_D_5830923_fake_09320_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_5830923_fake_09320_udio_1.wav,development,1,1,1,1,1,FF,LA_D_5830923,sonics:9320,SONICS:Udio,10.0,dev
FS-FM_LA_D_5937021_fake_53890_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_5937021_fake_53890_udio_1.wav,development,1,1,1,1,1,FF,LA_D_5937021,sonics:53890,SONICS:Udio,10.0,dev
FS-FM_LA_D_6209900_fake_31291_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_6209900_fake_31291_suno_0.wav,development,1,1,1,1,1,FF,LA_D_6209900,sonics:31291,SONICS:Suno,5.0,dev
FS-FM_LA_D_6343112_fake_25697_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_6343112_fake_25697_udio_1.wav,development,1,1,1,1,1,FF,LA_D_6343112,sonics:25697,SONICS:Udio,0.0,dev
FS-FM_LA_D_6470899_fake_49710_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_6470899_fake_49710_suno_1.wav,development,1,1,1,1,1,FF,LA_D_6470899,sonics:49710,SONICS:Suno,10.0,dev
FS-FM_LA_D_6522742_VgwsGjRk61M,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_6522742_VgwsGjRk61M.wav,development,1,1,1,1,1,FF,LA_D_6522742,fmc:VgwsGjRk61M,FakeMusicCaps:mustango,-5.0,dev
FS-FM_LA_D_6563020_fake_11445_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_6563020_fake_11445_suno_0.wav,development,1,1,1,1,1,FF,LA_D_6563020,sonics:11445,SONICS:Suno,20.0,dev
FS-FM_LA_D_6589944_fake_15912_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_6589944_fake_15912_udio_1.wav,development,1,1,1,1,1,FF,LA_D_6589944,sonics:15912,SONICS:Udio,10.0,dev
FS-FM_LA_D_6742661_fake_36773_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_6742661_fake_36773_udio_0.wav,development,1,1,1,1,1,FF,LA_D_6742661,sonics:36773,SONICS:Udio,5.0,dev
FS-FM_LA_D_6744596_fake_25374_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_6744596_fake_25374_suno_0.wav,development,1,1,1,1,1,FF,LA_D_6744596,sonics:25374,SONICS:Suno,20.0,dev
FS-FM_LA_D_6749090_fake_54040_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_6749090_fake_54040_udio_1.wav,development,1,1,1,1,1,FF,LA_D_6749090,sonics:54040,SONICS:Udio,5.0,dev
FS-FM_LA_D_6868021_fake_19581_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_6868021_fake_19581_suno_0.wav,development,1,1,1,1,1,FF,LA_D_6868021,sonics:19581,SONICS:Suno,15.0,dev
FS-FM_LA_D_6892674_6iZ49s7eH5g,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_6892674_6iZ49s7eH5g.wav,development,1,1,1,1,1,FF,LA_D_6892674,fmc:6iZ49s7eH5g,FakeMusicCaps:mustango,20.0,dev
FS-FM_LA_D_6987015_fake_34237_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_6987015_fake_34237_udio_0.wav,development,1,1,1,1,1,FF,LA_D_6987015,sonics:34237,SONICS:Udio,10.0,dev
FS-FM_LA_D_7041540_bPWbeWf5xNI,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_7041540_bPWbeWf5xNI.wav,development,1,1,1,1,1,FF,LA_D_7041540,fmc:bPWbeWf5xNI,FakeMusicCaps:mustango,20.0,dev
FS-FM_LA_D_7112988_fake_15999_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_7112988_fake_15999_udio_1.wav,development,1,1,1,1,1,FF,LA_D_7112988,sonics:15999,SONICS:Udio,-5.0,dev
FS-FM_LA_D_7283586_fake_16858_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_7283586_fake_16858_suno_1.wav,development,1,1,1,1,1,FF,LA_D_7283586,sonics:16858,SONICS:Suno,0.0,dev
FS-FM_LA_D_7341748_fake_21506_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_7341748_fake_21506_udio_0.wav,development,1,1,1,1,1,FF,LA_D_7341748,sonics:21506,SONICS:Udio,15.0,dev
FS-FM_LA_D_7390522_fake_20491_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_7390522_fake_20491_udio_1.wav,development,1,1,1,1,1,FF,LA_D_7390522,sonics:20491,SONICS:Udio,15.0,dev
FS-FM_LA_D_7451358_fake_41622_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_7451358_fake_41622_suno_0.wav,development,1,1,1,1,1,FF,LA_D_7451358,sonics:41622,SONICS:Suno,-5.0,dev
FS-FM_LA_D_7452521_fake_41797_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_7452521_fake_41797_suno_1.wav,development,1,1,1,1,1,FF,LA_D_7452521,sonics:41797,SONICS:Suno,20.0,dev
FS-FM_LA_D_7648007_fake_49123_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_7648007_fake_49123_udio_1.wav,development,1,1,1,1,1,FF,LA_D_7648007,sonics:49123,SONICS:Udio,5.0,dev
FS-FM_LA_D_7673600_G7pD1K3jYg4,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_7673600_G7pD1K3jYg4.wav,development,1,1,1,1,1,FF,LA_D_7673600,fmc:G7pD1K3jYg4,FakeMusicCaps:MusicGen_medium,20.0,dev
FS-FM_LA_D_7690918_fake_51479_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_7690918_fake_51479_udio_0.wav,development,1,1,1,1,1,FF,LA_D_7690918,sonics:51479,SONICS:Udio,0.0,dev
FS-FM_LA_D_7805732_fake_25241_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_7805732_fake_25241_udio_1.wav,development,1,1,1,1,1,FF,LA_D_7805732,sonics:25241,SONICS:Udio,15.0,dev
FS-FM_LA_D_7939015_fake_47304_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_7939015_fake_47304_suno_0.wav,development,1,1,1,1,1,FF,LA_D_7939015,sonics:47304,SONICS:Suno,5.0,dev
FS-FM_LA_D_7973788_fake_12739_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_7973788_fake_12739_udio_0.wav,development,1,1,1,1,1,FF,LA_D_7973788,sonics:12739,SONICS:Udio,-5.0,dev
FS-FM_LA_D_8108552_jD0nqkyuHPg,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_8108552_jD0nqkyuHPg.wav,development,1,1,1,1,1,FF,LA_D_8108552,fmc:jD0nqkyuHPg,FakeMusicCaps:MusicGen_medium,5.0,dev
FS-FM_LA_D_8235169_fake_37785_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_8235169_fake_37785_udio_0.wav,development,1,1,1,1,1,FF,LA_D_8235169,sonics:37785,SONICS:Udio,15.0,dev
FS-FM_LA_D_8595493_fake_38406_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_8595493_fake_38406_suno_1.wav,development,1,1,1,1,1,FF,LA_D_8595493,sonics:38406,SONICS:Suno,10.0,dev
FS-FM_LA_D_8880560_fake_50301_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_8880560_fake_50301_suno_0.wav,development,1,1,1,1,1,FF,LA_D_8880560,sonics:50301,SONICS:Suno,20.0,dev
FS-FM_LA_D_9049736_1O4LpU7HggY,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_9049736_1O4LpU7HggY.wav,development,1,1,1,1,1,FF,LA_D_9049736,fmc:1O4LpU7HggY,FakeMusicCaps:mustango,10.0,dev
FS-FM_LA_D_9144406_fake_32891_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_9144406_fake_32891_suno_1.wav,development,1,1,1,1,1,FF,LA_D_9144406,sonics:32891,SONICS:Suno,20.0,dev
FS-FM_LA_D_9275744_fake_09471_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_9275744_fake_09471_suno_0.wav,development,1,1,1,1,1,FF,LA_D_9275744,sonics:9471,SONICS:Suno,5.0,dev
FS-FM_LA_D_9289288_fake_52672_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_9289288_fake_52672_udio_0.wav,development,1,1,1,1,1,FF,LA_D_9289288,sonics:52672,SONICS:Udio,20.0,dev
FS-FM_LA_D_9325156_fake_18797_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_9325156_fake_18797_suno_1.wav,development,1,1,1,1,1,FF,LA_D_9325156,sonics:18797,SONICS:Suno,0.0,dev
FS-FM_LA_D_9354882_fake_27378_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_9354882_fake_27378_suno_0.wav,development,1,1,1,1,1,FF,LA_D_9354882,sonics:27378,SONICS:Suno,5.0,dev
FS-FM_LA_D_9425889_fake_42608_udio_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_9425889_fake_42608_udio_0.wav,development,1,1,1,1,1,FF,LA_D_9425889,sonics:42608,SONICS:Udio,0.0,dev
FS-FM_LA_D_9501828_fake_31028_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_9501828_fake_31028_suno_0.wav,development,1,1,1,1,1,FF,LA_D_9501828,sonics:31028,SONICS:Suno,15.0,dev
FS-FM_LA_D_9528207_TcoRmHHHNgI,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_9528207_TcoRmHHHNgI.wav,development,1,1,1,1,1,FF,LA_D_9528207,fmc:TcoRmHHHNgI,FakeMusicCaps:musicldm,-5.0,dev
FS-FM_LA_D_9644765_fake_37266_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_9644765_fake_37266_suno_1.wav,development,1,1,1,1,1,FF,LA_D_9644765,sonics:37266,SONICS:Suno,-5.0,dev
FS-FM_LA_D_9774358_fake_44441_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_9774358_fake_44441_udio_1.wav,development,1,1,1,1,1,FF,LA_D_9774358,sonics:44441,SONICS:Udio,10.0,dev
FS-FM_LA_D_9792022_fake_18305_suno_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_9792022_fake_18305_suno_1.wav,development,1,1,1,1,1,FF,LA_D_9792022,sonics:18305,SONICS:Suno,15.0,dev
FS-FM_LA_D_9841488_fake_48809_suno_0,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_9841488_fake_48809_suno_0.wav,development,1,1,1,1,1,FF,LA_D_9841488,sonics:48809,SONICS:Suno,-5.0,dev
FS-FM_LA_D_9946370_fake_21307_udio_1,MixFake/mixed_dataset/dev/audio/FS-FM_LA_D_9946370_fake_21307_udio_1.wav,development,1,1,1,1,1,FF,LA_D_9946370,sonics:21307,SONICS:Udio,20.0,dev
FS-RM_LA_D_1249114_037330,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_1249114_037330.wav,development,1,1,1,1,0,FR,LA_D_1249114,fma:37330,FMA,15.0,dev
FS-RM_LA_D_1343070_062901,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_1343070_062901.wav,development,1,1,1,1,0,FR,LA_D_1343070,fma:62901,FMA,10.0,dev
FS-RM_LA_D_1458324_063045,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_1458324_063045.wav,development,1,1,1,1,0,FR,LA_D_1458324,fma:63045,FMA,5.0,dev
FS-RM_LA_D_1550368_148842,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_1550368_148842.wav,development,1,1,1,1,0,FR,LA_D_1550368,fma:148842,FMA,15.0,dev
FS-RM_LA_D_1809228_091185,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_1809228_091185.wav,development,1,1,1,1,0,FR,LA_D_1809228,fma:91185,FMA,15.0,dev
FS-RM_LA_D_1863279_051659,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_1863279_051659.wav,development,1,1,1,1,0,FR,LA_D_1863279,fma:51659,FMA,10.0,dev
FS-RM_LA_D_2012886_098939,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_2012886_098939.wav,development,1,1,1,1,0,FR,LA_D_2012886,fma:98939,FMA,-5.0,dev
FS-RM_LA_D_2105337_087701,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_2105337_087701.wav,development,1,1,1,1,0,FR,LA_D_2105337,fma:87701,FMA,5.0,dev
FS-RM_LA_D_2118848_075420,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_2118848_075420.wav,development,1,1,1,1,0,FR,LA_D_2118848,fma:75420,FMA,5.0,dev
FS-RM_LA_D_2161743_120465,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_2161743_120465.wav,development,1,1,1,1,0,FR,LA_D_2161743,fma:120465,FMA,5.0,dev
FS-RM_LA_D_2391042_001894,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_2391042_001894.wav,development,1,1,1,1,0,FR,LA_D_2391042,fma:1894,FMA,10.0,dev
FS-RM_LA_D_2437399_075438,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_2437399_075438.wav,development,1,1,1,1,0,FR,LA_D_2437399,fma:75438,FMA,5.0,dev
FS-RM_LA_D_2508484_124753,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_2508484_124753.wav,development,1,1,1,1,0,FR,LA_D_2508484,fma:124753,FMA,20.0,dev
FS-RM_LA_D_2536135_070241,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_2536135_070241.wav,development,1,1,1,1,0,FR,LA_D_2536135,fma:70241,FMA,5.0,dev
FS-RM_LA_D_2552301_113037,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_2552301_113037.wav,development,1,1,1,1,0,FR,LA_D_2552301,fma:113037,FMA,20.0,dev
FS-RM_LA_D_2575965_121373,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_2575965_121373.wav,development,1,1,1,1,0,FR,LA_D_2575965,fma:121373,FMA,20.0,dev
FS-RM_LA_D_2628079_010451,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_2628079_010451.wav,development,1,1,1,1,0,FR,LA_D_2628079,fma:10451,FMA,20.0,dev
FS-RM_LA_D_2720510_082622,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_2720510_082622.wav,development,1,1,1,1,0,FR,LA_D_2720510,fma:82622,FMA,0.0,dev
FS-RM_LA_D_2759783_105956,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_2759783_105956.wav,development,1,1,1,1,0,FR,LA_D_2759783,fma:105956,FMA,10.0,dev
FS-RM_LA_D_2910262_020696,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_2910262_020696.wav,development,1,1,1,1,0,FR,LA_D_2910262,fma:20696,FMA,0.0,dev
FS-RM_LA_D_2963867_139520,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_2963867_139520.wav,development,1,1,1,1,0,FR,LA_D_2963867,fma:139520,FMA,0.0,dev
FS-RM_LA_D_3197929_135009,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_3197929_135009.wav,development,1,1,1,1,0,FR,LA_D_3197929,fma:135009,FMA,20.0,dev
FS-RM_LA_D_3795890_114658,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_3795890_114658.wav,development,1,1,1,1,0,FR,LA_D_3795890,fma:114658,FMA,0.0,dev
FS-RM_LA_D_3847966_080753,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_3847966_080753.wav,development,1,1,1,1,0,FR,LA_D_3847966,fma:80753,FMA,20.0,dev
FS-RM_LA_D_3868260_060727,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_3868260_060727.wav,development,1,1,1,1,0,FR,LA_D_3868260,fma:60727,FMA,20.0,dev
FS-RM_LA_D_3973052_070462,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_3973052_070462.wav,development,1,1,1,1,0,FR,LA_D_3973052,fma:70462,FMA,0.0,dev
FS-RM_LA_D_4061323_066439,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_4061323_066439.wav,development,1,1,1,1,0,FR,LA_D_4061323,fma:66439,FMA,0.0,dev
FS-RM_LA_D_4269408_062658,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_4269408_062658.wav,development,1,1,1,1,0,FR,LA_D_4269408,fma:62658,FMA,0.0,dev
FS-RM_LA_D_4274538_108969,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_4274538_108969.wav,development,1,1,1,1,0,FR,LA_D_4274538,fma:108969,FMA,-5.0,dev
FS-RM_LA_D_4287808_000995,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_4287808_000995.wav,development,1,1,1,1,0,FR,LA_D_4287808,fma:995,FMA,10.0,dev
FS-RM_LA_D_4359265_018325,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_4359265_018325.wav,development,1,1,1,1,0,FR,LA_D_4359265,fma:18325,FMA,15.0,dev
FS-RM_LA_D_4701377_021858,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_4701377_021858.wav,development,1,1,1,1,0,FR,LA_D_4701377,fma:21858,FMA,5.0,dev
FS-RM_LA_D_4875350_053898,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_4875350_053898.wav,development,1,1,1,1,0,FR,LA_D_4875350,fma:53898,FMA,20.0,dev
FS-RM_LA_D_5131627_099310,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_5131627_099310.wav,development,1,1,1,1,0,FR,LA_D_5131627,fma:99310,FMA,0.0,dev
FS-RM_LA_D_5295577_075897,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_5295577_075897.wav,development,1,1,1,1,0,FR,LA_D_5295577,fma:75897,FMA,-5.0,dev
FS-RM_LA_D_5579170_064771,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_5579170_064771.wav,development,1,1,1,1,0,FR,LA_D_5579170,fma:64771,FMA,10.0,dev
FS-RM_LA_D_5886006_047468,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_5886006_047468.wav,development,1,1,1,1,0,FR,LA_D_5886006,fma:47468,FMA,5.0,dev
FS-RM_LA_D_6073207_133274,MixFake/mixed_dataset/dev/audio/FS-RM_LA_D_6073207_133274.wav,development,1,1,1,1,0,FR,LA_D_6073207,fma:133274,FMA,20.0,dev
