ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,CONDITION,SOURCE,CODEC,VOICE_SOURCE_ID,MUSIC_SOURCE_ID,SNR_DB,PARENT_ID,CHANNEL,SOURCE_DATASET,GENERATOR,GROUP_ID,SPLIT,VOCODER,SPEAKER,DURATION
sdxeq_0002__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0033,sdm_real_0069,6.0,sdxeq_0002,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0002__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0033,sdm_real_0069,6.0,sdxeq_0002,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0003__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0067,sdm_real_0150,-6.0,sdxeq_0003,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0003__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0067,sdm_real_0150,-6.0,sdxeq_0003,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0003__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0067,sdm_real_0150,-6.0,sdxeq_0003,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0003__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0067,sdm_real_0150,-6.0,sdxeq_0003,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0004__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0031,0.0,sdxeq_0004,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0004__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0031,0.0,sdxeq_0004,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0004__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0031,0.0,sdxeq_0004,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0004__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0031,0.0,sdxeq_0004,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0005__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0095,sdm_real_0071,6.0,sdxeq_0005,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0005__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0095,sdm_real_0071,6.0,sdxeq_0005,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0005__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0095,sdm_real_0071,6.0,sdxeq_0005,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0005__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0095,sdm_real_0071,6.0,sdxeq_0005,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0006__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0088,sdm_real_0144,-6.0,sdxeq_0006,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0006__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0088,sdm_real_0144,-6.0,sdxeq_0006,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0006__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0088,sdm_real_0144,-6.0,sdxeq_0006,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0006__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0088,sdm_real_0144,-6.0,sdxeq_0006,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0007__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0013,sdm_real_0088,0.0,sdxeq_0007,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0007__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0013,sdm_real_0088,0.0,sdxeq_0007,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0007__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0013,sdm_real_0088,0.0,sdxeq_0007,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0007__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0013,sdm_real_0088,0.0,sdxeq_0007,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0008__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0098,sdm_real_0077,6.0,sdxeq_0008,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0008__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0098,sdm_real_0077,6.0,sdxeq_0008,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0008__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0098,sdm_real_0077,6.0,sdxeq_0008,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0008__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0098,sdm_real_0077,6.0,sdxeq_0008,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0009__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0075,sdm_real_0095,-6.0,sdxeq_0009,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0009__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0075,sdm_real_0095,-6.0,sdxeq_0009,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0009__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0075,sdm_real_0095,-6.0,sdxeq_0009,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0009__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0075,sdm_real_0095,-6.0,sdxeq_0009,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0010__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0017,sdm_real_0178,0.0,sdxeq_0010,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0010__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0017,sdm_real_0178,0.0,sdxeq_0010,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0010__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0017,sdm_real_0178,0.0,sdxeq_0010,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0010__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0017,sdm_real_0178,0.0,sdxeq_0010,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0011__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0029,sdm_real_0045,6.0,sdxeq_0011,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0011__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0029,sdm_real_0045,6.0,sdxeq_0011,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0011__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0029,sdm_real_0045,6.0,sdxeq_0011,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0011__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0029,sdm_real_0045,6.0,sdxeq_0011,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0012__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0099,sdm_real_0050,-6.0,sdxeq_0012,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0012__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0099,sdm_real_0050,-6.0,sdxeq_0012,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0012__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0099,sdm_real_0050,-6.0,sdxeq_0012,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0012__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0099,sdm_real_0050,-6.0,sdxeq_0012,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0013__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0044,0.0,sdxeq_0013,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0013__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0044,0.0,sdxeq_0013,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0013__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0044,0.0,sdxeq_0013,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0013__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0044,0.0,sdxeq_0013,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0014__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0062,sdm_real_0100,6.0,sdxeq_0014,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0014__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0062,sdm_real_0100,6.0,sdxeq_0014,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0014__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0062,sdm_real_0100,6.0,sdxeq_0014,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0014__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0062,sdm_real_0100,6.0,sdxeq_0014,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0015__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0027,sdm_real_0086,-6.0,sdxeq_0015,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0015__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0027,sdm_real_0086,-6.0,sdxeq_0015,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0015__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0027,sdm_real_0086,-6.0,sdxeq_0015,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0015__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0027,sdm_real_0086,-6.0,sdxeq_0015,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0016__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0117,0.0,sdxeq_0016,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0016__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0117,0.0,sdxeq_0016,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0016__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0117,0.0,sdxeq_0016,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0016__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0090,sdm_real_0117,0.0,sdxeq_0016,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0017__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0168,6.0,sdxeq_0017,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0017__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0168,6.0,sdxeq_0017,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0017__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0168,6.0,sdxeq_0017,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0017__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0168,6.0,sdxeq_0017,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0018__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0081,sdm_real_0033,-6.0,sdxeq_0018,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0018__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0081,sdm_real_0033,-6.0,sdxeq_0018,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0018__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0081,sdm_real_0033,-6.0,sdxeq_0018,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0018__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0081,sdm_real_0033,-6.0,sdxeq_0018,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0019__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0059,sdm_real_0033,0.0,sdxeq_0019,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0019__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0059,sdm_real_0033,0.0,sdxeq_0019,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0019__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0059,sdm_real_0033,0.0,sdxeq_0019,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0019__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0059,sdm_real_0033,0.0,sdxeq_0019,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0020__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0032,sdm_real_0148,6.0,sdxeq_0020,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0020__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0032,sdm_real_0148,6.0,sdxeq_0020,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0020__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0032,sdm_real_0148,6.0,sdxeq_0020,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0020__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0032,sdm_real_0148,6.0,sdxeq_0020,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0021__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0036,sdm_real_0039,-6.0,sdxeq_0021,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0021__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0036,sdm_real_0039,-6.0,sdxeq_0021,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0021__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0036,sdm_real_0039,-6.0,sdxeq_0021,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0021__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0036,sdm_real_0039,-6.0,sdxeq_0021,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0022__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0089,0.0,sdxeq_0022,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0022__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0089,0.0,sdxeq_0022,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0022__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0089,0.0,sdxeq_0022,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0022__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0015,sdm_real_0089,0.0,sdxeq_0022,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0023__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0091,6.0,sdxeq_0023,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0023__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0091,6.0,sdxeq_0023,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0023__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0091,6.0,sdxeq_0023,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0023__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0073,sdm_real_0091,6.0,sdxeq_0023,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0024__phonefact_resample8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0080,sdm_real_0057,-6.0,sdxeq_0024,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0024__phonefact_g711_ulaw,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0080,sdm_real_0057,-6.0,sdxeq_0024,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0024__phonefact_g726_24k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0080,sdm_real_0057,-6.0,sdxeq_0024,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0024__phonefact_opus_nb_8k,0,0.0,0.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0080,sdm_real_0057,-6.0,sdxeq_0024,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0025__phonefact_resample8k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0035,sdm_fake_0192,-6.0,sdxeq_0025,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0025__phonefact_g711_ulaw,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0035,sdm_fake_0192,-6.0,sdxeq_0025,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0025__phonefact_g726_24k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0035,sdm_fake_0192,-6.0,sdxeq_0025,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0025__phonefact_opus_nb_8k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0035,sdm_fake_0192,-6.0,sdxeq_0025,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0026__phonefact_resample8k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0085,sdm_fake_0010,0.0,sdxeq_0026,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0026__phonefact_g711_ulaw,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0085,sdm_fake_0010,0.0,sdxeq_0026,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0026__phonefact_g726_24k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0085,sdm_fake_0010,0.0,sdxeq_0026,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0026__phonefact_opus_nb_8k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0085,sdm_fake_0010,0.0,sdxeq_0026,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0027__phonefact_resample8k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0041,sdm_fake_0128,6.0,sdxeq_0027,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0027__phonefact_g711_ulaw,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0041,sdm_fake_0128,6.0,sdxeq_0027,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0027__phonefact_g726_24k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0041,sdm_fake_0128,6.0,sdxeq_0027,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0027__phonefact_opus_nb_8k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0041,sdm_fake_0128,6.0,sdxeq_0027,opus_nb_8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0028__phonefact_resample8k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0013,sdm_fake_0163,-6.0,sdxeq_0028,resample8k,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0028__phonefact_g711_ulaw,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0013,sdm_fake_0163,-6.0,sdxeq_0028,g711_ulaw,source_disjoint_mixed_equal_v1,,,,,,
sdxeq_0028__phonefact_g726_24k,1,0.0,1.0,1,1,mixed,simultaneous,synthetic_mixture,flac16k,voice_0013,sdm_fake_0163,-6.0,sdxeq_0028,g726_24k,source_disjoint_mixed_equal_v1,,,,,,
