ID,FILE_FAKE,VOICE_FAKE,MUSIC_FAKE,VOICE_PRESENT,MUSIC_PRESENT,AUDIO_TYPE,MIX_MODE,COMPONENT_CASE,EVAL_CELL,SPLIT,VOICE_SOURCE_ID,MUSIC_SOURCE_ID,VOICE_GENERATOR,MUSIC_GENERATOR,CONDITION
yue_001_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_01,efp_extra_real_002096,cosyvoice3_0.5b,real,clean_separator_free
yue_001_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_01,seed_20260833,bonafide,YuE,clean_separator_free
yue_001_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_01,seed_20260833,cosyvoice3_0.5b,YuE,clean_separator_free
yue_001_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_byungchul_extra_01,efp_extra_real_002096,bonafide,real,clean_separator_free
yue_001_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_01,efp_extra_real_002096,cosyvoice3_0.5b,real,clean_separator_free
yue_001_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_01,seed_20260833,bonafide,YuE,clean_separator_free
yue_001_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_01,seed_20260833,cosyvoice3_0.5b,YuE,clean_separator_free
yue_001_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_byungchul_extra_01,efp_extra_real_002096,bonafide,real,clean_separator_free
yue_001_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_01,efp_extra_real_002096,cosyvoice3_0.5b,real,clean_separator_free
yue_001_sequential_v0_m1,1,0.0,1,1,1,mixed,sequential,voice_real__music_fake,sequential__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_01,seed_20260833,bonafide,YuE,clean_separator_free
yue_001_sequential_v1_m1,1,1.0,1,1,1,mixed,sequential,voice_fake__music_fake,sequential__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_01,seed_20260833,cosyvoice3_0.5b,YuE,clean_separator_free
yue_001_native_vocal_real_music,1,1.0,0,1,1,mixed,native_yue_vocal,voice_fake__music_real,native_yue_vocal__voice_fake__music_real,audit_yue,seed_20260833_vtrack,efp_extra_real_002096,YuE,real,clean_separator_free
yue_001_native_vocal_fake_music,1,1.0,1,1,1,mixed,native_yue_vocal,voice_fake__music_fake,native_yue_vocal__voice_fake__music_fake,audit_yue,seed_20260833_vtrack,seed_20260833,YuE,YuE,clean_separator_free
yue_002_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_004520,,real,clean_separator_free
yue_002_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260834,,YuE,clean_separator_free
yue_002_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_byungchul_extra_02,efp_extra_real_004520,bonafide,real,clean_separator_free
yue_002_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_02,efp_extra_real_004520,cosyvoice3_0.5b,real,clean_separator_free
yue_002_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_02,seed_20260834,bonafide,YuE,clean_separator_free
yue_002_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_02,seed_20260834,cosyvoice3_0.5b,YuE,clean_separator_free
yue_002_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_byungchul_extra_02,efp_extra_real_004520,bonafide,real,clean_separator_free
yue_002_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_02,efp_extra_real_004520,cosyvoice3_0.5b,real,clean_separator_free
yue_002_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_02,seed_20260834,bonafide,YuE,clean_separator_free
yue_002_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_02,seed_20260834,cosyvoice3_0.5b,YuE,clean_separator_free
yue_002_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_byungchul_extra_02,efp_extra_real_004520,bonafide,real,clean_separator_free
yue_002_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_02,efp_extra_real_004520,cosyvoice3_0.5b,real,clean_separator_free
yue_002_sequential_v0_m1,1,0.0,1,1,1,mixed,sequential,voice_real__music_fake,sequential__voice_real__music_fake,audit_yue,voice_real_byungchul_extra_02,seed_20260834,bonafide,YuE,clean_separator_free
yue_002_sequential_v1_m1,1,1.0,1,1,1,mixed,sequential,voice_fake__music_fake,sequential__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_byungchul_target_02,seed_20260834,cosyvoice3_0.5b,YuE,clean_separator_free
yue_003_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_006609,,real,clean_separator_free
yue_003_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260835,,YuE,clean_separator_free
yue_003_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_byungchul_target_00,efp_extra_real_006609,bonafide,real,clean_separator_free
yue_003_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_00,efp_extra_real_006609,cosyvoice3_0.5b,real,clean_separator_free
yue_003_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_byungchul_target_00,seed_20260835,bonafide,YuE,clean_separator_free
yue_003_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_00,seed_20260835,cosyvoice3_0.5b,YuE,clean_separator_free
yue_003_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_byungchul_target_00,efp_extra_real_006609,bonafide,real,clean_separator_free
yue_003_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_00,efp_extra_real_006609,cosyvoice3_0.5b,real,clean_separator_free
yue_003_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_byungchul_target_00,seed_20260835,bonafide,YuE,clean_separator_free
yue_003_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_00,seed_20260835,cosyvoice3_0.5b,YuE,clean_separator_free
yue_003_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_byungchul_target_00,efp_extra_real_006609,bonafide,real,clean_separator_free
yue_003_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_00,efp_extra_real_006609,cosyvoice3_0.5b,real,clean_separator_free
yue_003_sequential_v0_m1,1,0.0,1,1,1,mixed,sequential,voice_real__music_fake,sequential__voice_real__music_fake,audit_yue,voice_real_byungchul_target_00,seed_20260835,bonafide,YuE,clean_separator_free
yue_003_sequential_v1_m1,1,1.0,1,1,1,mixed,sequential,voice_fake__music_fake,sequential__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_00,seed_20260835,cosyvoice3_0.5b,YuE,clean_separator_free
yue_003_native_vocal_real_music,1,1.0,0,1,1,mixed,native_yue_vocal,voice_fake__music_real,native_yue_vocal__voice_fake__music_real,audit_yue,seed_20260835_vtrack,efp_extra_real_006609,YuE,real,clean_separator_free
yue_003_native_vocal_fake_music,1,1.0,1,1,1,mixed,native_yue_vocal,voice_fake__music_fake,native_yue_vocal__voice_fake__music_fake,audit_yue,seed_20260835_vtrack,seed_20260835,YuE,YuE,clean_separator_free
yue_004_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_007377,,real,clean_separator_free
yue_004_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260836,,YuE,clean_separator_free
yue_004_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_byungchul_target_01,efp_extra_real_007377,bonafide,real,clean_separator_free
yue_004_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_01,efp_extra_real_007377,cosyvoice3_0.5b,real,clean_separator_free
yue_004_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_byungchul_target_01,seed_20260836,bonafide,YuE,clean_separator_free
yue_004_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_01,seed_20260836,cosyvoice3_0.5b,YuE,clean_separator_free
yue_004_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_byungchul_target_01,efp_extra_real_007377,bonafide,real,clean_separator_free
yue_004_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_01,efp_extra_real_007377,cosyvoice3_0.5b,real,clean_separator_free
yue_004_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_byungchul_target_01,seed_20260836,bonafide,YuE,clean_separator_free
yue_004_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_01,seed_20260836,cosyvoice3_0.5b,YuE,clean_separator_free
yue_004_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_byungchul_target_01,efp_extra_real_007377,bonafide,real,clean_separator_free
yue_004_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_01,efp_extra_real_007377,cosyvoice3_0.5b,real,clean_separator_free
yue_004_sequential_v0_m1,1,0.0,1,1,1,mixed,sequential,voice_real__music_fake,sequential__voice_real__music_fake,audit_yue,voice_real_byungchul_target_01,seed_20260836,bonafide,YuE,clean_separator_free
yue_004_sequential_v1_m1,1,1.0,1,1,1,mixed,sequential,voice_fake__music_fake,sequential__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_01,seed_20260836,cosyvoice3_0.5b,YuE,clean_separator_free
yue_004_native_vocal_real_music,1,1.0,0,1,1,mixed,native_yue_vocal,voice_fake__music_real,native_yue_vocal__voice_fake__music_real,audit_yue,seed_20260836_vtrack,efp_extra_real_007377,YuE,real,clean_separator_free
yue_004_native_vocal_fake_music,1,1.0,1,1,1,mixed,native_yue_vocal,voice_fake__music_fake,native_yue_vocal__voice_fake__music_fake,audit_yue,seed_20260836_vtrack,seed_20260836,YuE,YuE,clean_separator_free
yue_005_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_010527,,real,clean_separator_free
yue_005_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260837,,YuE,clean_separator_free
yue_005_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_byungchul_target_02,efp_extra_real_010527,bonafide,real,clean_separator_free
yue_005_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_02,efp_extra_real_010527,cosyvoice3_0.5b,real,clean_separator_free
yue_005_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_byungchul_target_02,seed_20260837,bonafide,YuE,clean_separator_free
yue_005_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_02,seed_20260837,cosyvoice3_0.5b,YuE,clean_separator_free
yue_005_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_byungchul_target_02,efp_extra_real_010527,bonafide,real,clean_separator_free
yue_005_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_02,efp_extra_real_010527,cosyvoice3_0.5b,real,clean_separator_free
yue_005_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_byungchul_target_02,seed_20260837,bonafide,YuE,clean_separator_free
yue_005_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_02,seed_20260837,cosyvoice3_0.5b,YuE,clean_separator_free
yue_005_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_byungchul_target_02,efp_extra_real_010527,bonafide,real,clean_separator_free
yue_005_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_02,efp_extra_real_010527,cosyvoice3_0.5b,real,clean_separator_free
yue_005_sequential_v0_m1,1,0.0,1,1,1,mixed,sequential,voice_real__music_fake,sequential__voice_real__music_fake,audit_yue,voice_real_byungchul_target_02,seed_20260837,bonafide,YuE,clean_separator_free
yue_005_sequential_v1_m1,1,1.0,1,1,1,mixed,sequential,voice_fake__music_fake,sequential__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_dohyun_target_02,seed_20260837,cosyvoice3_0.5b,YuE,clean_separator_free
yue_005_native_vocal_real_music,1,1.0,0,1,1,mixed,native_yue_vocal,voice_fake__music_real,native_yue_vocal__voice_fake__music_real,audit_yue,seed_20260837_vtrack,efp_extra_real_010527,YuE,real,clean_separator_free
yue_005_native_vocal_fake_music,1,1.0,1,1,1,mixed,native_yue_vocal,voice_fake__music_fake,native_yue_vocal__voice_fake__music_fake,audit_yue,seed_20260837_vtrack,seed_20260837,YuE,YuE,clean_separator_free
yue_006_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_010668,,real,clean_separator_free
yue_006_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260838,,YuE,clean_separator_free
yue_006_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_dohyun_extra_00,efp_extra_real_010668,bonafide,real,clean_separator_free
yue_006_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_00,efp_extra_real_010668,cosyvoice3_0.5b,real,clean_separator_free
yue_006_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_dohyun_extra_00,seed_20260838,bonafide,YuE,clean_separator_free
yue_006_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_00,seed_20260838,cosyvoice3_0.5b,YuE,clean_separator_free
yue_006_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_dohyun_extra_00,efp_extra_real_010668,bonafide,real,clean_separator_free
yue_006_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_00,efp_extra_real_010668,cosyvoice3_0.5b,real,clean_separator_free
yue_006_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_dohyun_extra_00,seed_20260838,bonafide,YuE,clean_separator_free
yue_006_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_00,seed_20260838,cosyvoice3_0.5b,YuE,clean_separator_free
yue_006_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_dohyun_extra_00,efp_extra_real_010668,bonafide,real,clean_separator_free
yue_006_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_00,efp_extra_real_010668,cosyvoice3_0.5b,real,clean_separator_free
yue_006_sequential_v0_m1,1,0.0,1,1,1,mixed,sequential,voice_real__music_fake,sequential__voice_real__music_fake,audit_yue,voice_real_dohyun_extra_00,seed_20260838,bonafide,YuE,clean_separator_free
yue_006_sequential_v1_m1,1,1.0,1,1,1,mixed,sequential,voice_fake__music_fake,sequential__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_00,seed_20260838,cosyvoice3_0.5b,YuE,clean_separator_free
yue_006_native_vocal_real_music,1,1.0,0,1,1,mixed,native_yue_vocal,voice_fake__music_real,native_yue_vocal__voice_fake__music_real,audit_yue,seed_20260838_vtrack,efp_extra_real_010668,YuE,real,clean_separator_free
yue_006_native_vocal_fake_music,1,1.0,1,1,1,mixed,native_yue_vocal,voice_fake__music_fake,native_yue_vocal__voice_fake__music_fake,audit_yue,seed_20260838_vtrack,seed_20260838,YuE,YuE,clean_separator_free
yue_007_music_real,0,,0,0,1,music,music_only,music_real,music_only__music_real,audit_yue,,efp_extra_real_010670,,real,clean_separator_free
yue_007_music_fake,1,,1,0,1,music,music_only,music_fake,music_only__music_fake,audit_yue,,seed_20260839,,YuE,clean_separator_free
yue_007_concurrent_v0_m0,0,0.0,0,1,1,mixed,concurrent,voice_real__music_real,concurrent__voice_real__music_real,audit_yue,voice_real_dohyun_extra_01,efp_extra_real_010670,bonafide,real,clean_separator_free
yue_007_concurrent_v1_m0,1,1.0,0,1,1,mixed,concurrent,voice_fake__music_real,concurrent__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_01,efp_extra_real_010670,cosyvoice3_0.5b,real,clean_separator_free
yue_007_concurrent_v0_m1,1,0.0,1,1,1,mixed,concurrent,voice_real__music_fake,concurrent__voice_real__music_fake,audit_yue,voice_real_dohyun_extra_01,seed_20260839,bonafide,YuE,clean_separator_free
yue_007_concurrent_v1_m1,1,1.0,1,1,1,mixed,concurrent,voice_fake__music_fake,concurrent__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_01,seed_20260839,cosyvoice3_0.5b,YuE,clean_separator_free
yue_007_partial_overlap_v0_m0,0,0.0,0,1,1,mixed,partial_overlap,voice_real__music_real,partial_overlap__voice_real__music_real,audit_yue,voice_real_dohyun_extra_01,efp_extra_real_010670,bonafide,real,clean_separator_free
yue_007_partial_overlap_v1_m0,1,1.0,0,1,1,mixed,partial_overlap,voice_fake__music_real,partial_overlap__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_01,efp_extra_real_010670,cosyvoice3_0.5b,real,clean_separator_free
yue_007_partial_overlap_v0_m1,1,0.0,1,1,1,mixed,partial_overlap,voice_real__music_fake,partial_overlap__voice_real__music_fake,audit_yue,voice_real_dohyun_extra_01,seed_20260839,bonafide,YuE,clean_separator_free
yue_007_partial_overlap_v1_m1,1,1.0,1,1,1,mixed,partial_overlap,voice_fake__music_fake,partial_overlap__voice_fake__music_fake,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_01,seed_20260839,cosyvoice3_0.5b,YuE,clean_separator_free
yue_007_sequential_v0_m0,0,0.0,0,1,1,mixed,sequential,voice_real__music_real,sequential__voice_real__music_real,audit_yue,voice_real_dohyun_extra_01,efp_extra_real_010670,bonafide,real,clean_separator_free
yue_007_sequential_v1_m0,1,1.0,0,1,1,mixed,sequential,voice_fake__music_real,sequential__voice_fake__music_real,audit_yue,voice_fake_cosyvoice3_0.5b_eunju_target_01,efp_extra_real_010670,cosyvoice3_0.5b,real,clean_separator_free
