model,axis,group,rows,real_n,fake_n,FILE_EER,FPR_at_05,FNR_at_05
global,CHANNEL_V57,g711_ulaw,120,30,90,0.17222222222222222,0.13333333333333333,0.2222222222222222
global,CHANNEL_V57,g722_wb,120,30,90,0.19444444444444445,0.03333333333333333,0.2222222222222222
global,CHANNEL_V57,mp3_64k,67,21,46,0.22774327122153207,0.09523809523809523,0.2826086956521739
global,CHANNEL_V57,noisy_flac,66,21,45,0.24126984126984127,0.19047619047619047,0.26666666666666666
global,CHANNEL_V57,ogg_48k,67,21,46,0.23861283643892336,0.38095238095238093,0.17391304347826086
global,CHANNEL_V57,opus_nb_8k,120,30,90,0.30000000000000004,0.6,0.17777777777777778
global,CHANNEL_V57,stereo_wav,67,22,45,0.2696969696969697,0.2727272727272727,0.26666666666666666
global,CHANNEL_V57,telephone8k,600,150,450,0.19222222222222224,0.36,0.09333333333333334
global,CHANNEL_V57,telephone_flac,67,20,47,0.2526595744680851,0.15,0.2765957446808511
global,CHANNEL_V57,transcode_g711_opus,120,30,90,0.33333333333333337,0.7333333333333333,0.17777777777777778
global,CHANNEL_V57,unknown,90,30,60,0.09999999999999999,0.0,0.35
global,CHANNEL_V57,wav,176,90,86,0.02273901808785532,0.36666666666666664,0.0
global,CHANNEL_V57,wav16k,1600,400,1200,0.17000000000000004,0.065,0.2608333333333333
global,MIX_MODE,concurrent,300,75,225,0.30666666666666664,0.28,0.36
global,MIX_MODE,music_only,50,25,25,0.07999999999999999,0.32,0.04
global,MIX_MODE,partial_overlap,300,75,225,0.21333333333333337,0.32,0.15555555555555556
global,MIX_MODE,sequential,300,75,225,0.22666666666666668,0.29333333333333333,0.16
global,MIX_MODE,voice_only,50,25,25,0.04000000000000002,0.0,0.44
global,LAYOUT_V57,concurrent,1900,475,1425,0.19157894736842107,0.09894736842105263,0.27649122807017545
global,LAYOUT_V57,music_only,50,25,25,0.07999999999999999,0.32,0.04
global,LAYOUT_V57,partial_overlap,300,75,225,0.21333333333333337,0.32,0.15555555555555556
global,LAYOUT_V57,sequential,900,225,675,0.18592592592592594,0.3244444444444444,0.1037037037037037
global,LAYOUT_V57,simultaneous,600,150,450,0.18111111111111108,0.3,0.11777777777777777
global,LAYOUT_V57,source_disjoint,400,200,200,0.04500000000000002,0.36,0.01
global,LAYOUT_V57,source_matched_instrumental,61,6,55,0.14696969696969697,0.3333333333333333,0.10909090909090909
global,LAYOUT_V57,speech_only,266,120,146,0.15793378995433788,0.275,0.14383561643835616
global,LAYOUT_V57,voice_only,50,25,25,0.04000000000000002,0.0,0.44
global,LAYOUT_V57,voice_screened_instrumental,50,50,0,,0.38,
global,FILE_CONTRAST,RR_vs_FR,1850,925,925,0.16972972972972974,0.20432432432432432,0.1372972972972973
global,FILE_CONTRAST,RR_vs_RF,1850,925,925,0.3189189189189189,0.20432432432432432,0.42162162162162165
global,FILE_CONTRAST,RR_vs_FF,1850,925,925,0.08972972972972972,0.20432432432432432,0.03783783783783784
local,ALL,ALL,4577,1351,3226,0.21693168432099846,0.32420429311621024,0.15468071915685058
local,DATASET,asvspoof_voice_wav_dev_v1,176,90,86,0.05684754521963824,0.4111111111111111,0.0
local,DATASET,codec_mixed_dev_v4,600,150,450,0.26,0.5133333333333333,0.12
local,DATASET,echoes_fma_paired_v3,111,56,55,0.12613636363636366,0.39285714285714285,0.07272727272727272
local,DATASET,external_mixed_v1,400,100,300,0.19999999999999998,0.36,0.13333333333333333
local,DATASET,external_mixed_v1_telephone_v1,400,100,300,0.22166666666666668,0.44,0.11333333333333333
local,DATASET,factorial_eval_1200_v2,400,125,275,0.24763636363636365,0.28,0.22545454545454546
local,DATASET,mixfake_music_dev_v1,1600,400,1200,0.2079166666666667,0.2,0.215
local,DATASET,multigen_voice_v2,90,30,60,0.1333333333333333,0.03333333333333333,0.35
local,DATASET,source_disjoint_mixed_v1,200,50,150,0.18000000000000002,0.34,0.09333333333333334
local,DATASET,source_disjoint_mixed_v1_telephone_v1,200,50,150,0.16000000000000003,0.32,0.06666666666666667
local,DATASET,source_disjoint_music_v1,400,200,200,0.12,0.365,0.01
local,AUDIO_TYPE,mixed,3700,925,2775,0.2216216216216216,0.3232432432432432,0.1654054054054054
local,AUDIO_TYPE,music,561,281,280,0.12121250635485512,0.35587188612099646,0.025
local,AUDIO_TYPE,voice,316,145,171,0.221455938697318,0.2689655172413793,0.19298245614035087
local,CHANNEL,clean,120,30,90,0.19999999999999998,0.43333333333333335,0.08888888888888889
local,CHANNEL,clean_flac,66,20,46,0.19782608695652174,0.35,0.1956521739130435
local,CHANNEL,g711_ulaw,120,30,90,0.26111111111111107,0.3333333333333333,0.17777777777777778
local,CHANNEL,g722_wb,120,30,90,0.22777777777777777,0.4,0.1
local,CHANNEL,mp3_64k,67,21,46,0.23861283643892336,0.23809523809523808,0.1956521739130435
local,CHANNEL,noisy_flac,66,21,45,0.33333333333333337,0.42857142857142855,0.26666666666666666
local,CHANNEL,ogg_48k,67,21,46,0.23861283643892336,0.23809523809523808,0.21739130434782608
local,CHANNEL,opus_nb_8k,120,30,90,0.30000000000000004,0.6666666666666666,0.12222222222222222
local,CHANNEL,stereo_wav,67,22,45,0.2696969696969697,0.22727272727272727,0.26666666666666666
local,CHANNEL,telephone_flac,67,20,47,0.20638297872340425,0.2,0.2127659574468085
local,CHANNEL,transcode_g711_opus,120,30,90,0.33333333333333337,0.7333333333333333,0.1111111111111111
local,CHANNEL_V57,clean,120,30,90,0.19999999999999998,0.43333333333333335,0.08888888888888889
local,CHANNEL_V57,clean_flac,66,20,46,0.19782608695652174,0.35,0.1956521739130435
local,CHANNEL_V57,common_flac16k,511,256,255,0.1213311887254902,0.37109375,0.023529411764705882
local,CHANNEL_V57,flac16k,600,150,450,0.18666666666666665,0.35333333333333333,0.12
local,CHANNEL_V57,g711_ulaw,120,30,90,0.26111111111111107,0.3333333333333333,0.17777777777777778
local,CHANNEL_V57,g722_wb,120,30,90,0.22777777777777777,0.4,0.1
local,CHANNEL_V57,mp3_64k,67,21,46,0.23861283643892336,0.23809523809523808,0.1956521739130435
local,CHANNEL_V57,noisy_flac,66,21,45,0.33333333333333337,0.42857142857142855,0.26666666666666666
local,CHANNEL_V57,ogg_48k,67,21,46,0.23861283643892336,0.23809523809523808,0.21739130434782608
local,CHANNEL_V57,opus_nb_8k,120,30,90,0.30000000000000004,0.6666666666666666,0.12222222222222222
local,CHANNEL_V57,stereo_wav,67,22,45,0.2696969696969697,0.22727272727272727,0.26666666666666666
local,CHANNEL_V57,telephone8k,600,150,450,0.19999999999999998,0.4,0.09777777777777778
local,CHANNEL_V57,telephone_flac,67,20,47,0.20638297872340425,0.2,0.2127659574468085
local,CHANNEL_V57,transcode_g711_opus,120,30,90,0.33333333333333337,0.7333333333333333,0.1111111111111111
local,CHANNEL_V57,unknown,90,30,60,0.1333333333333333,0.03333333333333333,0.35
local,CHANNEL_V57,wav,176,90,86,0.05684754521963824,0.4111111111111111,0.0
local,CHANNEL_V57,wav16k,1600,400,1200,0.2079166666666667,0.2,0.215
local,MIX_MODE,concurrent,300,75,225,0.31999999999999995,0.4266666666666667,0.2088888888888889
local,MIX_MODE,music_only,50,25,25,0.12,0.2,0.04
local,MIX_MODE,partial_overlap,300,75,225,0.2666666666666667,0.48,0.1511111111111111
local,MIX_MODE,sequential,300,75,225,0.20222222222222222,0.5066666666666667,0.09777777777777778
local,MIX_MODE,voice_only,50,25,25,0.16000000000000003,0.04,0.48
local,LAYOUT_V57,concurrent,1900,475,1425,0.22771929824561404,0.23578947368421052,0.21403508771929824
local,LAYOUT_V57,music_only,50,25,25,0.12,0.2,0.04
local,LAYOUT_V57,partial_overlap,300,75,225,0.2666666666666667,0.48,0.1511111111111111
local,LAYOUT_V57,sequential,900,225,675,0.1777777777777778,0.4533333333333333,0.07111111111111111
local,LAYOUT_V57,simultaneous,600,150,450,0.22666666666666668,0.32666666666666666,0.16
local,LAYOUT_V57,source_disjoint,400,200,200,0.12,0.365,0.01
local,LAYOUT_V57,source_matched_instrumental,61,6,55,0.13787878787878788,0.3333333333333333,0.07272727272727272
local,LAYOUT_V57,speech_only,266,120,146,0.20690639269406397,0.31666666666666665,0.14383561643835616
local,LAYOUT_V57,voice_only,50,25,25,0.16000000000000003,0.04,0.48
local,LAYOUT_V57,voice_screened_instrumental,50,50,0,,0.4,
local,FILE_CONTRAST,RR_vs_FR,1850,925,925,0.2140540540540541,0.3232432432432432,0.14594594594594595
local,FILE_CONTRAST,RR_vs_RF,1850,925,925,0.31567567567567567,0.3232432432432432,0.30594594594594593
local,FILE_CONTRAST,RR_vs_FF,1850,925,925,0.12324324324324323,0.3232432432432432,0.04432432432432432
