scope,axis,group,model,n,real_n,fake_n,FILE_EER
all,CHANNEL,g711_ulaw,anchor_global_0.2,720,210,510,0.16764705882352937
all,CHANNEL,g711_ulaw,anchor_local_0.025,720,210,510,0.19131652661064424
all,CHANNEL,g711_ulaw,anchor_local_0.05,720,210,510,0.18935574229691876
all,CHANNEL,g711_ulaw,anchor_local_0.1,720,210,510,0.1719887955182073
all,CHANNEL,g711_ulaw,anchor_local_0.2,720,210,510,0.1710084033613445
all,CHANNEL,opus_nb_8k,current_anchor,720,210,510,0.31064425770308124
all,CHANNEL,opus_nb_8k,parent,720,210,510,0.36232492997198884
all,CHANNEL,opus_nb_8k,global,720,210,510,0.30532212885154064
all,CHANNEL,opus_nb_8k,local,720,210,510,0.3666666666666667
all,CHANNEL,opus_nb_8k,anchor_global_0.025,720,210,510,0.3043417366946779
all,CHANNEL,opus_nb_8k,anchor_global_0.05,720,210,510,0.3043417366946779
all,CHANNEL,opus_nb_8k,anchor_global_0.1,720,210,510,0.31400560224089635
all,CHANNEL,opus_nb_8k,anchor_global_0.2,720,210,510,0.29467787114845934
all,CHANNEL,opus_nb_8k,anchor_local_0.025,720,210,510,0.3096638655462185
all,CHANNEL,opus_nb_8k,anchor_local_0.05,720,210,510,0.3096638655462185
all,CHANNEL,opus_nb_8k,anchor_local_0.1,720,210,510,0.3043417366946779
all,CHANNEL,opus_nb_8k,anchor_local_0.2,720,210,510,0.31932773109243695
all,AUDIO_TYPE,mixed,current_anchor,1800,450,1350,0.24222222222222223
all,AUDIO_TYPE,mixed,parent,1800,450,1350,0.24444444444444446
all,AUDIO_TYPE,mixed,global,1800,450,1350,0.2485185185185185
all,AUDIO_TYPE,mixed,local,1800,450,1350,0.28629629629629627
all,AUDIO_TYPE,mixed,anchor_global_0.025,1800,450,1350,0.23777777777777775
all,AUDIO_TYPE,mixed,anchor_global_0.05,1800,450,1350,0.23555555555555552
all,AUDIO_TYPE,mixed,anchor_global_0.1,1800,450,1350,0.23370370370370372
all,AUDIO_TYPE,mixed,anchor_global_0.2,1800,450,1350,0.22666666666666668
all,AUDIO_TYPE,mixed,anchor_local_0.025,1800,450,1350,0.24444444444444446
all,AUDIO_TYPE,mixed,anchor_local_0.05,1800,450,1350,0.24
all,AUDIO_TYPE,mixed,anchor_local_0.1,1800,450,1350,0.23296296296296296
all,AUDIO_TYPE,mixed,anchor_local_0.2,1800,450,1350,0.22666666666666668
all,AUDIO_TYPE,music,current_anchor,180,90,90,0.2777777777777778
all,AUDIO_TYPE,music,parent,180,90,90,0.3111111111111111
all,AUDIO_TYPE,music,global,180,90,90,0.25555555555555554
all,AUDIO_TYPE,music,local,180,90,90,0.34444444444444444
all,AUDIO_TYPE,music,anchor_global_0.025,180,90,90,0.2666666666666667
all,AUDIO_TYPE,music,anchor_global_0.05,180,90,90,0.25555555555555554
all,AUDIO_TYPE,music,anchor_global_0.1,180,90,90,0.25555555555555554
all,AUDIO_TYPE,music,anchor_global_0.2,180,90,90,0.2333333333333333
all,AUDIO_TYPE,music,anchor_local_0.025,180,90,90,0.25555555555555554
all,AUDIO_TYPE,music,anchor_local_0.05,180,90,90,0.25555555555555554
all,AUDIO_TYPE,music,anchor_local_0.1,180,90,90,0.25555555555555554
all,AUDIO_TYPE,music,anchor_local_0.2,180,90,90,0.25555555555555554
all,AUDIO_TYPE,voice,current_anchor,180,90,90,0.011111111111111092
all,AUDIO_TYPE,voice,parent,180,90,90,0.044444444444444425
all,AUDIO_TYPE,voice,global,180,90,90,0.033333333333333326
all,AUDIO_TYPE,voice,local,180,90,90,0.06666666666666665
all,AUDIO_TYPE,voice,anchor_global_0.025,180,90,90,0.0
all,AUDIO_TYPE,voice,anchor_global_0.05,180,90,90,0.0
all,AUDIO_TYPE,voice,anchor_global_0.1,180,90,90,0.0
all,AUDIO_TYPE,voice,anchor_global_0.2,180,90,90,0.0
all,AUDIO_TYPE,voice,anchor_local_0.025,180,90,90,0.011111111111111092
all,AUDIO_TYPE,voice,anchor_local_0.05,180,90,90,0.0
all,AUDIO_TYPE,voice,anchor_local_0.1,180,90,90,0.0
all,AUDIO_TYPE,voice,anchor_local_0.2,180,90,90,0.011111111111111092
all,MIX_MODE,concurrent,current_anchor,360,90,270,0.2333333333333333
all,MIX_MODE,concurrent,parent,360,90,270,0.21111111111111114
all,MIX_MODE,concurrent,global,360,90,270,0.24444444444444446
all,MIX_MODE,concurrent,local,360,90,270,0.28888888888888886
all,MIX_MODE,concurrent,anchor_global_0.025,360,90,270,0.2333333333333333
all,MIX_MODE,concurrent,anchor_global_0.05,360,90,270,0.2240740740740741
all,MIX_MODE,concurrent,anchor_global_0.1,360,90,270,0.21296296296296297
all,MIX_MODE,concurrent,anchor_global_0.2,360,90,270,0.20925925925925926
all,MIX_MODE,concurrent,anchor_local_0.025,360,90,270,0.2240740740740741
all,MIX_MODE,concurrent,anchor_local_0.05,360,90,270,0.2222222222222222
all,MIX_MODE,concurrent,anchor_local_0.1,360,90,270,0.21111111111111114
all,MIX_MODE,concurrent,anchor_local_0.2,360,90,270,0.20925925925925926
all,MIX_MODE,sequential_music_first,current_anchor,360,90,270,0.14629629629629629
all,MIX_MODE,sequential_music_first,parent,360,90,270,0.21111111111111114
all,MIX_MODE,sequential_music_first,global,360,90,270,0.1777777777777778
all,MIX_MODE,sequential_music_first,local,360,90,270,0.2240740740740741
all,MIX_MODE,sequential_music_first,anchor_global_0.025,360,90,270,0.14444444444444446
all,MIX_MODE,sequential_music_first,anchor_global_0.05,360,90,270,0.14444444444444446
all,MIX_MODE,sequential_music_first,anchor_global_0.1,360,90,270,0.1333333333333333
all,MIX_MODE,sequential_music_first,anchor_global_0.2,360,90,270,0.1333333333333333
all,MIX_MODE,sequential_music_first,anchor_local_0.025,360,90,270,0.15370370370370373
all,MIX_MODE,sequential_music_first,anchor_local_0.05,360,90,270,0.14259259259259258
all,MIX_MODE,sequential_music_first,anchor_local_0.1,360,90,270,0.1333333333333333
all,MIX_MODE,sequential_music_first,anchor_local_0.2,360,90,270,0.1333333333333333
all,MIX_MODE,sequential_voice_first,current_anchor,360,90,270,0.15555555555555556
all,MIX_MODE,sequential_voice_first,parent,360,90,270,0.1777777777777778
all,MIX_MODE,sequential_voice_first,global,360,90,270,0.1685185185185185
all,MIX_MODE,sequential_voice_first,local,360,90,270,0.17962962962962964
all,MIX_MODE,sequential_voice_first,anchor_global_0.025,360,90,270,0.15555555555555556
all,MIX_MODE,sequential_voice_first,anchor_global_0.05,360,90,270,0.14259259259259258
all,MIX_MODE,sequential_voice_first,anchor_global_0.1,360,90,270,0.13518518518518519
all,MIX_MODE,sequential_voice_first,anchor_global_0.2,360,90,270,0.1333333333333333
all,MIX_MODE,sequential_voice_first,anchor_local_0.025,360,90,270,0.15370370370370373
all,MIX_MODE,sequential_voice_first,anchor_local_0.05,360,90,270,0.14444444444444446
all,MIX_MODE,sequential_voice_first,anchor_local_0.1,360,90,270,0.14444444444444446
all,MIX_MODE,sequential_voice_first,anchor_local_0.2,360,90,270,0.14444444444444446
all,MIX_MODE,sparse_music,current_anchor,360,90,270,0.3111111111111111
all,MIX_MODE,sparse_music,parent,360,90,270,0.28703703703703703
all,MIX_MODE,sparse_music,global,360,90,270,0.30000000000000004
all,MIX_MODE,sparse_music,local,360,90,270,0.3425925925925926
all,MIX_MODE,sparse_music,anchor_global_0.025,360,90,270,0.3111111111111111
all,MIX_MODE,sparse_music,anchor_global_0.05,360,90,270,0.31296296296296294
all,MIX_MODE,sparse_music,anchor_global_0.1,360,90,270,0.31296296296296294
all,MIX_MODE,sparse_music,anchor_global_0.2,360,90,270,0.3092592592592593
all,MIX_MODE,sparse_music,anchor_local_0.025,360,90,270,0.31296296296296294
all,MIX_MODE,sparse_music,anchor_local_0.05,360,90,270,0.31296296296296294
all,MIX_MODE,sparse_music,anchor_local_0.1,360,90,270,0.3203703703703704
all,MIX_MODE,sparse_music,anchor_local_0.2,360,90,270,0.31296296296296294
all,MIX_MODE,sparse_voice,current_anchor,360,90,270,0.3222222222222222
all,MIX_MODE,sparse_voice,parent,360,90,270,0.30000000000000004
all,MIX_MODE,sparse_voice,global,360,90,270,0.3314814814814815
all,MIX_MODE,sparse_voice,local,360,90,270,0.3574074074074074
all,MIX_MODE,sparse_voice,anchor_global_0.025,360,90,270,0.3203703703703704
all,MIX_MODE,sparse_voice,anchor_global_0.05,360,90,270,0.3314814814814815
all,MIX_MODE,sparse_voice,anchor_global_0.1,360,90,270,0.32407407407407407
all,MIX_MODE,sparse_voice,anchor_global_0.2,360,90,270,0.3222222222222222
all,MIX_MODE,sparse_voice,anchor_local_0.025,360,90,270,0.3111111111111111
all,MIX_MODE,sparse_voice,anchor_local_0.05,360,90,270,0.3222222222222222
all,MIX_MODE,sparse_voice,anchor_local_0.1,360,90,270,0.3222222222222222
all,MIX_MODE,sparse_voice,anchor_local_0.2,360,90,270,0.3111111111111111
pair,ALL,RR_vs_FR,current_anchor,900,450,450,0.2222222222222222
pair,ALL,RR_vs_FR,parent,900,450,450,0.2333333333333333
pair,ALL,RR_vs_FR,global,900,450,450,0.22666666666666668
pair,ALL,RR_vs_FR,local,900,450,450,0.27555555555555555
pair,ALL,RR_vs_FR,anchor_global_0.025,900,450,450,0.2222222222222222
pair,ALL,RR_vs_FR,anchor_global_0.05,900,450,450,0.21777777777777774
pair,ALL,RR_vs_FR,anchor_global_0.1,900,450,450,0.2022222222222222
pair,ALL,RR_vs_FR,anchor_global_0.2,900,450,450,0.2022222222222222
pair,ALL,RR_vs_FR,anchor_local_0.025,900,450,450,0.22444444444444445
pair,ALL,RR_vs_FR,anchor_local_0.05,900,450,450,0.22444444444444445
pair,ALL,RR_vs_FR,anchor_local_0.1,900,450,450,0.21333333333333337
pair,ALL,RR_vs_FR,anchor_local_0.2,900,450,450,0.21777777777777774
pair,DURATION,RR_vs_FR|10,current_anchor,300,150,150,0.2466666666666667
pair,DURATION,RR_vs_FR|10,parent,300,150,150,0.22666666666666668
pair,DURATION,RR_vs_FR|10,global,300,150,150,0.24
pair,DURATION,RR_vs_FR|10,local,300,150,150,0.33999999999999997
pair,DURATION,RR_vs_FR|10,anchor_global_0.025,300,150,150,0.24
pair,DURATION,RR_vs_FR|10,anchor_global_0.05,300,150,150,0.2333333333333333
pair,DURATION,RR_vs_FR|10,anchor_global_0.1,300,150,150,0.22666666666666668
pair,DURATION,RR_vs_FR|10,anchor_global_0.2,300,150,150,0.22666666666666668
pair,DURATION,RR_vs_FR|10,anchor_local_0.025,300,150,150,0.24
pair,DURATION,RR_vs_FR|10,anchor_local_0.05,300,150,150,0.24
pair,DURATION,RR_vs_FR|10,anchor_local_0.1,300,150,150,0.2333333333333333
pair,DURATION,RR_vs_FR|10,anchor_local_0.2,300,150,150,0.2466666666666667
pair,DURATION,RR_vs_FR|30,current_anchor,300,150,150,0.22666666666666668
pair,DURATION,RR_vs_FR|30,parent,300,150,150,0.19999999999999998
pair,DURATION,RR_vs_FR|30,global,300,150,150,0.19999999999999998
pair,DURATION,RR_vs_FR|30,local,300,150,150,0.24
pair,DURATION,RR_vs_FR|30,anchor_global_0.025,300,150,150,0.21999999999999997
pair,DURATION,RR_vs_FR|30,anchor_global_0.05,300,150,150,0.21333333333333337
pair,DURATION,RR_vs_FR|30,anchor_global_0.1,300,150,150,0.19999999999999998
pair,DURATION,RR_vs_FR|30,anchor_global_0.2,300,150,150,0.20666666666666667
pair,DURATION,RR_vs_FR|30,anchor_local_0.025,300,150,150,0.21999999999999997
pair,DURATION,RR_vs_FR|30,anchor_local_0.05,300,150,150,0.21333333333333337
pair,DURATION,RR_vs_FR|30,anchor_local_0.1,300,150,150,0.19999999999999998
pair,DURATION,RR_vs_FR|30,anchor_local_0.2,300,150,150,0.20666666666666667
pair,DURATION,RR_vs_FR|60,current_anchor,300,150,150,0.19999999999999998
pair,DURATION,RR_vs_FR|60,parent,300,150,150,0.2333333333333333
pair,DURATION,RR_vs_FR|60,global,300,150,150,0.19333333333333336
pair,DURATION,RR_vs_FR|60,local,300,150,150,0.2333333333333333
pair,DURATION,RR_vs_FR|60,anchor_global_0.025,300,150,150,0.19999999999999998
pair,DURATION,RR_vs_FR|60,anchor_global_0.05,300,150,150,0.19333333333333336
pair,DURATION,RR_vs_FR|60,anchor_global_0.1,300,150,150,0.18666666666666665
pair,DURATION,RR_vs_FR|60,anchor_global_0.2,300,150,150,0.18666666666666665
pair,DURATION,RR_vs_FR|60,anchor_local_0.025,300,150,150,0.19999999999999998
pair,DURATION,RR_vs_FR|60,anchor_local_0.05,300,150,150,0.19333333333333336
pair,DURATION,RR_vs_FR|60,anchor_local_0.1,300,150,150,0.19999999999999998
pair,DURATION,RR_vs_FR|60,anchor_local_0.2,300,150,150,0.19999999999999998
pair,CHANNEL,RR_vs_FR|clean,current_anchor,300,150,150,0.18666666666666665
pair,CHANNEL,RR_vs_FR|clean,parent,300,150,150,0.18000000000000002
pair,CHANNEL,RR_vs_FR|clean,global,300,150,150,0.18666666666666665
pair,CHANNEL,RR_vs_FR|clean,local,300,150,150,0.2466666666666667
pair,CHANNEL,RR_vs_FR|clean,anchor_global_0.025,300,150,150,0.18000000000000002
pair,CHANNEL,RR_vs_FR|clean,anchor_global_0.05,300,150,150,0.18666666666666665
pair,CHANNEL,RR_vs_FR|clean,anchor_global_0.1,300,150,150,0.17333333333333334
pair,CHANNEL,RR_vs_FR|clean,anchor_global_0.2,300,150,150,0.18000000000000002
pair,CHANNEL,RR_vs_FR|clean,anchor_local_0.025,300,150,150,0.18666666666666665
pair,CHANNEL,RR_vs_FR|clean,anchor_local_0.05,300,150,150,0.18666666666666665
pair,CHANNEL,RR_vs_FR|clean,anchor_local_0.1,300,150,150,0.19333333333333336
pair,CHANNEL,RR_vs_FR|clean,anchor_local_0.2,300,150,150,0.19333333333333336
pair,CHANNEL,RR_vs_FR|g711_ulaw,current_anchor,300,150,150,0.19999999999999998
pair,CHANNEL,RR_vs_FR|g711_ulaw,parent,300,150,150,0.19333333333333336
pair,CHANNEL,RR_vs_FR|g711_ulaw,global,300,150,150,0.19999999999999998
pair,CHANNEL,RR_vs_FR|g711_ulaw,local,300,150,150,0.22666666666666668
pair,CHANNEL,RR_vs_FR|g711_ulaw,anchor_global_0.025,300,150,150,0.18000000000000002
pair,CHANNEL,RR_vs_FR|g711_ulaw,anchor_global_0.05,300,150,150,0.18666666666666665
pair,CHANNEL,RR_vs_FR|g711_ulaw,anchor_global_0.1,300,150,150,0.17333333333333334
pair,CHANNEL,RR_vs_FR|g711_ulaw,anchor_global_0.2,300,150,150,0.17333333333333334
pair,CHANNEL,RR_vs_FR|g711_ulaw,anchor_local_0.025,300,150,150,0.19333333333333336
pair,CHANNEL,RR_vs_FR|g711_ulaw,anchor_local_0.05,300,150,150,0.19999999999999998
pair,CHANNEL,RR_vs_FR|g711_ulaw,anchor_local_0.1,300,150,150,0.19999999999999998
pair,CHANNEL,RR_vs_FR|g711_ulaw,anchor_local_0.2,300,150,150,0.20666666666666667
pair,CHANNEL,RR_vs_FR|opus_nb_8k,current_anchor,300,150,150,0.2466666666666667
pair,CHANNEL,RR_vs_FR|opus_nb_8k,parent,300,150,150,0.33333333333333337
pair,CHANNEL,RR_vs_FR|opus_nb_8k,global,300,150,150,0.26
pair,CHANNEL,RR_vs_FR|opus_nb_8k,local,300,150,150,0.36333333333333334
pair,CHANNEL,RR_vs_FR|opus_nb_8k,anchor_global_0.025,300,150,150,0.24
pair,CHANNEL,RR_vs_FR|opus_nb_8k,anchor_global_0.05,300,150,150,0.22666666666666668
pair,CHANNEL,RR_vs_FR|opus_nb_8k,anchor_global_0.1,300,150,150,0.21999999999999997
pair,CHANNEL,RR_vs_FR|opus_nb_8k,anchor_global_0.2,300,150,150,0.21333333333333337
pair,CHANNEL,RR_vs_FR|opus_nb_8k,anchor_local_0.025,300,150,150,0.24
pair,CHANNEL,RR_vs_FR|opus_nb_8k,anchor_local_0.05,300,150,150,0.2333333333333333
pair,CHANNEL,RR_vs_FR|opus_nb_8k,anchor_local_0.1,300,150,150,0.21999999999999997
pair,CHANNEL,RR_vs_FR|opus_nb_8k,anchor_local_0.2,300,150,150,0.2533333333333333
pair,MIX_MODE,RR_vs_FR|concurrent,current_anchor,180,90,90,0.21111111111111114
pair,MIX_MODE,RR_vs_FR|concurrent,parent,180,90,90,0.21111111111111114
pair,MIX_MODE,RR_vs_FR|concurrent,global,180,90,90,0.2222222222222222
pair,MIX_MODE,RR_vs_FR|concurrent,local,180,90,90,0.28888888888888886
pair,MIX_MODE,RR_vs_FR|concurrent,anchor_global_0.025,180,90,90,0.19999999999999998
pair,MIX_MODE,RR_vs_FR|concurrent,anchor_global_0.05,180,90,90,0.19999999999999998
pair,MIX_MODE,RR_vs_FR|concurrent,anchor_global_0.1,180,90,90,0.18888888888888888
pair,MIX_MODE,RR_vs_FR|concurrent,anchor_global_0.2,180,90,90,0.1777777777777778
pair,MIX_MODE,RR_vs_FR|concurrent,anchor_local_0.025,180,90,90,0.19999999999999998
pair,MIX_MODE,RR_vs_FR|concurrent,anchor_local_0.05,180,90,90,0.19999999999999998
pair,MIX_MODE,RR_vs_FR|concurrent,anchor_local_0.1,180,90,90,0.18888888888888888
pair,MIX_MODE,RR_vs_FR|concurrent,anchor_local_0.2,180,90,90,0.18888888888888888
pair,MIX_MODE,RR_vs_FR|sequential_music_first,current_anchor,180,90,90,0.044444444444444425
pair,MIX_MODE,RR_vs_FR|sequential_music_first,parent,180,90,90,0.044444444444444425
pair,MIX_MODE,RR_vs_FR|sequential_music_first,global,180,90,90,0.044444444444444425
pair,MIX_MODE,RR_vs_FR|sequential_music_first,local,180,90,90,0.07777777777777775
pair,MIX_MODE,RR_vs_FR|sequential_music_first,anchor_global_0.025,180,90,90,0.044444444444444425
pair,MIX_MODE,RR_vs_FR|sequential_music_first,anchor_global_0.05,180,90,90,0.044444444444444425
pair,MIX_MODE,RR_vs_FR|sequential_music_first,anchor_global_0.1,180,90,90,0.044444444444444425
pair,MIX_MODE,RR_vs_FR|sequential_music_first,anchor_global_0.2,180,90,90,0.044444444444444425
pair,MIX_MODE,RR_vs_FR|sequential_music_first,anchor_local_0.025,180,90,90,0.044444444444444425
pair,MIX_MODE,RR_vs_FR|sequential_music_first,anchor_local_0.05,180,90,90,0.055555555555555566
pair,MIX_MODE,RR_vs_FR|sequential_music_first,anchor_local_0.1,180,90,90,0.055555555555555566
pair,MIX_MODE,RR_vs_FR|sequential_music_first,anchor_local_0.2,180,90,90,0.044444444444444425
pair,MIX_MODE,RR_vs_FR|sequential_voice_first,current_anchor,180,90,90,0.055555555555555566
pair,MIX_MODE,RR_vs_FR|sequential_voice_first,parent,180,90,90,0.044444444444444425
pair,MIX_MODE,RR_vs_FR|sequential_voice_first,global,180,90,90,0.033333333333333326
pair,MIX_MODE,RR_vs_FR|sequential_voice_first,local,180,90,90,0.07777777777777775
pair,MIX_MODE,RR_vs_FR|sequential_voice_first,anchor_global_0.025,180,90,90,0.055555555555555566
pair,MIX_MODE,RR_vs_FR|sequential_voice_first,anchor_global_0.05,180,90,90,0.044444444444444425
pair,MIX_MODE,RR_vs_FR|sequential_voice_first,anchor_global_0.1,180,90,90,0.044444444444444425
pair,MIX_MODE,RR_vs_FR|sequential_voice_first,anchor_global_0.2,180,90,90,0.033333333333333326
pair,MIX_MODE,RR_vs_FR|sequential_voice_first,anchor_local_0.025,180,90,90,0.055555555555555566
pair,MIX_MODE,RR_vs_FR|sequential_voice_first,anchor_local_0.05,180,90,90,0.055555555555555566
pair,MIX_MODE,RR_vs_FR|sequential_voice_first,anchor_local_0.1,180,90,90,0.055555555555555566
pair,MIX_MODE,RR_vs_FR|sequential_voice_first,anchor_local_0.2,180,90,90,0.044444444444444425
pair,MIX_MODE,RR_vs_FR|sparse_music,current_anchor,180,90,90,0.21111111111111114
pair,MIX_MODE,RR_vs_FR|sparse_music,parent,180,90,90,0.21111111111111114
pair,MIX_MODE,RR_vs_FR|sparse_music,global,180,90,90,0.2222222222222222
pair,MIX_MODE,RR_vs_FR|sparse_music,local,180,90,90,0.30000000000000004
pair,MIX_MODE,RR_vs_FR|sparse_music,anchor_global_0.025,180,90,90,0.19999999999999998
pair,MIX_MODE,RR_vs_FR|sparse_music,anchor_global_0.05,180,90,90,0.19999999999999998
pair,MIX_MODE,RR_vs_FR|sparse_music,anchor_global_0.1,180,90,90,0.19999999999999998
pair,MIX_MODE,RR_vs_FR|sparse_music,anchor_global_0.2,180,90,90,0.1777777777777778
pair,MIX_MODE,RR_vs_FR|sparse_music,anchor_local_0.025,180,90,90,0.21111111111111114
pair,MIX_MODE,RR_vs_FR|sparse_music,anchor_local_0.05,180,90,90,0.21111111111111114
pair,MIX_MODE,RR_vs_FR|sparse_music,anchor_local_0.1,180,90,90,0.21111111111111114
pair,MIX_MODE,RR_vs_FR|sparse_music,anchor_local_0.2,180,90,90,0.21111111111111114
pair,MIX_MODE,RR_vs_FR|sparse_voice,current_anchor,180,90,90,0.4
pair,MIX_MODE,RR_vs_FR|sparse_voice,parent,180,90,90,0.4555555555555556
pair,MIX_MODE,RR_vs_FR|sparse_voice,global,180,90,90,0.43333333333333335
pair,MIX_MODE,RR_vs_FR|sparse_voice,local,180,90,90,0.4666666666666667
pair,MIX_MODE,RR_vs_FR|sparse_voice,anchor_global_0.025,180,90,90,0.4
pair,MIX_MODE,RR_vs_FR|sparse_voice,anchor_global_0.05,180,90,90,0.4
pair,MIX_MODE,RR_vs_FR|sparse_voice,anchor_global_0.1,180,90,90,0.4
pair,MIX_MODE,RR_vs_FR|sparse_voice,anchor_global_0.2,180,90,90,0.4444444444444444
pair,MIX_MODE,RR_vs_FR|sparse_voice,anchor_local_0.025,180,90,90,0.4
pair,MIX_MODE,RR_vs_FR|sparse_voice,anchor_local_0.05,180,90,90,0.4
pair,MIX_MODE,RR_vs_FR|sparse_voice,anchor_local_0.1,180,90,90,0.4
pair,MIX_MODE,RR_vs_FR|sparse_voice,anchor_local_0.2,180,90,90,0.43333333333333335
pair,ALL,RR_vs_RF,current_anchor,900,450,450,0.3422222222222222
pair,ALL,RR_vs_RF,parent,900,450,450,0.33333333333333337
pair,ALL,RR_vs_RF,global,900,450,450,0.3488888888888889
pair,ALL,RR_vs_RF,local,900,450,450,0.36
pair,ALL,RR_vs_RF,anchor_global_0.025,900,450,450,0.33999999999999997
pair,ALL,RR_vs_RF,anchor_global_0.05,900,450,450,0.33333333333333337
pair,ALL,RR_vs_RF,anchor_global_0.1,900,450,450,0.33333333333333337
pair,ALL,RR_vs_RF,anchor_global_0.2,900,450,450,0.3244444444444444
pair,ALL,RR_vs_RF,anchor_local_0.025,900,450,450,0.33999999999999997
pair,ALL,RR_vs_RF,anchor_local_0.05,900,450,450,0.3288888888888889
pair,ALL,RR_vs_RF,anchor_local_0.1,900,450,450,0.33111111111111113
pair,ALL,RR_vs_RF,anchor_local_0.2,900,450,450,0.3222222222222222
pair,DURATION,RR_vs_RF|10,current_anchor,300,150,150,0.42000000000000004
pair,DURATION,RR_vs_RF|10,parent,300,150,150,0.3866666666666667
pair,DURATION,RR_vs_RF|10,global,300,150,150,0.4
pair,DURATION,RR_vs_RF|10,local,300,150,150,0.3866666666666667
