DATASET,BASE,EXTRA,ROUTED,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE
factorial,0.015,0.15,67,400,400,350,350,0.24181818181818182,0.23428571428571432,0.26857142857142857,,,0.7516623376623376,,
factorial,0.015,0.2,67,400,400,350,350,0.24763636363636365,0.23428571428571432,0.26857142857142857,,,0.7487532467532467,,
factorial,0.015,0.3,67,400,400,350,350,0.24945454545454543,0.23428571428571432,0.28,,,0.7444155844155844,,
factorial,0.025,0.0,67,400,400,350,350,0.24763636363636365,0.22285714285714286,0.26857142857142857,,,0.7510389610389611,,
factorial,0.025,0.025,67,400,400,350,350,0.24763636363636365,0.22285714285714286,0.26857142857142857,,,0.7510389610389611,,
factorial,0.025,0.05,67,400,400,350,350,0.24181818181818182,0.22285714285714286,0.26857142857142857,,,0.7539480519480519,,
factorial,0.025,0.075,67,400,400,350,350,0.24181818181818182,0.22285714285714286,0.26857142857142857,,,0.7539480519480519,,
factorial,0.025,0.1,67,400,400,350,350,0.24,0.22285714285714286,0.26857142857142857,,,0.7548571428571429,,
factorial,0.025,0.15,67,400,400,350,350,0.24181818181818182,0.22857142857142854,0.26857142857142857,,,0.7528051948051948,,
factorial,0.025,0.2,67,400,400,350,350,0.24181818181818182,0.22857142857142854,0.26857142857142857,,,0.7528051948051948,,
factorial,0.025,0.3,67,400,400,350,350,0.24763636363636365,0.23428571428571432,0.28,,,0.7453246753246753,,
phone,0.0,0.0,1200,1200,1200,800,800,0.2582857142857143,0.16749999999999998,0.345,,,0.7338571428571429,,
phone,0.0,0.025,1200,1200,1200,800,800,0.23828571428571427,0.16000000000000003,0.31499999999999995,,,0.754357142857143,,
phone,0.0,0.05,1200,1200,1200,800,800,0.20999999999999996,0.15500000000000003,0.28,,,0.78,,
phone,0.0,0.075,1200,1200,1200,800,800,0.1917142857142857,0.15249999999999997,0.25249999999999995,,,0.7978928571428572,,
phone,0.0,0.1,1200,1200,1200,800,800,0.18000000000000002,0.15249999999999997,0.23250000000000004,,,0.80975,,
phone,0.0,0.15,1200,1200,1200,800,800,0.16242857142857142,0.14749999999999996,0.1925,,,0.8315357142857143,,
phone,0.0,0.2,1200,1200,1200,800,800,0.15171428571428575,0.14500000000000002,0.15749999999999997,,,0.8478928571428572,,
phone,0.0,0.3,1200,1200,1200,800,800,0.13242857142857145,0.135,0.10999999999999999,,,0.8737857142857143,,
phone,0.005,0.0,1200,1200,1200,800,800,0.25757142857142856,0.16749999999999998,0.33499999999999996,,,0.7372142857142857,,
phone,0.005,0.025,1200,1200,1200,800,800,0.23585714285714288,0.16000000000000003,0.3075,,,0.7578214285714285,,
phone,0.005,0.05,1200,1200,1200,800,800,0.20414285714285713,0.15500000000000003,0.27249999999999996,,,0.7851785714285715,,
phone,0.005,0.075,1200,1200,1200,800,800,0.1882857142857143,0.15000000000000002,0.25249999999999995,,,0.8001071428571429,,
phone,0.005,0.1,1200,1200,1200,800,800,0.17585714285714285,0.15249999999999997,0.22999999999999998,,,0.8125714285714286,,
phone,0.005,0.15,1200,1200,1200,800,800,0.16171428571428575,0.14749999999999996,0.1875,,,0.8333928571428572,,
phone,0.005,0.2,1200,1200,1200,800,800,0.15171428571428575,0.14249999999999996,0.15749999999999997,,,0.8483928571428572,,
phone,0.005,0.3,1200,1200,1200,800,800,0.13242857142857145,0.135,0.10999999999999999,,,0.8737857142857143,,
phone,0.01,0.0,1200,1200,1200,800,800,0.25585714285714284,0.16749999999999998,0.3325,,,0.7388214285714285,,
phone,0.01,0.025,1200,1200,1200,800,800,0.22999999999999998,0.15749999999999997,0.2975,,,0.76425,,
phone,0.01,0.05,1200,1200,1200,800,800,0.19999999999999998,0.15500000000000003,0.27,,,0.788,,
phone,0.01,0.075,1200,1200,1200,800,800,0.18585714285714286,0.15000000000000002,0.24750000000000003,,,0.8028214285714286,,
phone,0.01,0.1,1200,1200,1200,800,800,0.17757142857142857,0.15249999999999997,0.22750000000000004,,,0.8124642857142857,,
phone,0.01,0.15,1200,1200,1200,800,800,0.16000000000000003,0.14749999999999996,0.1825,,,0.83575,,
phone,0.01,0.2,1200,1200,1200,800,800,0.15000000000000002,0.14249999999999996,0.15749999999999997,,,0.8492500000000001,,
phone,0.01,0.3,1200,1200,1200,800,800,0.13242857142857145,0.135,0.10750000000000001,,,0.8745357142857142,,
phone,0.015,0.0,1200,1200,1200,800,800,0.25,0.16000000000000003,0.3275,,,0.74475,,
phone,0.015,0.025,1200,1200,1200,800,800,0.22585714285714287,0.15749999999999997,0.29000000000000004,,,0.7685714285714286,,
phone,0.015,0.05,1200,1200,1200,800,800,0.19828571428571432,0.15500000000000003,0.26249999999999996,,,0.7911071428571428,,
phone,0.015,0.075,1200,1200,1200,800,800,0.18414285714285714,0.15249999999999997,0.24250000000000002,,,0.8046785714285714,,
phone,0.015,0.1,1200,1200,1200,800,800,0.17414285714285713,0.15000000000000002,0.21999999999999997,,,0.8169285714285714,,
phone,0.015,0.15,1200,1200,1200,800,800,0.15757142857142858,0.14749999999999996,0.18000000000000002,,,0.8377142857142857,,
phone,0.015,0.2,1200,1200,1200,800,800,0.15171428571428575,0.14249999999999996,0.15000000000000002,,,0.8506428571428571,,
phone,0.015,0.3,1200,1200,1200,800,800,0.13242857142857145,0.135,0.10750000000000001,,,0.8745357142857142,,
phone,0.025,0.0,1200,1200,1200,800,800,0.23828571428571427,0.16000000000000003,0.31499999999999995,,,0.754357142857143,,
phone,0.025,0.025,1200,1200,1200,800,800,0.20999999999999996,0.15500000000000003,0.28,,,0.78,,
phone,0.025,0.05,1200,1200,1200,800,800,0.19242857142857142,0.15249999999999997,0.255,,,0.7967857142857143,,
phone,0.025,0.075,1200,1200,1200,800,800,0.1817142857142857,0.15249999999999997,0.23250000000000004,,,0.8088928571428571,,
phone,0.025,0.1,1200,1200,1200,800,800,0.17171428571428568,0.15000000000000002,0.21750000000000003,,,0.8188928571428572,,
phone,0.025,0.15,1200,1200,1200,800,800,0.15585714285714286,0.14749999999999996,0.1775,,,0.8393214285714286,,
phone,0.025,0.2,1200,1200,1200,800,800,0.15171428571428575,0.14249999999999996,0.14749999999999996,,,0.8513928571428571,,
phone,0.025,0.3,1200,1200,1200,800,800,0.13171428571428573,0.13249999999999998,0.10750000000000001,,,0.8753928571428571,,
yue,0.0,0.0,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.0,0.025,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.0,0.05,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.0,0.075,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.0,0.1,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.0,0.15,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.0,0.2,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.0,0.3,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.005,0.0,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.005,0.025,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.005,0.05,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.005,0.075,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.005,0.1,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.005,0.15,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.005,0.2,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.005,0.3,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.01,0.0,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.01,0.025,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.01,0.05,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.01,0.075,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.01,0.1,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.01,0.15,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.01,0.2,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.01,0.3,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.015,0.0,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.015,0.025,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.015,0.05,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.015,0.075,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.015,0.1,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.015,0.15,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.015,0.2,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.015,0.3,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.025,0.0,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.025,0.025,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.025,0.05,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.025,0.075,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.025,0.1,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.025,0.15,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.025,0.2,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
yue,0.025,0.3,0,124,124,108,124,0.1861413043478261,0.10208333333333333,0.19354838709677422,,,0.828448165030388,,
