MODEL,DATASET,N,FILE_N,VOICE_N,MUSIC_N,FILE_EER,VOICE_EER,MUSIC_EER,VOICE_AUC,MUSIC_AUC,ADS,CPS,SCORE,NORMALIZED_AVAILABLE_ADS
v1_strict__music_only,echoes_fma_paired_v3,111,111,0,111,0.07207792207792209,,0.09009740259740262,,,,,,0.9211647727272727
v1_strict__music_only,external_mixed_v1,400,400,400,400,0.21166666666666667,0.31000000000000005,0.135,,,0.7916666666666667,,,0.7916666666666667
v1_strict__music_only,external_mixed_v1_telephone_v1,400,400,400,400,0.20833333333333331,0.31999999999999995,0.15500000000000003,,,0.7853333333333334,,,0.7853333333333334
v1_strict__music_only,factorial_eval_1200_v2,400,400,350,350,0.23236363636363638,0.2857142857142857,0.22857142857142854,0.9992571428571428,1.0,0.7581038961038962,0.9996285714285714,0.7822563636363637,0.7581038961038962
v1_strict__music_only,mixfake_music_dev_v1,1600,1600,1600,1600,0.07499999999999998,0.10250000000000001,0.07874999999999999,,,0.9183749999999999,,,0.9183749999999999
v1_strict__music_only,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09999999999999999,,,,,,,0.923809523809524
v1_strict__music_only,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.15000000000000002,0.14,,,0.8180000000000001,,,0.8180000000000001
v1_strict__music_only,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.2833333333333333,0.14,0.26,,,0.7523333333333333,,,0.7523333333333333
v1_strict__music_only,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.09999999999999999,,,,,,0.9406249999999999
v1_strict__file_only,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
v1_strict__file_only,codec_mixed_dev_v4,600,600,600,600,0.28,0.29666666666666663,0.2733333333333333,,,0.7186666666666667,,,0.7186666666666667
v1_strict__file_only,echoes_fma_paired_v3,111,111,0,111,0.10811688311688314,,0.09009740259740262,,,,,,0.898640422077922
v1_strict__file_only,external_mixed_v1,400,400,400,400,0.14166666666666666,0.31000000000000005,0.125,,,0.8296666666666668,,,0.8296666666666668
v1_strict__file_only,external_mixed_v1_telephone_v1,400,400,400,400,0.15000000000000002,0.31999999999999995,0.125,,,0.8234999999999999,,,0.8234999999999999
v1_strict__file_only,factorial_eval_1200_v2,400,400,350,350,0.25527272727272726,0.2857142857142857,0.2114285714285714,0.9992571428571428,1.0,0.7517922077922078,0.9996285714285714,0.7765758441558441,0.7517922077922078
v1_strict__file_only,mixfake_music_dev_v1,1600,1600,1600,1600,0.07999999999999999,0.10250000000000001,0.07625000000000001,,,0.9166249999999999,,,0.9166249999999999
v1_strict__file_only,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09999999999999999,,,,,,,0.923809523809524
v1_strict__file_only,source_disjoint_mixed_v1,200,200,200,200,0.18000000000000002,0.15000000000000002,0.16000000000000003,,,0.832,,,0.832
v1_strict__file_only,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.21999999999999997,0.14,0.31000000000000005,,,0.769,,,0.769
v1_strict__file_only,source_disjoint_music_v1,400,400,0,400,0.04000000000000002,,0.050000000000000024,,,,,,0.9562499999999998
v2_strict,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
v2_strict,codec_mixed_dev_v4,600,600,600,600,0.2533333333333333,0.22333333333333336,0.2766666666666666,,,0.7456666666666666,,,0.7456666666666666
v2_strict,echoes_fma_paired_v3,111,111,0,111,0.09009740259740262,,0.09009740259740262,,,,,,0.9099025974025973
v2_strict,external_mixed_v1,400,400,400,400,0.15000000000000002,0.20499999999999996,0.15000000000000002,,,0.8390000000000001,,,0.8390000000000001
v2_strict,external_mixed_v1_telephone_v1,400,400,400,400,0.15000000000000002,0.22999999999999998,0.14500000000000002,,,0.8354999999999999,,,0.8354999999999999
v2_strict,factorial_eval_1200_v2,400,400,350,350,0.21527272727272728,0.3085714285714286,0.20571428571428574,0.9992571428571428,1.0,0.7689350649350648,0.9996285714285714,0.7920044155844155,0.7689350649350648
v2_strict,mixfake_music_dev_v1,1600,1600,1600,1600,0.057499999999999996,0.0675,0.08125000000000002,,,0.9333750000000001,,,0.9333750000000001
v2_strict,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09166666666666669,,,,,,,0.9261904761904762
v2_strict,source_disjoint_mixed_v1,200,200,200,200,0.18000000000000002,0.16000000000000003,0.12,,,0.842,,,0.842
v2_strict,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.21999999999999997,0.15000000000000002,0.24,,,0.788,,,0.788
v2_strict,source_disjoint_music_v1,400,400,0,400,0.050000000000000024,,0.05500000000000002,,,,,,0.9481249999999999
v2_strict__voice_only,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
v2_strict__voice_only,codec_mixed_dev_v4,600,600,600,600,0.2788888888888889,0.22333333333333336,0.2733333333333333,,,0.7338888888888888,,,0.7338888888888888
v2_strict__voice_only,echoes_fma_paired_v3,111,111,0,111,0.07207792207792209,,0.09009740259740262,,,,,,0.9211647727272727
v2_strict__voice_only,external_mixed_v1,400,400,400,400,0.21166666666666667,0.20499999999999996,0.125,,,0.8156666666666668,,,0.8156666666666668
v2_strict__voice_only,external_mixed_v1_telephone_v1,400,400,400,400,0.20833333333333331,0.22999999999999998,0.125,,,0.8123333333333334,,,0.8123333333333334
v2_strict__voice_only,factorial_eval_1200_v2,400,400,350,350,0.23236363636363638,0.3085714285714286,0.2114285714285714,0.9992571428571428,1.0,0.7586753246753247,0.9996285714285714,0.7827706493506494,0.7586753246753247
v2_strict__voice_only,mixfake_music_dev_v1,1600,1600,1600,1600,0.07499999999999998,0.0675,0.07625000000000001,,,0.926125,,,0.926125
v2_strict__voice_only,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09166666666666669,,,,,,,0.9261904761904762
v2_strict__voice_only,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.16000000000000003,0.16000000000000003,,,0.81,,,0.81
v2_strict__voice_only,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.2833333333333333,0.15000000000000002,0.31000000000000005,,,0.7353333333333333,,,0.7353333333333333
v2_strict__voice_only,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.050000000000000024,,,,,,0.9593749999999999
v2_strict__music_only,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
v2_strict__music_only,codec_mixed_dev_v4,600,600,600,600,0.2788888888888889,0.29666666666666663,0.2766666666666666,,,0.7182222222222222,,,0.7182222222222222
v2_strict__music_only,echoes_fma_paired_v3,111,111,0,111,0.07207792207792209,,0.09009740259740262,,,,,,0.9211647727272727
v2_strict__music_only,external_mixed_v1,400,400,400,400,0.21166666666666667,0.31000000000000005,0.15000000000000002,,,0.7871666666666667,,,0.7871666666666667
v2_strict__music_only,external_mixed_v1_telephone_v1,400,400,400,400,0.20833333333333331,0.31999999999999995,0.14500000000000002,,,0.7883333333333333,,,0.7883333333333333
v2_strict__music_only,factorial_eval_1200_v2,400,400,350,350,0.23236363636363638,0.2857142857142857,0.20571428571428574,0.9992571428571428,1.0,0.7649610389610391,0.9996285714285714,0.7884277922077924,0.7649610389610391
v2_strict__music_only,mixfake_music_dev_v1,1600,1600,1600,1600,0.07499999999999998,0.10250000000000001,0.08125000000000002,,,0.9176249999999999,,,0.9176249999999999
v2_strict__music_only,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09999999999999999,,,,,,,0.923809523809524
v2_strict__music_only,source_disjoint_mixed_v1,200,200,200,200,0.21999999999999997,0.15000000000000002,0.12,,,0.8240000000000001,,,0.8240000000000001
v2_strict__music_only,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.2833333333333333,0.14,0.24,,,0.7583333333333333,,,0.7583333333333333
v2_strict__music_only,source_disjoint_music_v1,400,400,0,400,0.03500000000000002,,0.05500000000000002,,,,,,0.9575
v2_strict__file_only,asvspoof_voice_wav_dev_v1,176,176,176,0,0.0,0.0,,,,,,,1.0
v2_strict__file_only,codec_mixed_dev_v4,600,600,600,600,0.2666666666666667,0.29666666666666663,0.2733333333333333,,,0.7253333333333333,,,0.7253333333333333
v2_strict__file_only,echoes_fma_paired_v3,111,111,0,111,0.07207792207792209,,0.09009740259740262,,,,,,0.9211647727272727
v2_strict__file_only,external_mixed_v1,400,400,400,400,0.15000000000000002,0.31000000000000005,0.125,,,0.8254999999999999,,,0.8254999999999999
v2_strict__file_only,external_mixed_v1_telephone_v1,400,400,400,400,0.15000000000000002,0.31999999999999995,0.125,,,0.8234999999999999,,,0.8234999999999999
v2_strict__file_only,factorial_eval_1200_v2,400,400,350,350,0.20763636363636362,0.2857142857142857,0.2114285714285714,0.9992571428571428,1.0,0.7756103896103896,0.9996285714285714,0.7980122077922078,0.7756103896103896
v2_strict__file_only,mixfake_music_dev_v1,1600,1600,1600,1600,0.07250000000000001,0.10250000000000001,0.07625000000000001,,,0.9203749999999999,,,0.9203749999999999
v2_strict__file_only,multigen_voice_v2,90,90,90,0,0.06666666666666665,0.09999999999999999,,,,,,,0.923809523809524
v2_strict__file_only,source_disjoint_mixed_v1,200,200,200,200,0.19999999999999998,0.15000000000000002,0.16000000000000003,,,0.8220000000000001,,,0.8220000000000001
v2_strict__file_only,source_disjoint_mixed_v1_telephone_v1,200,200,200,200,0.24,0.14,0.31000000000000005,,,0.759,,,0.759
v2_strict__file_only,source_disjoint_music_v1,400,400,0,400,0.04500000000000002,,0.050000000000000024,,,,,,0.9531249999999999
